Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
15.00228475,1.179247742,-1.271455994,-3.907174988,4.274721273
15.01228675,1.458566895,-1.581461334,-2.475552063,3.27975538
15.02228975,2.125879211,-1.686692505,-0.6574328613,2.792223486
15.03229175,2.960094452,-1.527274017,-0.7753875732,3.419934353
15.04229475,3.259022827,-1.068478088,-1.193917236,3.631571778
15.05229675,2.897973633,-0.6791377258,-0.4761598206,3.014333658
15.06229975,2.633773041,-0.4948709106,0.4234693909,2.713113336
15.07230175,2.963387604,-0.1263372803,0.06047424316,2.966695861
15.08230475,2.70876709,0.3025209045,-0.4713697815,2.766067157
15.09230675,2.158511353,0.264200592,-0.4221221924,2.215211132
15.10230875,1.634301453,0.1555265808,-0.05328918457,1.642549693
15.11231175,0.899329834,-0.2076182556,0.867146759,1.266429229
15.12231375,0.5842350769,-0.1890568542,0.6044430542,0.8616406008
15.13231675,0.6423143005,1.10335556,-0.7183561707,1.464922094
15.14231875,-0.2975811768,0.1374142456,-0.978664856,1.03209599
15.15232175,-0.2386038208,-0.2393522644,-0.7364685059,0.810312995
15.16232375,0.1228944397,0.09220825195,-0.9551637268,0.9674415486
15.17232675,0.0896635437,-0.1836680603,-0.06915618896,0.2157685934
15.18232875,-0.117355957,-0.1529818726,0.6185137939,0.6478697302
15.19233075,0.09445358276,0.120050354,-0.02903961182,0.1554891181
15.20233375,0.144150238,-0.1016386414,-0.06242019653,0.1870988655
15.21233575,-0.3058140564,-0.5034031677,0.4168830872,0.7216151985
15.22233875,-0.5755531311,-0.4090992737,0.1148112488,0.7154056509
15.23234075,-0.8637039185,-0.001197509766,0.03592529297,0.8644515715
15.24234375,-1.113235016,0.2794688416,0.4311035156,1.226069034
15.25234575,-1.629661102,0.5629792786,0.7361691284,1.874749573
15.26234875,-2.329904938,0.763711853,0.6405180359,2.534161827
15.27235075,-2.704725494,0.8595126343,0.7354206848,2.931747866
15.28235275,-2.758463745,1.03674408,1.198557587,3.181273457
15.29235575,-7.005881195,1.072070618,2.343825989,7.464933154
15.30235775,-15.66971466,2.408790894,2.959346008,16.12761482
15.31236075,-25.8043895,9.157506866,2.683769073,27.51234388
15.32236275,-36.92147141,18.59822479,-1.296304321,41.36144849
15.33236575,-39.51527756,14.20620804,0.2357597351,41.99201222
15.34236775,-30.48785019,8.249644775,2.184706879,31.6597314
15.35237075,-27.50694901,6.812932434,4.52583847,28.69723864
15.36237275,-33.68145905,7.444020081,9.819430389,35.86468084
15.37237475,-39.09809509,7.851023712,13.57122849,42.1245517
15.38237775,-44.84000473,6.803202667,18.39000778,48.93977909
15.39237975,-29.84044647,6.545139313,17.81131119,35.36288875
15.40238275,-9.652377777,4.518503723,7.175927582,12.84831543
15.41238475,-17.63886978,6.176755371,9.941875763,21.16891418
15.42238775,-47.71283066,9.469308472,18.81198029,52.1543154
15.43238975,-45.36645996,9.51870575,14.88863892,48.68668213
15.44239275,-21.64663559,6.876699829,9.538913727,24.6344618
15.45239475,-14.31997147,5.344635773,8.159232788,17.32627467
15.46239675,-12.72818161,4.863236847,6.511159973,15.10141993
15.47239975,-11.91372528,4.98687973,4.235891418,13.59222556
15.48240175,-10.00579285,4.935835876,2.733765106,11.48702912
15.49240475,-8.382418671,4.171674957,1.650916901,9.507541287
15.50240675,-7.399562531,3.09601181,0.9557624817,8.077889371
15.51240975,-6.289770355,2.308948517,0.5141807556,6.719883647
15.52241175,-5.216801605,1.70600235,-0.1830693054,5.491718982
15.53241475,-4.345613251,1.106499023,-0.9409432983,4.581928514
15.54241675,-3.201093292,0.5688171387,-1.199006653,3.465280386
15.55241975,-2.208657074,0.07559280396,-1.334175568,2.581454007
15.56242175,-1.482217712,-0.3373983765,-1.737436981,2.308569747
15.57242375,-0.5035528564,-0.8620573425,-2.819985809,2.991492655
15.58242675,0.3158432007,-0.8792715454,-3.659889221,3.777256212
15.59242875,0.8741821289,-0.7274871826,-4.416715393,4.560790157
15.60243175,0.9672885132,-0.7729925537,-4.134252777,4.315693523
15.61243329,0.929866333,-0.918639679,-2.930755463,3.20903067
15.62243629,0.9919871521,-1.203497314,-1.582958221,2.222206342
15.63243829,1.076261902,-1.436113586,0.2387535095,1.810459929
15.64244129,1.571881256,-1.434916077,0.9714797974,2.339565735
15.65244329,2.13545929,-1.168619843,0.6557862854,2.521093883
15.66244529,2.734962616,-0.8878038025,0.3646417236,2.898478858
15.67244829,3.157683563,-0.7427554321,0.08652008057,3.245017233
15.68245029,2.952460327,-0.4004173279,0.3938310242,3.005404947
15.69245329,2.399210815,-0.2212399292,0.5120851135,2.463207423
15.70245529,2.178120575,-0.08397537231,-0.283510437,2.198099013
15.71245829,1.910177765,0.09924362183,-1.152902527,2.233341135
15.72246029,1.163829803,0.2576142883,-1.142873383,1.651370492
15.73246329,0.1378633118,-0.02859054565,0.05807922363,0.1523053126
15.74246529,0.8922944641,0.05343887329,0.8080197144,1.204965138
15.75246729,1.306333466,1.032253418,-1.876946869,2.508980628
15.76247029,0.3797602844,1.124910736,-1.680106201,2.057279486
15.77247229,0.1314266968,0.5057981873,-0.8195457458,0.9719876606
15.78247529,0.1919009399,0.7900570679,0.02874023438,0.8135368107
15.79247729,-0.2653981018,0.5641767883,0.8042774963,1.017641338
15.80248029,-0.2839595032,0.2585124207,0.5876779175,0.7020163857
15.81248229,-0.3918850708,0.02694396973,0.2113604736,0.4460640493
15.82248529,-0.3110531616,0.05014572144,0.008981323242,0.3151972825
15.83248729,-0.3611988831,0.3056643677,-0.03353027344,0.4743623278
15.84248929,-0.7295828247,0.6033952332,0.2267784119,0.9735529537
15.85249229,-1.075812836,0.9306147766,0.2281256104,1.440645138
15.86249429,-1.242566071,1.055155792,0.2971321106,1.656988738
15.87249729,-1.353335724,1.153351593,0.8922944641,1.989453917
15.88249929,-1.713337097,1.447938995,2.04175415,3.033283922
15.89250229,-2.842588806,1.915865936,2.226769409,4.087707843
15.90250429,-6.397695923,3.519032135,2.817441101,7.826370464
15.91250729,-29.62100281,10.08018814,6.131998444,31.88440693
15.92250929,-43.26872223,16.88668396,-3.85313736,46.60674936
15.93251129,-43.05107483,14.06969193,0.6047424316,45.29588269
15.94251429,-33.12566483,9.112450562,5.250331879,34.75503431
15.95251629,-25.66173615,10.57071808,7.495213623,28.74792184
15.96251929,-30.0922229,11.4184053,11.60042679,34.21245037
15.97252129,-37.53474609,11.59009827,15.7009996,42.30495161
15.98252429,-39.41363892,11.79187866,18.54792938,45.12769681
15.99252629,-30.20868073,9.438921661,14.62024704,34.86272016
16.00252929,-11.50312912,4.987478485,4.07886795,13.18461546
16.01253129,-12.32147736,4.024830322,3.546724548,13.43865017
16.02253329,-39.6169162,7.580835571,12.92038193,42.35452026
16.03253629,-52.18313461,9.851164398,16.77681244,55.69188822
16.04253829,-29.06490921,7.780220947,11.29176865,32.13728091
16.05254129,-14.65138229,5.665119324,6.796316986,17.11568008
16.06254329,-11.82525925,5.396727448,4.889132996,13.887586
16.07254629,-11.02861588,5.524860992,3.497177582,12.82126001
16.08254829,-11.34401001,5.475763092,2.551444244,12.8522532
16.09255129,-10.20188507,4.290527802,3.7676651,11.69112433
16.10255329,-8.639134827,2.752326508,2.953807526,9.535980844
16.11255529,-7.032974854,1.965562592,-0.001796264648,7.302477307
16.12255829,-5.414690094,1.542093201,-0.6709048462,5.669835409
16.13256029,-4.275558929,1.127455444,0.4770579529,4.447374982
16.14256329,-2.732866974,0.7467970276,0.8912466431,2.969947521
16.15256529,-1.5129039,0.206869812,-0.06750961304,1.528473382
16.16256829,-0.287252655,-0.2418969727,-1.57607254,1.620195323
16.17257029,0.3492237854,-0.6161187744,-3.194057922,3.27163042
16.18257329,1.098415833,-1.033450928,-2.978057098,3.338167498
16.19257529,1.474134521,-1.588197327,-2.292033691,3.154181634
16.20257829,1.483115845,-1.949845276,-1.693727875,2.978295372
16.21258029,1.89790329,-1.916464691,-1.487756195,3.080307177
16.22258229,2.133962402,-1.473535767,-1.429227905,2.961046368
16.23258529,2.182311859,-1.07880661,-0.8969348145,2.594378695
16.24258729,2.180515594,-0.6176156616,0.04176315308,2.266680728
16.25259029,2.276316376,-0.2877017212,0.3953279114,2.328233811
16.26259229,2.017654266,-0.06062393188,0.1927990723,2.027751336
16.27259529,1.638343048,0.2323168945,-0.1883084106,1.665412604
16.28259729,1.395997009,0.4444258118,-0.1933978271,1.477743101
16.29260029,1.032253418,0.2456391907,-0.36389328,1.121741526
16.30260229,0.3314108276,0.04101470947,-0.6405180359,0.722342507
16.31260429,-0.1884580994,0.2237846375,-0.3749702454,0.4756035156
16.32260729,-0.2791694641,0.2457888794,0.119002533,0.3905244753
16.33260929,-0.2701881409,0.2124082947,0.3938310242,0.5227062184
16.34261229,-0.2773731995,0.1369651794,0.4924758911,0.5815736028
16.35261429,-0.2788700867,-0.03263214111,0.536484375,0.6055153726
16.36261729,-0.1196012878,-0.1757345581,0.1713935852,0.273062015
16.37261929,0.02320175171,-0.1185534668,-0.09430389404,0.1532529615
16.38262229,0.001047821045,-0.1517843628,-0.1805245972,0.2358574165
16.39262429,-0.03802093506,-0.1907034302,-0.297431488,0.3553573974
16.40262629,-0.168848877,-0.2818638611,-0.5222639465,0.6170225355
16.41262929,-0.3920347595,-0.3519181824,-0.8312214661,0.9841071006
16.42263129,-0.8828640747,-0.2791694641,-1.012793884,1.372274031
16.43263429,-1.804946594,-0.0715512085,-0.9966275024,2.063060387
16.44263629,-3.024011536,0.2125579834,-0.8249345398,3.141710308
16.45263929,-3.905378723,0.5132826233,-0.1327738953,3.941201711
16.46264129,-5.667214966,0.8961863708,0.2392025757,5.742620774
16.47264429,-7.899522858,1.261277161,0.3956272888,8.009357178
16.48264629,-11.42798538,1.768422546,0.7403604126,11.58767888
16.49264829,-16.37205414,3.905378723,2.093097382,16.96104939
16.50265129,-21.79422867,10.59631485,1.142873383,24.26059462
16.51265329,-30.14386551,14.80885483,-2.279609528,33.66231467
16.52265629,-33.7802536,13.58290421,0.6227050781,36.41412613
16.53265829,-32.05134888,11.52558243,2.978356476,34.19062185
16.54266129,-31.04888351,9.869127045,6.111191711,33.14784307
16.55266329,-37.03254044,9.335636444,9.015901337,39.24091788
