Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
25.00269167,2.769840088,0.06990463257,-4.932243347,5.657201181
25.01269467,3.804488525,0.0470022583,-4.37959259,5.801480277
25.02269767,4.148622894,-0.3577560425,-3.721411285,5.584618453
25.03269967,4.486320648,-1.085542603,-3.519780579,5.804681819
25.04270267,5.381908264,-1.815275116,-4.361330566,7.161100797
25.05270467,6.046226807,-2.417622528,-6.043083344,8.88372746
25.06270767,6.271508331,-2.650388489,-7.73546402,10.30503661
25.07271067,6.033952332,-2.789149933,-9.074729004,11.24893971
25.08271267,5.544919281,-2.680775299,-10.124496,11.85065843
25.09271567,4.813839569,-2.335593109,-10.58164536,11.85745609
25.10271767,3.624862061,-1.982028351,-9.996811523,10.81685268
25.11272067,2.225571899,-1.657054138,-8.136031036,8.596161918
25.12272367,1.118324432,-1.421294403,-5.52860321,5.81688755
25.13272567,0.2377056885,-1.289119263,-2.789748688,3.082374119
25.14272867,-0.5514532471,-1.304088135,0.07723937988,1.417995934
25.15273167,-1.242266693,-1.373543701,2.786156158,3.34552163
25.16273367,-1.403331757,-1.390757904,4.848417664,5.235523031
25.17273667,-0.7445516968,-1.310973816,6.031108246,6.216693353
25.18273867,0.3149450684,-1.274449768,6.292913818,6.428388362
25.19274167,1.135538635,-1.279838562,5.929918671,6.171820653
25.20274467,1.751807098,-1.183439026,5.127437439,5.546167211
25.21274667,1.997595978,-0.987197113,4.154760132,4.714549775
25.22274967,2.027234344,-0.7795788574,3.358266449,3.999421936
25.23275267,2.036065979,-0.5285508728,2.381547546,3.177530395
25.24275467,2.048041077,-0.2811154175,1.152154083,2.366634142
25.25275767,2.205962677,0.02709365845,-0.1648072815,2.212276393
25.26275967,2.442470856,0.3477268982,-1.358874207,2.816578951
25.27276267,2.485581207,0.6472540283,-2.24069046,3.4084814
25.28276567,2.390379181,1.049168243,-2.717449036,3.768182041
25.29276767,2.314936066,1.395248566,-2.945275269,3.997535986
25.30277067,1.959125977,1.585951996,-2.823728027,3.785083658
25.31277267,1.407373352,1.787582703,-2.262245636,3.208411911
25.32277567,0.8216413879,1.982327728,-1.444196777,2.586585031
25.33277867,0.2927911377,2.033072205,-0.6532415771,2.155419634
25.34278067,-0.06496490479,2.044598236,-0.1345701599,2.050051588
25.35278367,-0.5824388123,1.809586945,0.2477348328,1.917084356
25.36278667,-1.535357208,1.561253357,0.5075944519,2.247773549
25.37278867,-2.674188995,1.534908142,0.7622149658,3.176192916
25.38279167,-4.145778809,1.688937836,0.726738739,4.535211366
25.39279367,-6.732399902,0.9596543884,0.7367678833,6.84024648
25.40279667,-10.85512665,-1.060394897,1.077010345,10.95984321
25.41279967,-15.98944977,-3.810176697,2.270628204,16.59324268
25.42280167,-22.24808487,-6.96082489,4.404440918,23.72402713
25.43280467,-29.67878265,-9.993518372,7.211703186,32.13579332
25.44280767,-37.10079849,-11.38307877,10.1059346,40.10204041
25.45280967,-43.47259827,-10.67579956,13.56763596,46.77520969
25.46281267,-47.57197357,-8.754245453,17.24264374,51.3521007
25.47281467,-47.65729614,-7.392377472,18.58475281,51.68421575
25.48281767,-44.21580276,-7.946525116,17.68272858,48.27901579
25.49282067,-40.17899734,-10.44153671,17.99632645,45.24649469
25.50282267,-37.29853729,-13.25239151,20.66467758,44.652387
25.51282567,-35.55451401,-14.50019669,23.54379044,45.04097288
25.52282767,-34.15073318,-14.45558945,24.67992783,44.54588063
25.53283067,-32.51927582,-14.06969193,23.33003494,42.42346121
25.54283367,-30.4890477,-13.48485809,19.6704451,38.7085241
25.55283567,-27.60020508,-12.42236755,14.70646774,33.65065719
25.56283867,-24.13895279,-10.88686066,9.702074432,28.20182663
25.57284167,-20.62381256,-9.102720795,5.349425812,23.16932297
25.58284367,-17.65608398,-7.23819809,1.865420837,19.17312202
25.59284667,-15.33411255,-5.245691528,-0.1618135071,16.20735854
25.60284867,-13.466147,-3.353177032,-0.8924441528,13.90601912
25.61285167,-11.85759201,-1.809736633,-0.9051676941,12.02900509
25.62285467,-10.05489075,-0.550405426,-0.6542893982,10.09117777
25.63285667,-8.051157532,0.2857557678,-0.5917195129,8.07792832
25.64285967,-5.76615921,0.7900570679,-0.4593946838,5.838135463
25.65286267,-3.140319672,1.14781311,-0.2875520325,3.355855889
25.66286467,-0.7295828247,1.277293854,-0.3646417236,1.515498028
25.67286767,1.493444366,1.394949188,-0.9241781616,2.242847429
25.68286967,3.313359833,1.373394012,-1.778302002,4.003363899
25.69287267,4.473746796,1.154100037,-2.309547272,5.165304046
25.70287567,4.850962372,0.9424401855,-2.474953308,5.526791412
25.71287767,4.663552094,0.6950047302,-2.338886261,5.263282117
25.72288042,4.37734726,0.429307251,-2.384990387,5.003364157
25.73288242,3.84954483,-0.183817749,-2.770289154,4.746291854
25.74288542,3.466192017,-0.8577163696,-3.571572876,5.050375954
25.75288842,3.423530731,-1.320553894,-4.468358002,5.781924289
25.76289042,3.493734741,-1.487456818,-5.201982422,6.440444965
25.77289342,3.161276093,-1.583556976,-5.562432861,6.591052918
25.78289642,2.301164703,-1.570683746,-5.371280365,6.050872597
25.79289842,1.275497589,-1.415456543,-4.556973724,4.939273312
25.80290142,0.3851490784,-1.05306015,-3.406915283,3.58669029
25.81290342,-0.597557373,-0.6155200195,-2.186652832,2.348912582
25.82290642,-1.451232147,-0.2634521484,-1.121168518,1.8527009
