Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
25.00476137,-1.325343933,-7.884254608,1.913770294,8.220737437
25.01476338,-0.9270222473,-5.528154144,1.430275726,5.784941412
25.02476537,-0.6123765564,-3.481160889,1.04961731,3.687164585
25.03476838,-0.330662384,-1.853146362,0.7854167175,2.039698133
25.04477038,0.05733078003,-0.6367758179,0.6929090881,0.9428113624
25.05477337,1.375190277,0.6718029785,1.06129303,1.862474278
25.06477538,2.63272522,1.347198486,1.289119263,3.226145427
25.07477737,5.968388672,9.834998016,1.606609039,11.61593913
25.08478038,14.19378387,34.1784256,2.156715088,37.0712786
25.09478238,5.960754547,15.66432587,0.4388873291,16.76586776
25.10478537,1.304088135,5.417384491,-0.6239025879,5.60695595
25.11478738,0.3332070923,3.738026733,0.6728507996,3.812689212
25.12479037,-0.7018904114,1.857487335,1.046773224,2.244692302
25.13479237,-0.8252339172,1.179098053,0.8306227112,1.661691104
25.14479438,-0.8334667969,0.6529421997,0.5101391602,1.175262686
25.15479737,-0.9198371887,0.259410553,0.2329156494,0.9836889694
25.16479938,-1.033450928,-0.1793270874,0.07499404907,1.051571743
25.17480337,-1.185684357,-0.6086343384,0.093256073,1.336031379
25.18480537,-1.424587555,-1.117875366,0.1817221069,1.819922515
25.19480738,-1.831441498,-1.606758728,0.3441343689,2.460544662
25.20481037,-2.056423645,-1.848655701,0.6134243774,2.832436332
25.21481238,-2.075583801,-1.999541931,0.8318202209,2.999690139
25.22481538,-1.984123993,-1.972897339,0.7976911926,2.909533153
25.23481737,-1.579964447,-1.637744293,0.7466473389,2.394989827
25.24481938,-0.913250885,-1.014141083,0.6406677246,1.507635383
25.25482237,-0.4360432434,-0.4680766296,0.5590873718,0.8495929206
25.26482438,-0.1842668152,-0.0375718689,0.5484594727,0.579804879
25.27482738,-0.06152206421,0.3887416077,0.6015989685,0.7189063366
25.28482937,-0.1454974365,0.8280780029,0.8625064087,1.204491589
25.29483238,-0.2800675964,1.234033813,1.292711792,1.808972385
25.30483437,-0.2507286072,1.203497314,1.254092102,1.75613713
25.31483638,0.02245330811,0.7113208008,0.5050497437,0.872672147
25.32483938,0.3688330078,0.3790118408,-0.03981719971,0.5303519327
25.33484137,0.5727090454,0.2636018372,-0.01601669312,0.6306648188
25.34484438,0.6997947693,0.1583706665,0.1465452576,0.7323042398
25.35484637,0.8062234497,0.08861572266,0.2221380615,0.8409484619
25.36484938,0.9852511597,0.1013392639,0.3517684937,1.051061638
25.37485138,1.151555328,0.08756790161,0.5284011841,1.270021899
25.38485337,1.129551086,-0.1240919495,0.7640112305,1.369305528
25.39485638,0.8054750061,-0.6759942627,0.903072052,1.386108711
25.40485837,0.8123606873,-1.404529266,1.150806885,1.989218146
25.41486138,1.683998108,-4.439617767,2.518363037,5.374775152
25.42486338,2.030976563,-17.13591568,6.087840271,18.29825869
25.43486537,-0.9436376953,-46.28120773,13.8245018,48.31104937
25.44486838,-7.35046463,-73.81614853,21.62897232,77.2700819
25.45487038,-11.75730057,-74.91531281,22.73038193,79.16570262
25.46487338,-10.51099228,-55.13933716,15.84185669,58.32488221
25.47487538,-8.573421478,-41.22262711,9.021739197,43.06042637
25.48487837,-12.39886642,-38.17945541,-9.588011627,41.27145104
25.49488038,-14.06220749,-36.09683624,-30.73528564,49.45083467
25.50488238,-12.73716293,-35.94939285,9.239087219,39.24225909
25.51488537,-11.56135803,-35.31635925,12.10158463,39.08143525
25.52488738,-10.79330521,-32.68632843,8.320896606,35.41368131
25.53489037,-10.29409332,-29.9940271,7.076085205,32.49124499
25.54489238,-9.041498108,-26.55088715,4.959037628,28.48315907
25.55489538,-7.170389099,-22.48953278,3.689078522,23.89148101
25.56489737,-5.14135849,-17.99482956,2.761607208,18.91755619
25.57489938,-3.380121002,-13.62915802,2.077829132,14.1949477
25.58490237,-2.015109558,-9.677974548,1.541195068,10.00495578
25.59490438,-1.075663147,-6.329288177,1.18059494,6.527690591
25.60490738,-0.4604425049,-3.633693695,0.8849597168,3.768141567
25.61490937,0.03203338623,-1.807191925,0.7604187012,1.960919527
25.62491138,0.3968247986,-0.6429130554,0.7545808411,1.067801182
25.63491437,0.09505233765,0.9172924805,0.1573228455,0.935527081
25.64491638,-1.000968475,6.637497253,-1.170565796,6.813848543
25.65491938,1.522184601,14.55213867,4.946912842,15.44518477
25.66492137,3.921994171,14.71260498,7.071744232,16.78845884
25.67492338,6.652615814,8.637937317,4.401746521,11.75783274
25.68492637,5.305716705,2.662962341,1.439406738,6.108509634
25.69492838,4.793332214,1.919757843,1.166374512,5.293574727
25.70493138,5.144951019,4.121379547,0.8611592102,6.648149032
25.71493337,4.299658813,2.404150543,0.7707472229,4.986086344
25.72493638,2.711461487,0.4351451111,1.520388336,3.138941757
25.73493838,1.603914642,-0.02694396973,1.403481445,2.131438088
25.74494037,0.9029223633,-0.329614563,1.055305481,1.42743974
25.75494338,0.4623884583,-0.4059558105,0.8839118958,1.076988136
25.76494537,0.1675016785,-0.3712280273,0.463585968,0.6170729376
25.77494838,0.03787124634,-0.2820135498,0.07499404907,0.2942617559
25.78495038,-0.0722996521,-0.1387614441,-0.1206491089,0.1975808329
25.79495337,-0.09205856323,-0.001347198486,-0.24923172,0.2656935156
25.80495538,-0.04460723877,0.1751358032,-0.2942880249,0.3453517003
25.81495737,-0.04475692749,0.3321592712,-0.2796185303,0.4364853795
25.82496038,-0.02649490356,0.5102888489,-0.2344125366,0.5621796212
25.83496238,-0.004490661621,0.7241940308,-0.1682501221,0.7434953018
25.84496537,0.05388793945,1.053958282,-0.1425036621,1.064912797
25.85496738,0.1202000427,1.343007202,-0.1564247131,1.357418538
25.86496937,0.09370513916,1.421444092,-0.1606159973,1.43355553
25.87497238,0.06271957397,1.469344482,-0.2035766602,1.484705496
25.88497438,0.06915618896,1.552571411,-0.2953358459,1.58192409
25.89497737,0.05763015747,1.522633667,-0.2947370911,1.551967935
25.90497938,0.01272354126,1.405128021,-0.1972897339,1.418967894
25.91498237,-0.03817062378,1.273701324,-0.08562194824,1.277146498
25.92498438,-0.03562591553,1.21801712,0.009280700684,1.218573364
25.93498638,0.03457809448,1.100361786,0.07454498291,1.103425874
25.94498937,0.3128494263,0.6294410706,0.2745291138,0.7546105347
25.95499138,0.7213499451,-0.1613644409,0.7179071045,1.030424591
25.96499437,0.9361532593,-0.7068301392,1.350491638,1.788803912
25.97499638,0.859662323,-1.249152374,1.918560333,2.445460021
25.98499838,1.054107971,-2.039209442,2.966680756,3.751094969
25.99500137,1.457818451,-4.439468079,4.173471222,6.265139543
26.00500338,0.830173645,-13.43067078,7.223528595,15.27257251
26.01500637,-4.932093658,-44.13407272,17.26075607,47.64531061
26.02500837,-20.82813766,-88.70957748,33.73355072,97.16559525
26.03501138,-23.96860703,-78.92936554,28.23338837,87.18636984
26.04501337,-13.12859894,-40.72161896,12.50694168,44.576159
26.05501538,-9.361981659,-27.4168364,6.962321777,29.79603234
26.06501838,-11.51061356,-27.75438446,5.727689209,30.58768551
26.07502037,-20.1919606,-37.59851349,-0.01466949463,42.67743789
26.08502338,-25.70843903,-42.5895845,-8.25024353,50.42680898
26.09502537,-19.93748978,-37.26440826,3.969445496,42.44874697
26.10502838,-14.70811432,-31.88444595,7.610623627,35.92865309
26.11503038,-11.41331589,-27.43644562,6.332880707,30.38301673
26.12503237,-8.05609726,-22.80043625,5.031636658,24.69975635
26.13503538,-5.257516937,-18.66573441,3.9362146,19.78749379
26.14503737,-3.237018585,-15.00629425,3.238515472,15.68933201
26.15504038,-2.101030884,-11.91686874,2.722239075,12.40309143
26.16504238,-1.422342224,-9.079968109,2.302062836,9.474617225
26.17504437,-0.7758366394,-6.426585846,1.864672394,6.736462815
26.18504738,-0.3640429688,-4.194277954,1.51170639,4.473226023
26.19504937,-0.03921844482,-2.431543579,1.204694824,2.713896071
26.20505238,0.229921875,-1.11039093,0.9737251282,1.494648023
26.21505438,0.4846920776,-0.2115101624,0.8044271851,0.9626868935
26.22505737,0.7908055115,0.4876858521,0.7827223206,1.214851875
26.23505938,2.705174561,2.001787262,1.724264374,3.781297301
26.24506137,3.135679321,4.63002182,1.789828033,5.871377287
26.25506438,-2.978057098,17.42212051,0.9128018188,17.69837039
26.26506638,-0.03263214111,21.66534668,7.223827972,22.83795092
26.27506937,4.34920578,10.67056046,7.013066254,13.48923829
26.28507138,3.168161774,1.539997559,3.979175262,5.314383998
26.29507338,2.98494278,-0.6005511475,2.954106903,4.242321614
26.30507637,2.153721313,-1.399888916,2.676883392,3.709974282
26.31507838,0.9779164124,-1.41575592,1.897304535,2.561337509
26.32508137,0.475411377,-1.242715759,1.13269455,1.747385298
26.33508338,0.3073109436,-0.9404942322,0.6327342224,1.174445407
26.34508638,0.2516267395,-0.6032455444,0.2802172852,0.7111560517
26.35508837,0.2052232361,-0.36389328,0.09190887451,0.4277641138
26.36509038,0.1869612122,-0.1866618347,-0.03053649902,0.2659503961
26.37509337,0.1751358032,-0.01017883301,-0.04670288086,0.1815415029
26.38509538,0.1832189941,0.3888912964,0.08412506104,0.4380441372
26.39509838,0.1785786438,0.997375946,0.3959266663,1.087845134
26.40510037,0.193996582,2.028282166,0.6746470642,2.146325203
26.41510238,0.1880090332,2.596949615,-0.08247848511,2.605052284
26.42510537,0.270637207,1.825154572,-0.8428971863,2.02852394
26.43510738,0.419128418,0.9418414307,-0.6947053528,1.243120846
26.44511038,0.4150868225,0.4788542175,-0.4429289246,0.7731652243
26.45511237,0.4143383789,0.2957849121,-0.3713777161,0.6301479306
26.46511538,0.4686753845,0.2365081787,-0.3600013733,0.6365482884
26.47511737,0.5046006775,0.2008822632,-0.3297642517,0.6353896356
26.48511938,0.5397775269,0.1682501221,-0.2161505127,0.6053006907
26.49512238,0.6611750793,0.1824705505,-0.117355957,0.6958594743
26.50512437,0.8180488586,0.146844635,-0.03023712158,0.8316739538
26.51512738,0.8539741516,-0.01437011719,0.3234773254,0.9132994755
26.52512937,0.9735754395,-0.3637435913,1.012644196,1.451070916
26.53513137,1.188977509,-1.057401123,2.027833099,2.577570897
26.54513438,1.122366028,-2.018253021,2.813100128,3.639585566
26.55513637,0.9394464111,-2.737207947,3.280428314,4.374480178
26.56513938,0.8629554749,-3.821702728,3.853885803,5.495683732
26.57514138,1.222058716,-9.00961441,5.135969696,10.4424501
26.58514437,0.1269360352,-24.22128159,12.35560638,27.19094709
26.59514638,-5.037025452,-52.68279556,24.91538818,58.49465909
26.60514837,-14.68566101,-69.84176331,31.6555719,78.07442458
26.61515138,-15.65354828,-54.51333893,22.30945724,60.94628436
26.62515338,-10.72280182,-35.37518692,10.41429337,38.40364351
26.63515637,-11.35104538,-29.79449203,3.610791321,32.08731526
26.64515838,-15.60864166,-31.45304306,-0.2125579834,35.11365537
26.65516037,-22.60554153,-35.32070023,-14.94147903,44.51752653
26.66516338,-24.33893692,-35.10514847,-23.71832748,48.86015102
26.67516538,-17.92851746,-29.88729904,5.137616272,35.22892963
26.68516837,-16.70466248,-27.96529587,8.432265015,33.64827803
26.69517038,-13.56763596,-27.25337631,6.72326889,31.17738941
26.70517337,-9.888586578,-26.05407028,5.997577972,28.50560759
26.71517538,-7.14569046,-23.83852753,4.819078674,25.3487634
26.72517738,-5.517675934,-21.50877228,4.146976318,22.58914441
26.73518037,-4.595743103,-19.50938004,3.794309692,20.39935171
26.74518238,-3.480562134,-17.5709111,3.645519104,18.27952514
26.75518537,-2.759810944,-15.36554718,3.606450348,16.02258034
26.76518738,-2.386786652,-12.82068924,3.307521973,13.45386653
26.77518938,-1.690135345,-10.06536896,2.72044281,10.56262367
26.78519237,-1.102008362,-7.35510498,2.010768585,7.704231435
26.79519438,-0.5156776428,-4.809648285,1.454824677,5.051252805
26.80519737,0.0636177063,-2.734214172,0.9392967224,2.891755987
26.81519937,0.5650749207,-1.169667664,0.6253994751,1.441720019
26.82520238,0.8220904541,1.208886108,-0.2805166626,1.48859932
26.83520437,3.370540924,8.180787964,-0.9119036865,8.894796578
26.84520638,3.719315643,6.943910065,0.4996609497,7.893089186
26.85520938,3.706143036,2.900218964,0.9729766846,4.805564469
26.86521137,4.190835114,1.742376709,0.9592053223,4.63886305
26.87521438,3.895349579,0.8255332947,1.217867432,4.163947003
26.88521637,3.617227936,1.234632568,1.282532959,4.031568716
26.89521838,4.668791199,4.347409515,1.336121521,6.517883205
26.90522138,6.775809631,11.10241241,1.586401062,13.10312275
26.91522337,4.31298111,7.924221497,2.154020691,9.275499853
26.92522638,1.08464447,2.394420776,2.721790009,3.783892881
26.93522837,-0.14040802,1.468296661,3.034489746,3.373979478
26.94523138,-0.6493496704,1.419498138,2.931503906,3.321196337
26.95523338,-0.7885601807,1.203796692,2.719095612,3.076432118
26.96523537,-0.8068222046,0.8852590942,2.723436584,2.9751895
26.97523838,-0.8515791321,0.7210505676,2.771037598,2.987264686
26.98524037,-0.9542655945,0.5674699402,2.619552612,2.845118775
26.99524338,-0.9183403015,0.3215313721,2.225571899,2.428971307
27.00524538,-0.7300318909,0.2059716797,1.613943787,1.783307444
27.01524837,-0.4797523499,0.5673202515,1.242715759,1.44788019
27.02525038,-0.2339634705,1.323248291,1.051263885,1.70613033
27.03525237,-0.03442840576,1.994751892,0.7414082336,2.128357723
27.04525538,0.1384620667,2.074685669,0.359103241,2.110082346
27.05525738,0.2240840149,1.62876297,0.204175415,1.656734758
27.06526037,0.3053649902,1.039438477,0.1317260742,1.091344072
27.07526238,0.3254232788,0.5309458923,0.04056564331,0.6240588293
27.08526438,0.2716850281,0.08083190918,-0.04565505981,0.287107883
27.09526737,0.1919009399,-0.2498304749,-0.157023468,0.3519909181
27.10526938,0.169896698,-0.4812492371,-0.03023712158,0.5112533615
27.11527237,0.1746867371,-0.596509552,0.0904119873,0.6281030403
27.12527438,0.1501377869,-0.6655160522,0.243842926,0.724508346
27.13527638,0.1080752563,-0.7488926697,0.4110452271,0.8610915575
27.14527937,0.06032455444,-0.8988807678,0.578846283,1.070835518
27.15528138,0.04640350342,-1.388512573,0.8068222046,1.606574779
27.16528437,0.3728746033,-4.158951416,1.281335449,4.367806416
27.17528563,-0.1219963074,-13.85473892,4.997208252,14.72890912
27.18528862,-4.95993576,-41.59131042,13.27619202,43.93967842
27.19529063,-17.50908966,-77.04104233,24.9935257,82.86474975
27.20529263,-23.31222198,-74.47013855,22.78426987,81.29196875
27.21529562,-15.41015442,-45.50567047,9.089398499,48.89638094
27.22529763,-11.51719986,-32.53304718,1.351090393,34.53795733
27.23530062,-20.50795349,-36.20401337,-19.25026886,45.84626039
27.24530263,-24.99816605,-42.37942154,-20.10723679,53.15284232
27.25530563,-18.62457001,-40.02137512,13.01318893,46.0209535
27.26530762,-17.0573291,-37.30362671,10.64391586,42.37695112
27.27530963,-14.44241684,-33.22011841,7.008725281,36.89555395
27.28531262,-12.20157669,-28.69562714,4.797074432,31.54884172
27.29531463,-9.633816376,-24.71196121,2.489473114,26.63998726
27.30531763,-6.506968689,-20.9790239,1.019978943,21.98864348
27.31531962,-3.626358948,-17.47017059,0.9743238831,17.8691535
27.32532163,-2.139500885,-14.32760559,0.5610333252,14.49732749
27.33532462,-1.243314514,-10.95916031,0.2996768188,11.03353216
27.34532662,-0.8704399109,-7.462581482,1.058149567,7.587322882
27.35532963,-0.5797444153,-4.472399597,1.451830902,4.737749963
27.36533162,0.02619552612,-2.116897888,1.20050354,2.433752581
27.37533463,0.4381388855,-0.6373745728,0.9403445435,1.217563095
27.38533663,0.7282356262,0.1345701599,0.8839118958,1.15314201
27.39533862,1.018631744,0.5060975647,0.7544311523,1.364885248
27.40534163,1.154998169,0.6129753113,0.6203100586,1.447253976
27.41534362,1.452729034,14.31832489,0.3852987671,14.39698942
27.42534663,5.759722595,37.34104889,0.3188369751,37.78399123
27.43534863,5.945785675,14.47175583,-0.7430548096,15.66321214
27.44535062,4.353995819,3.205134888,0.9035211182,5.481470574
27.45535363,3.074905701,-0.3811074829,2.549198914,4.012318916
27.46535562,2.137554932,-1.182840271,2.421364746,3.439659783
27.47535863,1.894011383,-1.352886658,2.377955017,3.327499285
27.48536063,1.609004059,-1.467099152,2.367476807,3.216554121
27.49536362,1.293160858,-1.390907593,2.12722641,2.851662872
27.50536563,0.8958869934,-1.338815918,1.868414612,2.466984947
27.51536762,0.5095404053,-1.291663971,1.690285034,2.187485025
27.52537063,0.3586541748,-1.281036072,1.503024445,2.007179293
27.53537263,0.1707948303,-1.293759613,1.25663681,1.811662464
27.54537562,-0.03143463135,-1.274449768,1.136287079,1.707734954
27.55537763,-0.1941462708,-1.218466187,0.9702822876,1.569649751
27.56537962,-0.2875520325,-0.9029223633,0.8437953186,1.26883628
27.57538263,-0.09145980835,-0.3773652649,0.705333252,0.8051487043
27.58538463,0.01032852173,-0.03173400879,0.4718188477,0.4729976223
27.59538762,0.04550537109,0.1290316772,0.2532733154,0.2878667831
27.60538963,0.1019380188,0.1904040527,0.0845741272,0.2319436267
27.61539262,0.1387614441,0.2186952209,0.009879455566,0.2591909367
27.62539462,0.1630110168,0.2327659607,-0.060025177,0.2904403656
27.63539663,0.3393443298,0.6137237549,-0.009879455566,0.7013622638
27.64539962,1.213825836,2.997366943,0.15328125,3.237449134
27.65540163,1.792971497,5.72409668,-0.0245489502,5.998385803
27.66540463,0.9521699524,4.686903534,-0.07259902954,4.783195895
27.67540662,0.3447331238,3.344046021,0.4085005188,3.386496329
27.68540863,-0.1454974365,2.251767426,0.839304657,2.407500436
27.69541162,-0.5671705627,1.198258209,0.7875123596,1.541973054
27.70541363,-0.8434959412,0.3335064697,0.6012995911,1.088243156
27.71541663,-0.9768685913,-0.3838018799,0.5498066711,1.18484746
27.72541862,-0.8961863708,-0.7646099854,0.642613678,1.341913105
27.73542163,-0.909508667,-0.9788145447,0.6429130554,1.482774806
27.74542362,-0.9219328308,-1.285377045,0.8000862122,1.772651189
27.75542563,-0.9976753235,-2.189796295,0.9080117798,2.571973806
27.76542863,-1.164129181,-5.610333252,1.681603088,5.971501059
27.77543062,-3.494183807,-20.34973251,6.451733551,21.63205491
27.78543363,-13.36555618,-58.60567886,16.93877563,62.45146761
27.79543562,-24.56541595,-91.02556137,24.25286591,97.3514971
27.80543863,-19.58242813,-66.70997589,16.34855301,71.42105824
27.81544063,-10.78776672,-37.69910431,7.564818878,39.93525837
27.82544262,-9.33264267,-30.32124664,2.35071167,31.81197986
27.83544563,-10.72654404,-35.10679504,-17.01047653,40.458647
27.84544762,-11.40074203,-46.18196411,-30.68978027,56.60930437
27.85545063,-14.11669418,-45.35433517,17.16495529,50.50675662
27.86545263,-11.70161636,-40.70620102,13.63709152,44.49598737
27.87545462,-6.765032043,-36.46162766,8.236621857,37.98760179
27.88545763,-6.873706055,-32.41898438,5.397475891,33.57634776
27.89545963,-8.322094116,-28.20749222,1.800006866,29.46455315
27.90546262,-7.875722351,-24.52260498,0.6340814209,25.76406833
27.91546463,-6.173761597,-20.98052078,1.031954041,21.8943489
27.92546762,-4.067940674,-17.55684036,1.822160797,18.113836
