Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
5.000164208,4.461622009,-38.8843396,-37.34119858,54.09494476
5.010166208,9.637857971,-30.62062408,-11.97479828,34.26232215
5.020169208,10.21535706,-24.94592468,-6.611152039,27.75536001
5.030172208,10.70992859,-24.37950256,-16.08614868,31.10991635
5.040174208,11.05301514,-26.06350067,-9.168583832,29.75799288
5.050177208,12.44706619,-26.67138657,-11.94426178,31.76409463
5.060180208,13.23143509,-28.33008728,-15.54696991,34.91952166
5.070182208,11.13025452,-27.48105286,-12.09080704,32.0199695
5.080185208,8.56264389,-25.90677658,-11.22051682,29.5022023
5.090188208,5.709576874,-23.56699219,-9.336384888,25.98404263
5.100190208,3.333867188,-20.25258453,-6.996301117,21.68478914
5.110193208,1.661694489,-16.9100354,-4.584067383,17.59898291
5.120196208,0.1815724182,-13.61388977,-3.155138855,13.97590299
5.130198208,-1.075812836,-10.04426285,-1.9481987,10.2878602
5.140201208,-1.088386688,-6.819818115,-1.186582489,7.00731637
5.150203208,0.7943980408,-3.912863159,-0.6956034851,4.052829944
5.160206208,1.234183502,-1.5726297,-0.2959346008,2.020878615
5.170209208,0.135617981,-0.6851252747,-0.2595602417,0.7450908655
5.180211208,-0.4564009094,-1.326092377,-1.158141632,1.818822372
5.190214208,-0.6944059753,-1.255439301,-2.096689911,2.540558222
5.200217208,-0.2555186462,0.01676513672,-0.8249345398,0.8637637659
5.210219208,0.5511538696,0.6950047302,0.6725514221,1.113161075
5.220222208,0.7556286621,0.9166937256,0.82373703,1.445629536
5.230225208,0.4595443726,1.102307739,0.6583309937,1.363694643
5.240227208,0.1330732727,1.16068634,0.4384382629,1.247849906
5.250229417,-0.04834945679,0.9553134155,0.1989363098,0.9770041183
5.260232417,0.3170407104,0.1354682922,0.2188449097,0.4083620511
5.270234417,0.9547146606,-0.9312135315,0.5219645691,1.432161212
5.280237417,1.221010895,-1.523831177,0.772842865,2.100051227
5.290240417,1.207239532,-1.94700119,0.7357200623,2.406143166
5.300242417,1.394500122,-1.983076172,-1.198557587,2.704396787
5.310245417,1.1174263,-1.057850189,-4.478536835,4.735502163
5.320248417,0.5321434021,-0.7520361328,-2.837200012,2.983025118
5.330250417,0.08352630615,-0.413739624,-2.62568985,2.659399238
5.340253417,-0.6125262451,0.2921923828,-2.681972809,2.766503739
5.350256417,-0.7776329041,0.7226971436,-2.556982727,2.768603395
5.360258417,-0.4323010254,0.8397537231,-1.880389709,2.104266131
5.370261417,-0.02694396973,0.7659571838,-0.975970459,1.240941063
5.380264417,0.1429527283,0.4902305603,-0.4390370178,0.6734352143
5.390266417,0.01002914429,0.09445358276,-0.1770817566,0.2009477831
5.400269417,-0.1710942078,-0.309256897,0.1841171265,0.3985124496
5.410272417,-0.6489006042,-0.7705975342,0.8249345398,1.302078933
5.420274417,-0.38963974,-1.035845947,0.4014651489,1.177272364
5.430277417,0.01062789917,-1.096469879,-0.3249742126,1.143664018
5.440279417,-0.2270777893,-1.116977234,-0.4809498596,1.23713994
5.450282417,-0.77927948,-1.074765015,-0.5301974487,1.429512392
5.460285417,-1.368154907,-1.020727386,-0.9957293701,1.976160223
5.470287417,-1.587598572,-0.9970765686,-2.028581543,2.762204552
5.480290417,-1.277892609,-1.276994476,-3.07385788,3.565434991
5.490293417,-0.4718188477,-1.919757843,-3.613934784,4.119297006
5.500295417,0.9172924805,-2.760709076,-2.242037659,3.672829013
5.510298417,2.466421051,-4.326902161,3.66707428,6.184880668
5.520301417,7.234006805,-8.600664825,0.0636177063,11.23860922
5.530303417,16.67711975,-18.06413544,-14.18869446,28.38588316
5.540306417,15.15762955,-30.63664078,-8.199499054,35.15094986
5.550309417,9.770482178,-45.88094009,-21.84108124,51.74510427
5.560311417,4.190685425,-48.9809935,-31.18554932,58.21716289
5.570314417,-0.77927948,-34.16809708,-19.22542053,39.21330041
5.580317417,1.915865936,-22.78067734,-10.09201355,24.98956862
5.590319417,7.005881195,-16.19437363,-4.419858856,18.18997693
5.600322417,10.622211,-16.1217746,-6.052214355,20.23295038
5.610325417,13.23038727,-20.25003983,-5.918692017,24.90257367
5.620327417,11.39625137,-25.43046707,-11.43666733,30.12275818
5.630330417,9.33608551,-27.31609589,-16.55257874,33.27640981
5.640333417,8.43286377,-27.07030701,-11.73125473,30.68447572
5.650335417,6.759194183,-27.8295282,-9.925709381,30.30988374
5.660338417,5.118755493,-27.08542557,-10.66217789,29.55510063
5.670340417,4.110003204,-23.64797379,-8.715027008,25.53567086
5.680343417,3.450474701,-18.80434616,-5.858068085,19.99565382
5.690346417,2.843786316,-14.16998337,-3.82499588,14.95012183
5.700348417,1.983076172,-9.960137787,-1.022373962,10.20696744
5.710351417,0.2522254944,-6.10086319,1.018182678,6.190383294
5.720354417,-1.412163391,-3.776945801,0.6661148071,4.086959011
5.730356417,-1.152902527,-2.925815735,0.1489402771,3.148295596
5.740359417,-0.889151001,-1.638642426,0.08397537231,1.866223557
5.750362417,-0.8887019348,-0.6469546509,-0.909508667,1.426726135
5.760364417,-1.035995636,-0.9138496399,-2.738106079,3.06686045
5.770367417,-0.3577560425,-0.6174659729,-2.810705109,2.899882208
5.780370417,0.7316784668,-0.1523831177,-1.334624634,1.529639469
5.790372417,1.259480896,0.2074685669,0.2065704346,1.293060972
5.800375417,1.013841705,0.8232879639,1.035247192,1.666557777
5.810378417,0.8428971863,1.143472137,0.4065545654,1.477596295
5.820380417,0.9737251282,1.278641052,-0.240100708,1.625026743
5.830383417,1.278191986,1.16308136,-0.4999603271,1.799025662
5.840385417,2.126178589,0.4879852295,-0.3363505554,2.207237339
5.850388417,2.812800751,-0.3445834351,-0.3107537842,2.850816325
5.860391417,2.547103271,-1.205293579,-0.9366023254,2.969459817
5.870393417,1.216969299,-1.664837952,-2.296224976,3.086316384
5.880396417,-0.5444178772,-1.320553894,-2.834206238,3.173795584
5.890399417,-1.308279419,-0.9321116638,-2.021695862,2.582185382
5.900401417,-1.501677246,-0.5763015747,-1.464404755,2.17523317
5.910404417,-1.498982849,-0.1246907043,-1.090332642,1.857773566
5.920407417,-1.096619568,0.2709365845,-0.6842271423,1.320661914
5.930409417,-0.5969586182,0.4851411438,-0.1368154907,0.7813065978
5.940412417,-0.1775308228,0.4212240601,0.5415737915,0.7086953319
5.950415417,0.1884580994,0.1459465027,0.84948349,0.8822919226
5.960417417,0.5611830139,-0.08726852417,0.6114784241,0.8345346209
5.970420417,0.5547463989,-0.2745291138,0.2713856506,0.6758401977
5.980423417,0.3339555359,-0.4038601685,0.1010398865,0.5337025335
5.990425417,0.02365081787,-0.4261637878,0.2176473999,0.4791088874
6.000428417,-0.2662962341,-0.4481680298,0.3947291565,0.6538955377
6.010430417,-0.4468208313,-0.7200027466,0.1887574768,0.8681487173
6.020433417,-0.6132746887,-1.068927155,-0.227227478,1.253133446
6.030436417,-0.6230044556,-1.358574829,-0.3477268982,1.534527326
6.040438417,-0.4300556946,-1.75165741,-0.3742218018,1.842089449
6.050441417,-0.2020797729,-2.378703461,-0.1483415222,2.391876166
6.060444417,0.193996582,-3.624562683,0.408949585,3.652715302
6.070446417,1.672621765,-6.035000153,-0.1203497314,6.263655041
6.080449417,4.74004303,-11.63620239,-6.014941864,13.93013782
6.090452417,9.239985352,-19.25296326,-12.88325912,24.94057516
6.100454417,17.62629593,-29.81649628,-5.600304108,35.08665223
6.110457417,19.8005246,-38.25310226,6.681655426,43.58904824
6.120460417,4.536316681,-33.10725311,-14.37116501,36.37579912
6.130462417,-4.198020172,-23.95333878,-38.43257904,45.48020386
6.140465417,-2.09908493,-17.81894531,-15.58379333,23.76500756
