Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.0003878333373,-0.2799179077,-6.083648987,-3.332220612,6.942105821
0.01039083333,-0.6256988525,-7.241940308,-3.046165466,7.8813909
0.02039283334,-0.8765771484,-8.075107727,-2.962938538,8.646083337
0.03039583333,-1.246607666,-8.200696564,-2.968776398,8.810169584
0.04039883333,-1.144070892,-7.846383362,-2.59171051,8.342157601
0.05040083334,-0.6698570251,-7.435487823,-3.21187088,8.127195221
0.06040383333,-0.2661465454,-7.084767151,-3.433110809,7.877246308
0.07040683334,0.1219963074,-7.261399841,-4.20879776,8.39385426
0.08040883333,0.3890409851,-8.04082901,-4.877008209,9.41230541
0.09041183333,0.6387217712,-8.63644043,-4.598886566,9.805397822
0.1004148333,0.2065704346,-8.851842499,-4.442910919,9.906424401
0.1104178333,-0.4722679138,-8.866511993,-4.969066772,10.17495437
0.1204198333,-1.21457428,-9.030121765,-5.699847107,10.74739721
0.1304228333,-2.238295441,-9.280401306,-6.041736145,11.29771616
0.1404258333,-3.581152954,-9.017996979,-6.281238098,11.55867112
0.1504278333,-4.772226105,-8.374185791,-7.067103882,11.95178175
0.1604308333,-4.288731537,-8.32748291,-6.893614655,11.63022411
0.1704338333,-2.934647369,-9.60986618,-6.256988525,11.83687411
0.1804354583,-2.337688751,-10.67774551,-6.550228729,12.74301904
0.1904384583,-2.218386841,-11.17246674,-7.519762573,13.64888575
0.2004414583,-1.836231537,-11.3785881,-8.04202652,14.05411698
0.2104444583,-1.416504364,-11.64727936,-8.327183533,14.38775822
0.2204464583,-1.120569763,-12.02030365,-8.751401367,14.91074788
0.2304494583,-1.122366028,-12.55304581,-9.074729004,15.53027273
0.2404524583,-1.483564911,-12.98160461,-8.406069489,15.53657065
0.2504544583,-1.986069946,-13.23802139,-8.53105957,15.87352077
0.2604574583,-2.545007629,-13.38336914,-9.80880249,16.78702593
0.2704604583,-3.251089325,-13.76806915,-10.02809647,17.34047372
0.2804624583,-3.550317078,-14.36876999,-10.81306412,18.3299934
0.2904654583,-3.268303528,-15.75503723,-12.59944931,20.43646567
0.3004684583,-3.303779755,-16.88099579,-12.45799347,21.23875186
0.3104714583,-3.46694046,-17.26345047,-13.12006668,21.95865542
0.3204734583,-3.701203308,-17.44876511,-12.84344193,21.97981597
0.3304764583,-3.793561249,-17.1993837,-10.84824097,20.68560462
0.3404794583,-3.438798981,-16.94491287,-9.5525354,19.75364127
0.3504814583,-3.900289307,-16.9179689,-8.021369476,19.12517442
0.3604844583,-4.827161865,-17.05658066,-6.44604538,18.86212969
0.3704874583,-5.592520294,-16.9869754,-4.576582947,18.46019307
0.3804894583,-6.391558685,-17.58543091,-3.007994843,18.9511856
0.3904924583,-6.831493835,-19.02154449,-2.814147949,20.40607487
0.4004954583,-6.223158875,-19.40549606,-3.574416962,20.69003239
0.4104984583,-5.317242737,-17.59007126,-3.913761292,18.78832629
0.4205004583,-4.638853455,-13.74411896,-3.791764984,14.99324011
0.4305034583,-4.042493591,-9.971364441,-4.081113281,11.50762134
0.4405064583,-2.201172638,-7.375612335,-4.228107605,8.781896846
0.4505084583,0.5430706787,-4.890031128,-3.342249756,5.947937762
0.4605114583,1.035696259,-2.393522644,-2.213297424,3.420570548
0.4705144583,1.581760712,-0.7688012695,-1.714235229,2.455936637
0.4805174583,2.234553223,-0.01646575928,0.0628692627,2.235498103
0.4905194583,1.796264648,0.3405418396,1.100062408,2.133699307
0.5005224583,0.5785469055,0.5620811462,1.067280579,1.337811485
0.5105254583,-0.3365002441,0.7523355103,0.7714956665,1.128913946
0.5205274583,-0.549357605,1.245260468,0.3788621521,1.412800036
0.5305304583,-0.6697073364,1.526076508,0.1471440125,1.673041776
0.5405334583,-0.7716453552,1.830393677,-0.06167175293,1.987355271
0.5505354583,-1.028361511,1.731299744,-0.2472857666,2.028811586
0.5605384583,-1.668430481,1.379980316,-0.3713777161,2.196799342
0.5705414583,-2.792742462,0.7924520874,-1.19586319,3.139662329
0.5805444583,-4.054917755,0.516126709,-2.580633545,4.834088774
0.5905464583,-4.600233765,0.08053253174,0.0001496887207,4.600938622
