Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
20.00855621,-4.132306824,2.527943115,3.101699982,5.752129941
20.01855921,-4.044888611,2.461331635,3.235970764,5.735048742
20.02856121,-3.993246002,2.36118988,3.465892639,5.790824041
20.03856421,-4.077371063,2.199076996,3.715124359,5.938269396
20.04856721,-4.150568848,2.105371857,4.141886902,6.230171709
20.05856921,-4.243076477,2.102228394,4.498595123,6.531494491
20.06857221,-4.381688232,2.154469757,4.943769379,6.948509723
20.07857421,-4.609065399,2.295626221,5.422473907,7.47774076
20.08857721,-4.887336731,2.385738831,5.87498291,8.005825022
20.09857921,-5.219945068,2.44082428,6.41446106,8.622688697
20.10858221,-5.644611969,2.463277588,6.9421138,9.280211461
20.11858421,-6.006559296,2.521955566,7.401508484,9.860088351
20.12858721,-6.311026154,2.561623077,7.699089661,10.27944286
20.13858921,-6.638545074,2.475552063,7.900121613,10.6118123
20.14859221,-7.164850616,2.027982788,7.919431458,10.87038146
20.15859521,-8.087082825,1.195414124,7.975415039,11.42090927
20.16859721,-8.935368805,0.4071533203,8.356223145,12.24063131
20.17860021,-9.088650055,0.1221459961,8.814420319,12.66145667
20.18860221,-8.145910492,0.6057902527,9.514813843,12.54011651
20.19860521,-7.279362488,1.554517365,9.747879181,12.26486001
20.20860721,-7.177424469,2.557132416,9.322164459,12.03981306
20.21861021,-7.531438293,3.442840576,9.004824371,12.23366568
20.22861221,-8.084987183,4.179309082,9.219178619,12.95480207
20.23861521,-8.781937866,4.377047882,9.590107269,13.72046422
20.24861821,-9.900411987,3.141816559,9.694889374,14.20844991
20.25862021,-10.72714279,1.185534668,9.358838196,14.28512994
20.26862321,-10.6487059,-0.3023712158,8.717871094,13.76545103
20.27862521,-10.78252762,-0.7503895569,8.425379333,13.70448843
20.28862821,-11.45148651,-0.0477507019,8.310119019,14.14909543
20.29863021,-12.82098862,1.597927094,7.260202332,14.82031235
20.30863321,-14.7283223,3.329226837,5.816903687,16.18158205
20.31863521,-16.37864044,4.860841827,5.376818848,17.91082988
20.32863821,-16.73400146,5.740562439,4.710853729,18.30773074
20.33864058,-16.04333771,5.693260803,4.28139679,17.55369653
20.34864358,-14.07433228,5.016667786,5.209915924,15.82393783
20.35864658,-11.44669647,4.07078476,6.919061737,13.98111455
20.36864858,-9.855954437,3.012335815,7.301815796,12.63053914
20.37865158,-8.73119339,2.159559174,7.072492676,11.44192232
20.38865358,-7.682324524,1.613045654,6.833439789,10.40749373
20.39865658,-7.17847229,1.063238983,6.796466675,9.942479611
20.40865858,-6.585555267,0.7608677673,6.508615265,9.290346097
20.41866158,-5.968837738,0.7611671448,6.298003235,8.7104101
20.42866358,-5.50525177,0.8554710388,5.936055908,8.141031108
20.43866658,-5.131628723,0.8958869934,5.517526245,7.588104027
20.44866958,-4.788841553,0.8720864868,5.228477325,7.143564474
20.45867158,-4.604425049,0.6503974915,4.92026825,6.769991623
20.46867458,-4.516408081,0.3359014893,4.521497498,6.399586814
