Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
20.00880054,-11.33113678,-4.686304779,4.177512817,12.95406216
20.01880354,-11.78424454,-5.398673401,4.175566864,13.61798269
20.02880754,-11.9161203,-5.860762482,4.099524994,13.89778993
20.03881054,-11.97734299,-6.074667664,3.955823822,14.00024551
20.04881354,-12.23495728,-6.089486847,3.711681519,14.16165984
20.05881654,-12.36458771,-5.72993454,3.298390961,14.02121828
20.06881954,-12.1364621,-4.961732025,2.696941681,13.38603718
20.07882354,-11.58800262,-3.961362305,1.878743134,12.38966795
20.08882654,-11.07067841,-3.022814026,1.026864624,11.52179569
20.09882954,-10.60993652,-2.269730072,0.452359314,10.85942248
20.10883254,-10.16012192,-1.689386902,0.2176473999,10.30191613
20.11883554,-9.773176575,-1.102008362,0.2032772827,9.837211213
20.12883954,-9.323811035,-0.6909631348,0.3841012573,9.357265415
20.13884254,-8.832083588,-0.4544549561,0.7039860535,8.87174313
20.14884554,-8.275091858,-0.3020718384,1.105451202,8.354065777
20.15884854,-7.68157608,-0.2017803955,1.470541992,7.823670504
20.16885154,-7.051536255,-0.1947450256,1.625619507,7.239110992
20.17885554,-6.510261841,-0.2496807861,1.639540558,6.718180034
20.18885854,-6.146967316,-0.3251239014,1.629062347,6.367476491
20.19886154,-5.961353302,-0.4444258118,1.670975189,6.207044834
20.20886454,-5.859564972,-0.5304968262,1.659598846,6.113116789
20.21886754,-5.820795593,-0.5911207581,1.6416362,6.076681208
20.22887154,-5.864355011,-0.6894662476,1.609153748,6.120081632
20.23887454,-6.021977234,-0.8478369141,1.559307404,6.278094999
20.24887754,-6.290069733,-1.023122406,1.479223938,6.542160206
20.25888054,-6.587800598,-1.14781311,1.348695374,6.821698532
20.26888354,-7.023694153,-1.264121246,1.240919495,7.243629151
20.27888754,-7.492369537,-1.344504089,1.144819336,7.697655737
20.28889054,-7.899073792,-1.434317322,1.057550812,8.097595116
20.29889354,-8.297395477,-1.495240631,1.119971008,8.505107366
20.30889654,-8.772657166,-1.570084991,1.202000427,8.99274628
20.31889954,-9.284891968,-1.741179199,1.294807434,9.535064245
20.32890354,-9.757159882,-1.986369324,1.364412689,10.05034597
20.33890654,-10.2439476,-2.221081238,1.524429932,10.59224013
20.34890954,-10.81366287,-2.51566864,1.803449707,11.24794756
20.35891254,-11.47184418,-2.908601532,2.054028625,12.0117528
20.36891554,-12.1045784,-3.247646484,2.325264587,12.74656351
20.37891954,-12.71321274,-3.589984589,2.624043274,13.46845836
20.38892254,-13.31241669,-3.896547089,2.839145966,14.15854043
20.39892554,-13.77824799,-4.115541687,2.968926086,14.68306245
20.40892854,-14.00816986,-4.197870483,3.008743286,14.9299523
20.41893154,-13.92509262,-4.003424835,3.084934845,14.81392716
20.42893554,-13.76238098,-3.526067505,3.162623291,14.5546717
20.43893854,-13.8444104,-3.261567535,3.047063599,14.54613759
20.44894154,-14.40259964,-3.642824707,2.868784332,15.1305972
20.45894454,-14.82726654,-4.462071075,2.634970551,15.70671771
20.46894754,-14.62383957,-5.172793121,2.386038208,15.69419162
20.47895154,-14.13735123,-5.579048309,2.242636414,15.3629391
20.48895454,-13.45761475,-5.583239594,2.318977661,14.75322393
20.49895754,-12.72219406,-5.182822266,2.515069885,13.96572393
20.50896054,-12.26010498,-4.569248199,2.660567322,13.35165989
20.51896354,-12.38539444,-4.155358887,2.802172852,13.36103198
20.52896754,-12.84808228,-4.089046783,2.79184433,13.7690928
20.53897054,-13.27334793,-4.371808777,2.525248718,14.20110412
20.54897354,-13.45282471,-5.005740509,2.306553497,14.53809202
20.55897654,-13.350737,-5.76615921,2.261497192,14.71751134
20.56897954,-13.22889038,-6.41910141,2.360890503,14.892354
20.57898354,-13.05599991,-6.899751892,2.577789459,14.99035384
20.58898654,-12.62684235,-7.110513611,2.815345459,14.76220585
20.59898954,-12.13541428,-6.879843292,3.007545776,14.27045392
20.60899254,-11.69967041,-6.379433899,3.094365234,13.68044447
20.61899554,-11.43067978,-5.824088745,3.088677063,13.19546801
20.62899954,-11.28563141,-5.234165497,3.018323364,12.80125934
20.63900254,-11.10780121,-4.620591431,2.851719818,12.36387556
20.64900554,-10.74136322,-4.0344104,2.625540161,11.77059099
20.65900854,-10.32373169,-3.508703613,2.349364471,11.15392086
