Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.0008652083343,2.074386292,6.7934729,0.6215075684,7.130261159
0.01086820833,2.0862117,6.98657135,0.7309300232,7.327940856
0.02087120833,2.135608978,7.182513885,0.8232879639,7.538377444
0.03087420833,2.237696686,7.369774475,0.8761280823,7.751674831
0.04087720833,2.468965759,7.553741913,0.8910969543,7.996803273
0.05088120834,2.816692657,7.694000244,0.8063731384,8.232960277
0.06088420833,3.220702515,7.834258575,0.5565426636,8.488714382
0.07088720833,3.51139801,7.940986633,0.2441423035,8.686126304
0.08089020833,3.552712097,8.053402863,-0.1270857239,8.803136469
0.09089320833,3.430266724,8.141719208,-0.4125421143,8.844462248
0.1008962083,3.252436523,8.233628082,-0.4414320374,8.86373719
0.1108992083,3.141068115,8.449928284,-0.1306782532,9.015801335
0.1209022083,3.014281769,8.64691864,0.4519102478,9.168386959
0.1309052083,2.977757721,8.943302307,1.02267334,9.481326804
0.1409092083,3.000211029,9.254056091,1.5328125,9.848265559
0.1509122083,3.088527374,9.626930695,1.994302826,10.30504923
0.1609152083,3.243754578,10.02270767,2.4126828,10.8072962
0.1709182083,3.391048279,10.28675858,2.740950165,11.17270863
0.1809212083,3.433859253,10.37193146,2.915636902,11.30793041
0.1909242083,3.467239838,10.46848068,2.9966185,11.42762278
0.2009272083,3.489693146,10.7853717,2.947520599,11.71281686
0.2109302083,3.555705872,11.25614273,2.776725769,12.12658235
0.2209342083,3.620371399,11.79981216,2.558479614,12.60509715
0.2309372083,3.602558441,12.26773911,2.286495209,12.98860695
0.2409402083,3.516487427,12.64226028,2.111509094,13.29100822
0.2509432083,3.42832077,13.12934738,2.066153412,13.72596575
0.2609462083,3.390299835,13.78004425,2.170935516,14.35606887
0.2709492083,3.408861237,14.38927734,2.394420776,14.98014981
0.2809522083,3.523223419,14.70332428,2.653082886,15.35056015
0.2909552083,3.746708679,14.38673264,2.990630951,15.16442466
0.3009582083,3.818259888,13.4754277,3.221151581,14.37157187
0.3109622083,3.384162598,12.21355179,3.190914459,13.06925166
0.3209652083,2.878065033,10.83177521,2.903961182,11.57772011
0.3309682083,2.474354553,9.645492096,2.3927742,10.24125562
0.3409712083,1.956880646,8.546627197,1.890269165,8.969243883
0.3509742083,1.414558411,7.52245697,1.547182617,7.809104201
0.3609772083,0.8632548523,6.727609863,1.367705841,6.919289174
0.3709802083,0.3457809448,6.467450867,1.39360199,6.624923523
0.3809832083,-0.1218466187,6.673871613,1.674567719,6.88183013
0.3909872083,-0.5239105225,7.46752121,2.118394775,7.779842651
0.4009902083,-0.9618997192,8.903634796,2.829715576,9.391871693
0.4109932083,-1.398691406,10.48329987,3.930526428,11.2829496
0.4209962083,-1.751358032,11.81912201,5.04780304,12.97070605
0.4309992083,-2.085912323,12.46368164,5.901777191,13.947235
0.4410022083,-2.327210541,12.17178864,6.459816742,13.97489105
0.4510052083,-2.357597351,11.46421005,6.32315094,13.30295513
0.4610082083,-2.403551788,10.67550018,5.788762207,12.37954495
0.4710112083,-2.304607544,9.838740234,4.851710815,11.20942118
0.4810152083,-1.741927643,9.213490448,3.480412445,10.00179928
0.4910182083,-1.063987427,8.613388367,2.430046692,9.012638644
0.5010212083,-0.533789978,8.216563568,1.80195282,8.428753323
0.5110242083,-0.07978408813,7.884104919,1.493294678,8.024674752
0.5210272083,0.2167492676,7.687563629,1.423390045,7.821230978
0.5310302083,0.5661227417,7.528444519,1.367556152,7.672560307
0.5410332083,0.942739563,7.274871826,1.222208405,7.436821321
0.5510362083,1.215921478,6.930138702,1.191971283,7.136251328
0.5610392083,1.48251709,6.674919434,1.186732178,6.939793918
0.5710432083,1.804796906,6.460415497,1.137484589,6.803538157
0.5810462083,2.103425903,6.259233856,1.096619568,6.693652476
0.5910492083,2.307301941,6.086942139,1.086440735,6.599610619
0.6010522083,2.520159302,5.951473846,1.040785675,6.546333223
0.6110552083,2.716550903,5.879323883,0.9635462952,6.547863743
0.6210582083,2.888094177,5.840105438,0.8767268372,6.57393105
0.6310612083,3.028951263,5.910908203,0.7864645386,6.688191685
0.6410642083,3.204087067,6.137686615,0.6765930176,6.956662204
0.6510682083,3.364253998,6.507866821,0.4891827393,7.342331733
0.6610712083,3.403322754,6.984475708,0.1860630798,7.771751807
0.6710742083,3.338657227,7.391179962,-0.1936972046,8.112563831
0.6810772083,3.204087067,7.683072968,-0.603993988,8.346292164
0.6910802083,2.982847137,7.84069519,-0.9262738037,8.439896994
0.7010832083,2.714754639,7.977510681,-1.153950348,8.505420085
0.7110862083,2.429298248,8.116721191,-1.153351593,8.550606574
0.7210892083,2.183958435,8.357420654,-0.9785151672,8.693310438
0.7310932083,2.032772827,8.80963028,-0.7563771057,9.07269846
0.7410962083,1.942660217,9.465117188,-0.4942721558,9.67505437
0.7510992083,2.002386017,10.23257126,-0.1683998108,10.42801145
0.7611022083,2.285746765,11.05181763,0.2854563904,11.28932223
0.7711052083,2.659220123,11.77571228,0.8008346558,12.09876802
0.7811082083,3.046464844,12.29917374,1.484612732,12.75753493
0.7911112083,3.340004425,12.70497986,2.22661972,13.32403761
0.8011142083,3.445235596,13.01393738,2.966231689,13.78516394
0.8111182083,3.307222595,13.14850754,3.699407043,14.05370358
0.8211212083,2.874472504,13.04731796,4.427343292,14.07467466
0.8311242083,2.295476532,12.96334259,5.140610046,14.13305824
0.8411272083,1.822310486,13.16991302,5.732628937,14.47862076
0.8511302083,1.637145538,13.68394409,6.137387238,15.08635455
0.8611332083,1.960473175,14.27371765,6.084696808,15.6398851
0.8711362083,2.721340942,14.04020325,5.491031342,15.31941347
0.8811392083,3.387156372,13.12395859,4.850513306,14.39578399
0.8911432083,3.462898865,12.3699765,4.257147217,13.53260099
0.9011462083,3.173400879,11.56165741,3.723506927,12.55415864
0.9111492083,2.811303864,10.77130096,3.385659485,11.63559384
0.9211522083,2.579885101,9.99366806,3.341950378,10.84886357
0.9311552083,2.579585724,9.119785309,3.581901398,10.13186874
0.9411583333,2.685116272,8.478369141,3.923041992,9.720228966
0.9511613333,2.659519501,8.504714355,4.169130249,9.837929522
0.9611643333,2.627785492,9.258397064,4.278702393,10.53235334
0.9711673333,2.824177094,10.24739044,4.361480255,11.48945156
0.9811713333,3.235521698,11.00496506,4.392016754,12.28282002
0.9911743333,3.772604828,11.8749559,4.248764648,13.16431259
1.001177333,4.34336792,12.28869553,3.831282806,13.58512461
1.011180333,4.59604248,11.925401,3.233875122,13.1831993
1.021183333,4.609364777,11.46166534,2.74618927,12.65533767
1.031186333,4.433031464,11.097323,2.415826263,12.19174156
1.041189333,4.107757874,10.34393967,2.161654816,11.33770321
1.051192333,3.957320709,9.347910919,1.894909515,10.32639859
1.061196333,3.785028992,8.547375641,1.639091492,9.490558241
1.071199333,3.433709564,7.751630402,1.424737244,8.59697688
1.081202333,3.082090759,7.144792328,1.231788483,7.878111685
1.091205333,2.74618927,6.660549316,1.069376221,7.283408419
1.101208333,2.465223541,6.238127747,0.920735321,6.770474018
1.111211333,2.211950226,5.882167969,0.8229885864,6.337975546
1.121214333,1.994602203,5.56497757,0.7382647705,5.957553875
1.131217333,1.805994415,5.321134644,0.6776408386,5.659972335
1.141221333,1.642534332,5.205125885,0.6306385803,5.494448064
1.151224333,1.487456818,5.215304718,0.5668711853,5.452822574
1.161227333,1.292562103,5.371280365,0.4519102478,5.543067059
1.171230333,1.069825287,5.572761383,0.3243754578,5.683785272
1.181233333,0.8337661743,5.669160919,0.2603086853,5.736053711
1.191236333,0.5882766724,5.7649617,0.2481838989,5.800211039
1.201239333,0.4031117249,5.985453186,0.2941383362,6.006218966
1.211242333,0.2823129272,6.261329498,0.4207749939,6.281799047
1.221246333,0.2719844055,6.622977448,0.603993988,6.656020923
1.231249333,0.2601589966,6.977140961,0.8388555908,7.032201461
1.241252333,0.3400927734,7.245981903,1.084345093,7.334556641
1.251255333,0.5539979553,7.520061951,1.345102844,7.659474338
1.261258333,0.8641529846,7.86763916,1.602717133,8.075593386
1.271261333,1.224603424,8.312214661,1.833986206,8.599771597
1.281264333,1.656605072,8.713829498,2.015259247,9.095957054
1.291267333,2.122286682,9.064849548,2.093696136,9.542492421
1.301271333,2.641257477,9.424850922,2.014810181,9.993173471
1.311274333,3.219505005,9.867480469,1.830543365,10.53960494
1.321277333,3.778592377,10.25667114,1.601369934,11.04723716
1.331280333,4.21343811,10.4629422,1.41815094,11.36826162
1.341283333,4.508474579,10.60200302,1.321601715,11.59635469
1.351286333,4.760700073,10.93880264,1.33387619,12.00420319
1.361289333,5.039420471,11.50327881,1.455722809,12.6427968
1.371292333,5.272186432,12.07164688,1.683848419,13.27990789
1.381296333,5.362897797,12.47101639,1.812580719,13.69570631
1.391299333,5.156177673,12.50993546,1.773511963,13.64661123
1.401302333,4.394262085,12.36368958,1.628912659,13.22209195
1.411305333,3.532803497,12.58148666,1.627116394,13.16897927
1.421308333,2.996169434,13.26466599,1.813329163,13.71920397
1.431311333,2.728825378,14.21803345,2.099384308,14.62895682
1.441314333,2.568658447,14.95360382,2.347717896,15.35317729
1.451317333,2.404449921,14.97081802,2.538271637,15.37366562
1.461321333,2.223027191,13.92524231,2.622995453,14.343442
1.471324333,1.922751617,12.25531494,2.582579498,12.67120495
1.481327333,1.542841644,10.46608566,2.39516922,10.84694174
1.491330333,1.155297546,8.649613037,2.237546997,9.008725475
1.501333333,0.863404541,7.137307892,2.148482208,7.503506323
1.511336333,0.5731581116,6.00491272,2.137854309,6.399836563
1.521339333,0.2176473999,5.505850525,2.296224976,5.969456385
1.531342333,-0.2204914856,6.17451004,2.673440552,6.73204836
1.541346333,-0.5366340637,8.173902283,3.160677338,8.780121632
1.551349333,-0.6011499023,10.79195801,3.721710663,11.43148587
1.561352333,-0.8011340332,13.24505676,4.32465683,13.95621729
1.571355333,-1.177750854,14.91693008,4.92026825,15.7515377
1.581358333,-1.61349472,15.14745071,5.151537323,16.08063945
1.591361333,-1.883533173,13.42662918,4.737947388,14.36211035
1.601364333,-1.719174957,11.15450409,3.934717712,11.95242768
1.611367333,-1.464105377,9.65552124,3.3230896,10.31579466
1.621370333,-1.072070618,8.615633698,2.517913971,9.039821358
1.631374333,-0.6608757019,7.917036438,1.868863678,8.161425985
1.641377333,-0.3625460815,7.333549805,1.451830902,7.48466468
1.651380333,-0.07873626709,6.987469482,1.249302063,7.098710081
1.661383333,0.3035687256,6.828500061,1.083147583,6.920532909
1.671386333,0.7033872986,6.756499786,0.8882528687,6.850842008
1.681389333,0.9669891357,6.589447174,0.807121582,6.708750055
1.691392333,1.193917236,6.444099426,0.7647596741,6.598235608
1.701396333,1.391356659,6.360872498,0.7336244202,6.552463435
1.711399333,1.554068298,6.293362885,0.734223175,6.52385073
1.721402333,1.785187683,6.270610199,0.759969635,6.563916603
1.731405333,2.030377808,6.242768097,0.8343649292,6.617458152
1.741408333,2.335144043,6.210585022,0.927171936,6.699545642
1.751411333,3.021915894,6.286327515,1.121916962,7.064600977
1.761414333,4.066892853,6.45188324,1.276844788,7.732835665
1.771417333,4.659959564,6.404282227,1.268013153,8.021091655
1.781420333,4.74468338,6.523434448,1.307530975,8.171710631
1.791424333,4.664599915,6.850953369,1.135838013,8.365654931
1.801427333,4.484823761,7.187154236,0.6676116943,8.4979136
1.811430333,4.221521301,7.40315506,0.2091151428,8.524768389
1.821433333,3.957021332,7.570656738,-0.3321592712,8.548870747
1.831436333,3.512445831,7.715106354,-0.8574169922,8.520287886
1.841439333,2.905009003,7.908055115,-1.224304047,8.513244587
1.851442333,2.240241394,8.158783722,-1.289568329,8.558470646
1.861445333,1.704655151,8.529862061,-1.193767548,8.780061328
1.871449333,1.32684082,9.022188263,-1.008752289,9.174855247
1.881452333,1.171164551,9.718091125,-0.8044271851,9.821406448
1.891455333,1.214723969,10.52626053,-0.6026467896,10.61324164
1.901458333,1.38192627,11.38637192,-0.2664459229,11.47301962
1.911461333,1.653611298,12.18032089,0.1866618347,12.29347347
1.921464333,1.895059204,12.84209473,0.7903564453,13.00520318
1.931467333,2.080822906,13.34729416,1.525178375,13.59434641
1.941470333,2.285746765,13.5790123,2.434387665,13.9835781
1.95147475,2.455344086,13.39743988,3.435206451,14.04709056
1.96147775,2.417772217,13.04222855,4.563260651,14.02742655
1.97148075,2.713557129,13.0401329,5.714217224,14.49347222
1.98148375,3.415148163,13.10404999,6.597230988,15.06329379
1.99148675,4.278852081,12.89897644,6.872957611,15.22923881
2.00148975,4.999154205,12.71126678,6.242618408,15.01792698
2.01149275,5.224884796,12.13721054,5.123395844,14.17252574
2.02149575,4.777914276,11.26916565,3.968547363,12.86747557
2.03149875,4.045187988,10.48928741,3.032543793,11.644098
2.04150275,3.443738708,9.950258331,2.428699493,10.80581132
2.05150575,2.942431183,9.526190186,2.193538513,10.20871255
2.06150875,2.674937439,9.24717041,2.2839505,9.893527217
2.07151175,2.953208771,9.44146637,2.688259735,10.25131551
2.08151475,3.577261047,10.02315674,3.207529907,11.11524699
2.09151775,4.014651489,10.70394104,3.604504395,11.98683579
2.10152075,4.31881897,11.47887955,3.800596619,12.83983674
2.11152375,4.617298279,12.26294907,3.845802612,13.65611808
2.12152775,4.823868713,12.82038986,3.797004089,14.21440627
2.13153075,4.776118011,12.8876001,3.612886963,14.21106934
2.14153375,4.686304779,12.57579849,3.381468201,13.84003206
2.15153675,4.304598541,11.9545903,2.917433167,13.03661053
2.16153975,3.63189743,11.1423793,2.345771942,11.9518175
2.17154275,2.951562195,10.42507095,1.8991008,11.00001853
2.18154575,2.490520935,9.730066223,1.590292969,10.1688699
2.19154875,2.225721588,9.051078186,1.447489929,9.432448251
2.20155275,1.938768311,8.275690613,1.359023895,8.60771884
2.21155575,1.744771729,7.605384521,1.280287628,7.907290213
2.22155875,1.579365692,6.921307068,1.258882141,7.209970302
2.23156175,1.491049347,6.368806,1.185684357,6.647613512
2.24156475,1.368005219,5.875132599,1.166673889,6.144082462
2.25156775,1.175206146,5.456752625,1.165476379,5.702244635
2.26157075,1.017733612,5.203628998,1.121168518,5.419460794
2.27157375,0.830173645,4.970413971,1.087488556,5.155272513
2.28157775,0.6134243774,4.77507019,1.006656647,4.918428854
2.29158075,0.3058140564,4.686005402,0.8041278076,4.764324757
2.30158375,-0.06885681152,4.683760071,0.6469546509,4.728731329
2.31158675,-0.3893403625,4.696633301,0.4911286926,4.73826526
2.32158975,-0.4812492371,4.769531708,0.2242337036,4.798990966
2.33159275,-0.3905378723,4.964576111,0.009580078125,4.979922446
2.34159575,-0.1715432739,5.292544098,-0.1472937012,5.297371571
2.35159875,0.2417472839,5.628894653,-0.2782713318,5.640951312
2.36160175,0.6863227844,6.076014862,-0.3733236694,6.126040004
2.37160575,1.088686066,6.695426788,-0.4834945679,6.800569404
2.38160875,1.503323822,7.491621094,-0.5387297058,7.659934649
2.39161175,1.964963837,8.341703339,-0.5822891235,8.589770549
2.40161475,2.414778442,9.160500641,-0.5993536377,9.492373344
2.41161775,2.925666046,9.935289459,-0.5866300964,10.37369911
2.42162075,3.538791046,10.59706329,-0.456101532,11.18162873
2.43162375,4.032763824,11.05555984,-0.2935395813,11.77177782
2.44162675,4.193978577,11.31901199,-0.0672102356,12.07120566
2.45163075,4.171225891,11.55462204,0.2029779053,12.28615546
2.46163375,4.185745697,11.82960022,0.5149291992,12.55886382
2.47163675,4.173770599,12.16580109,0.8693920898,12.89119543
2.48163975,4.107308807,12.44227615,1.270408173,13.16412391
2.49164275,3.990551605,12.5186174,1.694626007,13.24809575
2.50164575,3.704646149,12.46832199,2.053579559,13.16816788
2.51164875,3.261567535,12.64435593,2.266736298,13.25351474
2.52165175,2.908751221,13.32633774,2.452799377,13.8588721
2.53165475,2.737507324,14.34092789,2.589914246,14.82780546
2.54165875,2.59410553,15.5577475,2.581381989,15.98237854
2.55166175,2.511327667,16.55856628,2.37526062,16.91551794
2.56166475,2.429897003,16.96377365,2.137854309,17.26975498
2.57166775,2.176174622,15.83437225,1.791773987,16.08333096
2.58167075,1.846110992,13.36525681,1.243015137,13.54929156
2.59167375,1.393901367,10.98924774,0.8273295593,11.10815021
2.60167675,0.8940907288,8.828940125,0.6550378418,8.898238957
2.61167975,0.468974762,7.117249603,0.4962181091,7.149923892
2.62168375,0.08652008057,5.873336334,0.5159770203,5.896592042
2.63168675,-0.2676434326,5.29928009,0.653840332,5.346167755
2.64168975,-0.7735913086,5.852230225,0.9782157898,5.98364005
2.65169275,-1.011147308,7.782017212,1.39824234,7.971028316
2.66169575,-0.9009764099,10.59706329,1.98098053,10.81821579
2.67169875,-0.7587721252,13.50386856,3.1744487,13.89270765
2.68170175,-0.682281189,15.5337973,4.944218445,16.31593277
2.69170475,-1.063089294,15.52646255,7.048841858,17.08471158
2.70170875,-1.609004059,13.40432556,8.768016815,16.09791778
2.71171175,-1.981130219,10.92727661,8.980275421,14.28200258
2.72171475,-2.076332245,9.034313049,6.901248779,11.55669514
2.73171775,-1.849404144,7.880063324,4.299060059,9.165021062
2.74172075,-1.45796814,7.253616028,2.709066467,7.879064519
2.75172375,-1.083147583,6.902446289,1.755848694,7.204163941
2.76172675,-0.6685098267,6.62267807,1.216969299,6.766667162
2.77172975,-0.2863545227,6.323300629,0.9442364502,6.399821265
2.78173275,0.03577560425,5.955066376,0.8017327881,6.008899308
2.79173675,0.3367996216,5.610932007,0.6587800598,5.659503789
2.80173975,0.610430603,5.355113983,0.6023474121,5.423347094
2.81174275,1.006506958,5.332660675,0.5574407959,5.455370416
2.82174575,1.670226746,5.497168579,0.4288581848,5.761287973
2.83174875,2.242037659,5.795797577,0.3668870544,6.225159317
2.84175175,2.761158142,6.071823578,0.4417314148,6.684770938
2.85175475,3.757037201,6.605763245,0.6713539124,7.629033533
2.86175775,4.919669495,7.045848083,0.8451425171,8.634893689
2.87176175,5.379513245,7.212152252,0.8333171082,9.035968142
2.88176475,5.197791138,7.337292023,0.6587800598,9.015923586
2.89176775,4.736151123,7.319029999,0.3107537842,8.723296137
2.90177075,4.162993011,7.160659332,0.02409988403,8.282881968
2.91177375,3.691772919,7.094047852,-0.07604187012,7.997529904
2.92177675,3.404819641,7.240742798,-0.4667294312,8.01492292
2.93177975,3.249442749,7.583529968,-0.966839447,8.30683956
2.94178275,3.072510681,8.049960022,-1.658251648,8.774507209
2.951786,2.665806427,8.425678711,-2.516267395,9.188590058
2.961789,2.134561157,8.682544556,-2.754272461,9.355690679
2.971792,1.823957062,8.988059235,-2.077829132,9.403690875
2.981795,1.859433289,9.397158508,-1.221310272,9.656897999
