Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
15.02286396,2.516716461,-7.465275879,-9.015003204,11.97223824
15.03286796,3.704197083,-9.43907135,-10.68163742,14.72801826
15.04287196,5.103337555,-12.12029572,-12.5916655,18.20702234
15.05287596,6.16283432,-15.72899139,-15.49053726,22.92026269
15.06287996,6.242468719,-20.16082535,-17.91085419,27.68078742
15.07288396,5.796096954,-22.57066406,-15.79006439,28.14881436
15.08288796,4.597539368,-20.85268661,-11.44355301,24.22657245
15.09289196,3.549119568,-16.10860199,-9.458381195,19.01431783
15.10289596,3.270698547,-9.812544708,-8.620124359,13.46439923
15.11289996,2.949915619,-4.582570496,-8.853489075,10.39645244
15.12290396,1.928888855,-0.8384065247,-8.0104422,8.281951579
15.13290796,0.9066645813,1.584754486,-5.851930847,6.130137199
15.14291096,0.8129594421,2.441722412,-3.461551666,4.313380499
15.15291496,2.423909454,0.4956193542,-1.786534882,3.051668801
15.16291896,4.78330307,-3.2633638,-0.8689430237,5.855304734
15.17292296,6.903045044,-7.678582306,0.5770500183,10.34145269
15.18292696,8.733588409,-12.2452858,1.135538635,15.0835022
15.19293096,9.057065735,-16.13285156,-0.4706213379,18.50731811
15.20293496,7.601043549,-19.08366531,-5.85043396,21.35859832
15.21293896,5.79190567,-20.89205475,-13.85324203,25.72812542
15.22294296,3.807931366,-17.9107045,-9.314530334,20.54395659
15.23294696,-0.2218386841,-8.325536957,12.0183577,14.62206209
15.24295096,3.567381592,-1.121318207,10.82219513,11.4500425
15.25295496,9.568851471,0.3083587646,2.703228607,9.948137942
15.26295896,8.925788727,-2.329156494,-3.345842285,9.812712926
15.27296196,4.401147766,-6.048023071,-4.059109039,8.510290884
15.28296596,1.213676147,-9.01081192,0.4264631653,9.102176228
15.29296996,0.5580395508,-10.67714676,2.857108612,11.06688487
15.30297396,1.043480072,-11.32859207,3.717519379,11.96853372
15.31297796,2.803669739,-11.01140167,4.611460419,12.26283401
15.32298196,3.489693146,-11.22755219,4.267475739,12.50788693
15.33298596,3.612737274,-11.61584473,3.91750351,12.77992774
15.34298996,2.607577515,-12.0568277,3.8074823,12.90982092
15.35299396,-0.5650749207,-13.31181793,1.510658569,13.40917207
15.36299796,-5.640720062,-15.9213414,-8.82714386,19.05847065
15.37300196,-3.371289368,-15.58334427,-6.646328888,17.27367646
15.38300596,-0.5649252319,-12.74734177,-2.416874084,12.98672949
15.39300896,0.4559518433,-11.04942261,-2.295476532,11.29454933
15.40301296,0.9053173828,-10.5969136,-1.449435883,10.73382699
15.41301696,0.9563612366,-9.565109253,-0.1487905884,9.613952386
15.42302096,0.9222322083,-8.481213226,0.6161187744,8.553425769
15.43302496,1.099164276,-7.366481323,0.7354206848,7.484253655
15.44302896,1.706601105,-6.568341064,0.3025209045,6.793166461
15.45303296,2.328408051,-6.247857513,-1.02027832,6.745233533
15.46303696,2.232158203,-6.710545349,-1.746867371,7.284606697
15.47304096,1.931732941,-7.09659256,-1.751208344,7.560419881
15.48304496,0.7327262878,-7.483088837,-1.211430817,7.615843418
15.49304896,-0.8399034119,-8.140970764,-0.3802093506,8.19300933
15.50305296,-0.4391867065,-8.755892029,-0.2981799316,8.771969075
15.51305696,-0.2451901245,-9.059760132,-0.9801617432,9.115925015
15.52305996,0.122744751,-8.727900238,-1.225651245,8.814393332
15.53306396,0.5203179932,-8.347990265,-1.350940704,8.472585973
15.54306796,0.8652008057,-8.188871155,-1.55855896,8.380649692
15.55307196,1.077908478,-8.00924469,-1.589095459,8.236207353
15.56307596,1.318308563,-7.745642853,-1.623972931,8.023104683
15.57307996,1.491049347,-7.626490631,-1.74806488,7.965068633
15.58308396,1.334325256,-7.880811768,-1.837878113,8.201549486
15.59308796,0.983454895,-8.464148712,-1.82530426,8.714398005
15.60309196,0.7126679993,-9.430688782,-1.753004608,9.618669956
15.61309596,0.6212081909,-10.45605652,-1.695673828,10.61085893
15.62309996,0.4746629333,-11.33338211,-1.756896515,11.47856874
15.63310396,0.1716929626,-11.90249863,-1.92125473,12.0577847
15.64310696,-0.3004252625,-12.26369751,-2.097288666,12.44536668
15.65311096,-0.6349795532,-12.05862396,-2.291135559,12.29076536
15.66311496,-0.6008505249,-11.28608047,-2.493664398,11.57389286
15.67311896,-0.8261320496,-10.93640762,-2.290087738,11.20410673
15.68312296,-1.983824615,-11.20225479,-1.619482269,11.49124864
15.69312696,-3.585493927,-11.34206406,-0.5348377991,11.90731856
15.70313096,-4.286785583,-11.23638382,0.713865509,12.04750829
15.71313496,-3.432811432,-10.98894836,0.9535171509,11.55207234
15.72313896,-1.600771179,-11.07442062,0.1080752563,11.19003757
15.73314296,0.697250061,-11.66763702,-1.289568329,11.75937489
15.74314696,2.378853149,-12.97022827,-4.202361145,13.84000011
15.75314946,2.636617126,-14.12402893,-6.894961853,15.93676385
15.76315346,1.484912109,-14.33479065,-7.432494049,16.21521368
15.77315746,0.3414399719,-14.224021,-5.342989197,15.1982528
15.78316146,-0.9493258667,-13.88407791,-2.191742249,14.08802943
15.79316546,-1.810036011,-12.97097672,-0.2151026917,13.09842496
15.80316946,-1.585203552,-12.06116867,0.9729766846,12.20374302
15.81317346,-0.8629554749,-11.54534134,1.55391861,11.68136387
15.82317746,-0.1692979431,-11.6534166,1.275796967,11.72426706
15.83318146,1.619332581,-10.40935364,2.428100739,10.81076104
15.84318546,3.988156586,-9.417216797,5.335804138,11.53517104
15.85318946,5.06995697,-9.959838409,4.075275421,11.89582761
15.86319346,5.693260803,-10.48030609,1.911225586,12.07902387
15.87319646,5.856571198,-12.00982544,1.286873932,13.4235382
15.88320046,6.527476044,-14.02747971,1.211131439,15.51918071
15.89320446,6.583759003,-15.08368332,1.141675873,16.49747886
15.90320846,5.515131226,-14.27296921,0.03158432007,15.30148097
15.91321246,4.54574707,-12.90661057,-1.473835144,13.76287044
15.92321646,3.918551331,-12.03751785,-2.690954132,12.94210627
15.93322046,3.213966522,-11.54070099,-2.953657837,12.3386164
15.94322446,2.710114288,-11.08564728,-2.459984436,11.67423738
15.95322846,2.236349487,-10.62101349,-2.292482758,11.09336125
15.96323246,1.646725616,-10.44557831,-2.490670624,10.86394273
15.97323646,1.566342773,-10.06761429,-2.274071045,10.4394294
15.98324046,1.536854095,-9.455686798,-1.879042511,9.762311924
15.99324346,0.8599617004,-8.776549072,-2.202669525,9.08950498
16.00324746,0.1199006653,-8.113577728,-2.211351471,8.410386142
16.01325146,-0.2239343262,-7.608977051,-1.888622589,7.843058946
16.02325546,-0.2284249878,-7.318730621,-2.065105591,7.607933818
16.03325946,-0.2290237427,-7.341483307,-1.257085876,7.451851711
16.04326346,-0.07439529419,-7.775430908,-0.2029779053,7.778435607
16.05326746,-0.00209564209,-8.052804108,0.2386038208,8.056338509
16.06327146,0.5261558533,-7.356452179,-0.5715115356,7.397354532
16.07327546,1.340612183,-6.211333466,0.2037263489,6.35762604
16.08327946,2.023641815,-5.149142303,1.015937347,5.625026342
16.09328346,2.533780975,-4.307292938,1.620230713,5.253376633
16.10328646,2.895578613,-3.704646149,2.300865326,5.234764545
16.11329046,3.122357025,-3.066672821,2.470462646,5.025612527
16.12329446,3.148402863,-2.617307281,2.245480499,4.669573927
16.13329846,2.66775238,-2.609224091,1.73294632,4.114371892
16.14330246,2.344574432,-2.664010162,0.775537262,3.632552472
16.15330646,1.927242279,-2.879861298,-0.04056564331,3.465473917
16.16331046,1.493594055,-3.064726868,-0.9794132996,3.547199513
16.17331446,1.260678406,-3.423381042,-2.197280731,4.258742821
16.18331846,1.393751678,-4.01929184,-3.639980621,5.598813228
16.19332246,1.759590912,-4.857398987,-5.162614288,7.303634122
16.20332646,2.277364197,-5.962251434,-6.709796906,9.260464587
16.21332946,2.507286072,-7.492219849,-8.063132629,11.28866465
16.22333346,2.922672272,-9.384884033,-9.311835938,13.53987999
16.23333746,4.256847839,-11.96731384,-10.97293167,16.78518941
16.24334146,5.761219482,-15.68992264,-13.88662262,21.73024643
16.25334546,6.268215179,-20.57411591,-17.99677551,28.0440492
16.26334946,5.13432312,-24.0671022,-17.00538712,29.91270421
16.27335346,4.417463837,-22.27413071,-11.19956039,25.31957817
16.28335746,4.914729767,-16.66694092,-10.05324417,20.07508921
16.29336146,3.375330963,-9.110654297,-10.90512268,14.60542986
16.30336546,1.27310257,-2.922223206,-11.59952866,12.02951552
16.31336946,0.7467970276,0.06556365967,-10.58329193,10.6098102
