Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
10.005644,0.1004411316,-10.30951126,0.6412664795,10.32992418
10.015648,-0.006735992432,-11.5299234,0.5281018066,11.54201328
10.025651,-0.2104623413,-11.87735092,-0.5057981873,11.8899786
10.035654,-0.2788700867,-11.25554398,-1.606609039,11.37304846
10.045657,-0.37676651,-10.43420197,-1.874252472,10.60789074
10.055661,-0.2459385681,-10.20428009,-1.201251984,10.27768574
10.065664,0.5932164001,-10.10264145,-0.590072937,10.13723118
10.075667,2.03127594,-9.950857086,-0.2857557678,10.16008342
10.085671,4.535568237,-10.43809387,-0.3267704773,11.38560327
10.095674,7.895930328,-12.38913666,-0.5887257385,14.70316363
10.105677,6.979835358,-14.21324341,-2.573448486,16.04235104
10.11568,3.650309143,-15.04581207,-3.209625549,15.81148045
10.125684,0.6797364807,-14.85885086,-2.030677185,15.01236625
10.135687,-2.022444305,-14.45259567,-0.416434021,14.59935683
10.14569,-2.979853363,-14.30111069,-0.8464897156,14.6327659
10.155693,-3.808380432,-13.49578537,-5.294939117,14.98920827
10.165697,-2.676134949,-12.62280075,-9.753267975,16.17476532
10.1757,0.3357518005,-12.14514404,-7.094496918,14.06943992
10.185703,2.693049774,-11.38727005,-1.621128845,11.81314924
10.195707,3.24929306,-10.36085449,2.191442871,11.07734774
10.20571,0.904119873,-10.30262558,5.050796814,11.50965139
10.215713,-4.711153107,-10.80408279,6.482719116,13.45172167
10.225716,-5.957760773,-12.11281128,6.512207794,14.98746012
10.23572,-5.843099213,-13.37259155,5.587730255,15.62660368
10.245723,-6.99824707,-14.61979797,2.534230042,16.40537341
10.255726,-7.49326767,-16.46007111,-5.902825012,19.02436186
10.26573,-6.437962189,-17.38844055,-7.887847137,20.1500212
10.275733,-6.276148682,-17.00838089,-2.995271301,18.37516566
10.285736,-5.587730255,-15.73827209,-0.2550695801,16.70272428
10.295739,-4.278852081,-15.05853561,0.07454498291,15.65482759
10.305743,-3.384461975,-14.67144058,-0.7704478455,15.0764499
10.315746,-2.066901855,-13.55835526,-1.162931671,13.7642105
10.325749,-1.19466568,-12.39377701,-0.9392967224,12.48660134
10.335752,-0.5861810303,-10.75872711,0.3558100891,10.78055741
10.345756,0.2257305908,-9.82407074,0.445922699,9.836776263
10.355759,0.7725434875,-9.00961441,-0.5897735596,9.061887668
10.365762,0.9773176575,-8.325686646,-1.006806335,8.443095814
10.375766,1.287472687,-7.645650787,-1.42638382,7.883408697
10.385769,1.370699615,-7.612719269,-1.225351868,7.831589832
10.395772,1.12565918,-7.0708461,-0.9912387085,7.228175934
10.405775,0.6978488159,-6.01419342,-0.2767744446,6.060867888
10.415779,-0.06167175293,-4.830455017,0.6216572571,4.870683404
10.425782,-1.00036972,-3.70329895,0.8325686646,3.925344988
10.435785,-1.833986206,-3.043620758,0.8560697937,3.655131764
10.445789,-2.035018158,-3.031945038,0.7918533325,3.73644501
10.455792,-2.31209198,-3.542832642,1.127455444,4.378194631
10.465795,-2.712808685,-3.41784256,1.669777679,4.672166117
10.475798,-3.529210968,-2.567610626,2.138602753,4.8602033
10.485802,-3.925437012,-1.839225311,1.690434723,4.652888891
10.495805,-3.902983704,-1.393302612,1.686243439,4.474146946
10.505808,-3.592529297,-1.228495331,1.890718231,4.241495368
10.515811,-2.753524017,-0.9891430664,1.057850189,3.11116466
10.525815,-2.244732056,-1.248403931,0.1224453735,2.571444583
10.535818,-1.902992706,-1.803000641,-0.5966592407,2.688530231
10.545821,-1.657802582,-2.592009888,-1.549877014,3.445133295
10.555825,-1.712888031,-3.812571716,-3.137625275,5.226316185
10.565828,-1.883383484,-5.720354462,-5.493126984,8.15132091
10.575831,-1.182540894,-8.504414978,-8.371641083,11.99199114
10.585834,0.04565505981,-12.45993942,-11.89516388,17.22634896
10.595838,2.369273071,-17.57600052,-14.95001129,23.19551868
10.605841,3.12999115,-24.03177567,-15.42676987,28.7281798
10.615844,1.375789032,-27.99149139,-17.65428772,33.12235289
10.625847,1.30348938,-25.29724411,-14.32715652,29.10183943
10.635851,0.720302124,-19.03277115,-7.093748474,20.32452903
10.645854,0.2195933533,-11.76044403,-5.209017792,12.86429677
10.655857,1.430126038,-5.409600677,-8.786727905,10.41708343
10.665861,2.215692444,-1.266216888,-10.51653076,10.82173819
10.675864,3.038830719,0.9075627136,-9.416318665,9.936056532
10.685867,3.418441315,-0.2671943665,-8.251740417,8.935790607
10.69587,1.291214905,-3.687431946,-6.676865387,7.735949953
10.705874,-1.750010834,-7.761509857,-2.676883392,8.394598137
10.715877,-5.4982164,-12.98564621,3.685186615,14.57525271
10.72588,-10.73986633,-18.22999054,7.718549194,22.5222842
10.735884,-14.04888519,-21.66789139,7.832162933,26.98539362
10.745887,-9.264983368,-23.54094635,-2.901416473,25.46437294
10.75589,0.5628295898,-17.54875717,-8.078700256,19.32721018
10.765893,-2.1260289,-7.26978241,-1.918560333,7.813488908
10.775897,-8.158035278,-0.4766088867,-4.111799469,9.148092179
10.7859,-9.776320038,1.031205597,-4.872667236,10.97190523
10.795903,-4.147275696,-0.9283694458,1.149759064,4.402693656
10.805906,-1.314416656,-4.780908051,8.126001892,9.519279368
10.81591,-3.793860626,-8.925938416,7.150181122,12.04951639
10.825913,-4.620890808,-11.83888092,6.110742645,14.10152151
10.835916,-4.34920578,-13.92643982,5.474565582,15.58307368
10.84592,-3.986659698,-15.31734741,4.15026947,16.36274195
10.855923,-3.151546326,-15.74934906,2.754571838,16.29607026
10.865926,-0.8045768738,-15.2962413,0.4076023865,15.3228092
10.875929,2.568808136,-14.64853821,-3.682043152,15.32109293
10.885933,3.629951477,-13.54877518,-3.911216583,14.56171253
10.895936,3.416046295,-11.56360336,-3.27039917,12.49327042
10.905939,2.12842392,-9.769584045,-2.616858215,10.33551681
10.915943,0.5951623535,-8.714278564,-1.696721649,8.897849936
10.925946,-0.6393205261,-8.105644226,-1.441203003,8.257558062
10.93594912,-1.30348938,-7.88874527,-1.342408447,8.1076166
10.94595212,-1.541344757,-7.698191528,-0.7698490906,7.888635122
10.95595612,-1.38536911,-7.219487,0.3246748352,7.358373044
10.96595913,-1.292711792,-6.928192749,1.278341675,7.162758964
10.97596212,-1.516646118,-6.702761536,1.623972931,7.061481129
10.98596613,-1.465751953,-6.777755585,1.548829193,7.105298827
10.99596912,-0.8122109985,-7.443121948,0.8174501038,7.531797642
11.00597212,0.05628295898,-8.182883606,0.2125579834,8.185837329
11.01597512,0.4315525818,-8.727900238,-0.4345463562,8.74936059
11.02597912,0.5547463989,-8.838071136,-0.8809181213,8.899171968
11.03598213,0.5152285767,-8.331823883,-0.5947132874,8.368896797
11.04598512,0.3992198181,-8.040978699,-0.1716929626,8.052713417
11.05598813,0.2034269714,-7.990234222,-0.1933978271,7.995162799
11.06599212,-0.05837860107,-8.102949829,-0.5292993164,8.120428669
11.07599513,-0.4519102478,-8.325536957,-1.320404205,8.441697445
11.08599812,-0.7990383911,-8.744964752,-2.934048615,9.258591261
11.09600212,-0.443228302,-8.931177521,-4.324357452,9.932897393
11.10600513,0.1422042847,-9.386979675,-2.987637177,9.85198383
11.11600812,0.6523434448,-10.15742752,-0.8044271851,10.2100925
11.12601113,0.8369096375,-10.98610428,0.5074447632,11.02961491
11.13601512,0.8756790161,-11.61270126,0.7530839539,11.66999485
11.14601813,0.999022522,-11.58845169,0.01646575928,11.63144573
11.15602112,1.080602875,-10.97188385,-1.100062408,11.07971458
11.16602512,1.097068634,-10.11626312,-2.020049286,10.37414759
11.17602813,1.436412964,-9.44850174,-2.414479065,9.857341248
11.18603112,2.230062561,-9.085356903,-2.199675751,9.610174946
11.19603413,3.936813354,-9.69997879,-1.528770905,10.57947203
11.20603812,6.899901581,-11.37664215,-0.1935475159,13.30691884
11.21604113,6.504274292,-13.75175308,-0.3525169373,15.21645705
11.22604412,4.941524048,-15.17559219,-0.7038363647,15.97537618
11.23604812,2.444865875,-15.56403442,-0.1869612122,15.75599858
11.24605112,-1.403032379,-15.38994644,0.7414082336,15.47154283
11.25605412,-3.442241821,-15.36869064,-0.007484436035,15.74946783
11.26605713,-4.069138184,-15.19819519,-3.993246002,16.23234537
11.27606112,-4.14682663,-14.67368591,-9.287137299,17.85396731
11.28606413,-1.383423157,-14.37071594,-7.880811768,16.44805552
11.29606712,0.2709365845,-14.17716843,-2.073637848,14.33057867
11.30607113,-0.4141886902,-12.79194901,2.54725296,13.04967468
11.31607412,-3.826043701,-10.63059357,5.110522614,12.40022465
11.32607712,-5.278173981,-9.388626251,6.105952606,12.38095637
11.33608013,-4.444707184,-9.518256683,6.378236389,12.28961072
11.34608412,-4.064797211,-10.36040543,5.333409119,12.34122481
11.35608713,-4.054468689,-12.64151184,0.2327659607,13.27782806
11.36609012,-4.529281311,-15.54083267,-7.03686676,17.65076098
11.37609413,-5.769452362,-16.97275497,-5.05004837,18.6242847
11.38609712,-6.113437042,-16.26951736,-1.322350159,17.43043079
11.39610012,-5.842051392,-15.24444901,0.43409729,16.33129604
11.40610313,-5.457201691,-14.78894623,0.4105961609,15.76903834
11.41610712,-5.401367798,-15.15328857,-1.263073425,16.1366751
11.42611013,-4.939578094,-15.00539612,-1.518292694,15.87030425
11.43611312,-3.567531281,-13.70175705,-0.982407074,14.19262306
11.44611613,-2.296374664,-12.31279541,0.2035766602,12.52675979
11.45612012,-1.495839386,-10.69091812,0.8225395203,10.8263492
11.46612312,0.3128494263,-8.817264404,0.7902067566,8.858129208
11.47612613,2.166594543,-7.612419891,0.5095404053,7.931122237
11.48613012,2.869981842,-7.383396149,-0.6599775696,7.949019113
11.49613313,3.027604065,-6.705006866,-1.583856354,7.525430513
11.50613612,1.922152863,-6.037993927,-1.337169342,6.476114895
11.51613913,0.510737915,-5.531896362,-0.5216651917,5.579862467
11.52614312,0.07888595581,-4.680017853,0.1917512512,4.684608696
11.53614612,0.5093907166,-4.458328857,0.698896637,4.541434973
11.54614913,0.494122467,-4.307742004,1.490450592,4.585001762
11.55615312,-0.1953437805,-3.656147003,1.527872772,3.967362513
11.56615613,-1.603465576,-2.851570129,0.980760498,3.415325052
11.57615912,-3.598816223,-1.65211441,0.7851173401,4.037000058
11.58616213,-3.331322479,-1.348545685,2.052980804,4.138963047
11.59616612,-3.395688629,-1.252744904,2.018552399,4.144227895
11.60616912,-3.712579651,-0.9855505371,1.372196503,4.07890681
11.61617212,-3.806135101,-1.087638245,2.0172052,4.442829974
11.62617612,-3.029849396,-0.8011340332,1.544039154,3.493688597
11.63617913,-2.382146301,-0.8942404175,0.724044342,2.645472951
11.64618212,-2.082020416,-1.811682587,-0.4670288086,2.799128207
11.65618513,-1.504221954,-2.862198029,-1.297352142,3.483960939
11.66618912,-0.7686515808,-3.921994171,-2.781366119,4.869174573
11.67619212,-0.1754351807,-5.870641937,-5.980812836,8.382442152
11.68619512,0.3975732422,-9.245823212,-9.893526306,13.54714635
11.69619912,1.446591797,-13.21062836,-14.13540527,19.40162394
11.70620213,2.558479614,-18.156194,-17.5471106,25.37901276
11.71620512,1.828447723,-24.70881775,-19.15970718,31.32033325
11.72620813,0.7141648865,-27.13422409,-20.75029953,34.16651986
11.73621212,1.514251099,-22.29179398,-13.51823868,26.11436026
11.74621513,0.8478369141,-15.86700439,-5.128185883,16.69667471
11.75621812,1.062939606,-9.462422791,-4.311184845,10.45244471
11.76622212,1.05545517,-4.82431778,-7.771239624,9.20761603
11.77622513,0.7354206848,-2.5613237,-8.055797882,8.485110618
11.78622812,1.309027863,-3.040177917,-8.632099457,9.24496494
11.79623113,0.2894979858,-6.604266357,-9.634864197,11.68463741
11.80623512,-2.920426941,-12.16011292,-5.918542328,13.83569235
11.81623813,-7.049290924,-17.91100388,1.364562378,19.29659537
11.82624112,-10.09216324,-20.70105194,8.068222046,24.40248998
11.83624412,-12.1152063,-21.18289993,8.418942719,25.8141835
11.84624813,-5.516328735,-15.84679642,-3.095413055,17.06260301
11.85625112,-3.254382477,-7.250771942,-3.642076263,8.742392039
11.86625413,-7.162455597,-1.754052429,-1.458716583,7.51700234
11.87625812,-9.216633911,1.537901917,-3.453917542,9.961979188
11.88626113,-5.593717804,0.7807763672,-1.975591736,5.983498418
11.89626412,-0.2841091919,-3.541335754,6.593039703,7.489322365
11.90626712,-1.006057892,-8.827892303,9.448950806,12.97021613
11.91627112,-3.121309204,-11.08774292,6.940018158,13.44784244
11.92627412,-3.434458008,-12.52325775,5.868396606,14.25010755
11.936277,-3.139870605,-14.30141006,4.952301636,15.45685637
11.946281,-2.56716156,-15.12978745,3.508104858,15.74190542
11.956284,0.7918533325,-15.16930527,-0.7249424744,15.20724813
11.966287,5.056784363,-15.26944702,-6.575526123,17.37712934
11.97629,4.594246216,-14.31248703,-4.075724487,15.57452771
11.986294,4.301904144,-12.13137268,-5.199587402,13.88208527
11.996297,2.639610901,-10.54452255,-5.736221466,12.29059552
12.0063,0.5231620789,-9.961484985,-3.860172729,10.69606541
12.016304,-0.6738986206,-8.893455963,-2.176773376,9.180742925
