Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
14.91091738,-0.3393443298,-0.3565585327,11.75340866,11.76371131
14.92085638,-0.2486329651,0.02649490356,11.03849533,11.04132689
14.93079537,-0.2965333557,0.07858657837,11.03205872,11.03632309
14.94073538,-0.1787283325,-0.1919009399,10.72444839,10.72765413
14.95067437,0.06451583862,-0.4129911804,10.43809387,10.44646006
14.96061338,0.1094224548,-0.8373587036,9.972112885,10.00780587
14.97055238,0.2525248718,-1.183888092,9.61345871,9.689372951
14.98049238,0.1606159973,-1.351539459,9.194929047,9.295115738
14.99043138,-0.2478845215,-1.397942963,8.923992462,9.036223366
15.00037037,-0.6620732117,-1.264420624,8.481213226,8.600469652
15.01030938,-1.006656647,-0.9719288635,7.985593872,8.107262967
15.02024937,-1.169667664,-0.7631130981,7.362589417,7.493876631
15.03018838,-1.195713501,-0.7170089722,6.845714264,6.986246233
15.04012737,-0.9788145447,-0.623303833,6.522686005,6.625105154
15.05006637,-0.8029302979,-0.5303471375,6.37344635,6.445679446
15.06000638,-0.556842041,-0.230969696,6.111640778,6.141300599
15.06994537,-0.2917433167,-0.08517288208,6.28213623,6.28948362
15.07988438,-0.3059637451,0.2426454163,6.426286469,6.438140134
15.08982337,-0.4861889648,0.3769161987,6.511159973,6.540156705
15.09976338,-0.5313949585,0.5846841431,6.83448761,6.880004145
15.10970237,-1.145268402,0.5336402893,7.210505676,7.320369101
15.11964138,-1.326541443,0.3927832031,7.544161835,7.669965361
15.12958038,-1.67202301,0.4438270569,7.879913635,8.067569789
15.13952037,-2.081721039,0.2119592285,7.996670837,8.265907916
15.14945938,-2.114053802,0.02859054565,8.223598938,8.491031763
15.15939837,-2.311193848,-0.1481918335,8.160280609,8.482556068
15.16933738,-2.370021515,-0.2118095398,8.071814575,8.415227614
15.17927737,-2.42211319,-0.1270857239,7.968978424,8.329909976
15.18921638,-2.518363037,0.01916015625,8.091573486,8.474436912
15.19915538,-2.646197205,0.1052311707,8.261021118,8.675131305
15.20909437,-2.907853088,0.1296304321,8.45037735,8.937633411
15.21903438,-3.15334259,0.2001338196,8.827592926,9.376034338
15.22897337,-3.260220337,0.3641926575,9.374405823,9.931825485
15.23891238,-3.305725708,0.4992118835,9.950857086,10.49745644
15.24885237,-3.252137146,0.5373825073,10.66187851,11.15978626
15.25879138,-3.27743454,0.3709286499,11.26632156,11.73921491
15.26873038,-3.3230896,-0.09639953613,11.34161499,11.81881754
15.27866937,-3.428769836,-1.046324158,11.1423793,11.70486537
15.28860938,-3.313958588,-1.666484528,11.10450806,11.70767233
15.29854837,-3.225193176,-1.872905273,10.87817871,11.49975727
15.30848738,-2.932701416,-1.288071442,10.72369995,11.19185446
15.31842638,-2.891537018,-0.8307723999,11.00721039,11.41095306
15.32836638,-3.251388702,-0.6902146912,11.533965,12.00334426
15.33830538,-3.853885803,-0.9104067993,12.19005066,12.81712181
15.34824437,-4.449946289,-1.654808807,13.16751801,13.99728347
15.35818338,-4.367018738,-2.459086304,13.82105896,14.70168796
15.36812337,-3.124901733,-2.913241882,14.22342224,14.85118613
15.37806238,-1.506167908,-2.999163208,14.28614182,14.67505944
15.38800138,0.9669891357,-3.384312286,13.18907318,13.6506516
15.39794037,3.577560425,-3.320095825,12.952565,13.84163701
15.40788038,6.277944946,-2.948718109,11.89142166,13.76638807
15.41781937,6.721921692,-2.233954468,13.52332809,15.26614511
15.42775838,5.483696594,-1.198108521,13.62302078,14.73407912
15.43769737,3.433709564,-0.6664141846,13.2711026,13.72430812
15.44763738,1.236578522,-0.6773414612,13.64742004,13.72005801
15.45757637,0.1483415222,-0.9174421692,13.42872482,13.46084528
15.46751537,0.0845741272,-1.37953125,13.02740936,13.10052113
15.47745438,-0.05822891235,-1.88503006,11.61494659,11.76706052
15.48739437,-0.199385376,-2.049537964,10.63852707,10.8359872
15.49733338,-0.3838018799,-2.929707642,9.678273926,10.11926267
15.50727237,-0.3249742126,-3.063529358,9.406588898,9.898218782
15.51721238,-0.5580395508,-3.034639435,9.16529068,9.670728922
15.52715137,-0.8357121277,-2.94512558,8.885073395,9.397696988
15.53709038,-1.133592682,-2.729274445,8.474776611,8.975288852
15.54702938,-1.303788757,-2.621348877,7.967032471,8.487929161
15.55696938,-1.347348175,-2.578388214,7.515122223,8.058566554
15.56690838,-1.744472351,-2.353855133,7.331454163,7.895190809
15.57684737,-2.019749908,-2.044298859,6.675817566,7.268086935
15.58678638,-2.038161621,-1.642983398,6.155649261,6.689208852
15.59672637,-1.871558075,-1.28238327,5.984405365,6.400026879
15.60666538,-1.739382935,-0.9970765686,5.767057343,6.105617501
15.61660438,-1.697919159,-0.9056167603,5.850583649,6.158928496
15.62654337,-1.593735809,-0.975970459,5.824088745,6.116577628
15.63648338,-1.47428421,-1.031654663,6.05640564,6.318059397
15.64642237,-1.572480011,-1.07057373,6.167025604,6.453760632
15.65636138,-1.823507996,-1.208437042,6.583759003,6.937678582
15.66630038,-1.86048111,-1.320104828,7.032076721,7.392845848
15.67624038,-2.020198975,-1.642085266,7.290289764,7.74118678
15.68617938,-2.082319794,-1.747316437,7.538024597,8.01317573
15.69611837,-2.068847809,-1.846260681,7.714657288,8.197850134
15.70605738,-2.105222168,-2.066452789,7.895930328,8.428991829
15.71599737,-2.223775635,-2.20446579,7.960595856,8.5542933
15.72593638,-2.313588867,-2.153122559,8.10519516,8.699587276
15.73587579,-2.471510468,-2.108215942,8.043523407,8.674745371
15.74581479,-2.59530304,-2.053280182,8.108937378,8.758220297
15.75575479,-2.733465729,-2.145638123,8.183482361,8.890724458
15.76569379,-2.841241608,-2.276915131,8.511001282,9.257112898
15.77563279,-2.85261795,-2.450703735,9.051227875,9.801433773
15.78557179,-2.870580597,-2.45010498,9.49176178,10.21453812
15.79551179,-2.883902893,-2.64440094,10.02195923,10.75869039
15.80545079,-2.858755188,-2.424957275,10.79270645,11.42520948
15.81538979,-2.957400055,-2.070644073,11.21482864,11.78160275
15.82532979,-3.269950104,-1.560055847,11.60087585,12.15346323
15.83526879,-3.563789062,-1.392254791,11.72706345,12.33543607
15.84520779,-3.591780853,-1.689087524,11.80026123,12.44990247
15.85514679,-3.506607971,-2.242935791,11.51869675,12.24775225
15.86508679,-3.438948669,-2.903212738,11.49848877,12.34788468
15.87502579,-3.482508087,-3.108435974,12.19229599,13.05535592
15.88496479,-3.635040894,-2.842738495,13.0733638,13.86389287
15.89490379,-3.507805481,-2.405946808,13.91491379,14.55053625
15.90484379,-2.710862732,-2.01376236,14.6964386,15.07943378
15.91478279,-1.635199585,-1.539249115,14.86408997,15.03277539
15.92472179,-0.206869812,-0.9128018188,14.26473633,14.29540852
15.93466079,2.188449097,-0.5313949585,12.91020309,13.10515296
15.94460079,3.758384399,-1.159788208,11.94785431,12.57862411
15.95453979,5.487887878,-2.02304306,10.59556641,12.10271226
15.96447879,4.790039062,-2.560425568,11.19836288,12.44602686
15.97441779,3.32892746,-2.188299408,11.47828079,12.14995236
15.98435779,0.9562115479,-1.422342224,11.3600267,11.48858584
15.99429679,-0.2406994629,-0.8674461365,12.02329742,12.05695152
16.00423579,-0.3372486877,-0.4478686523,11.81403259,11.82732806
16.01417479,-0.5526507568,-0.2915936279,11.30119904,11.31846056
16.02411479,-0.7075785828,-0.1986369324,11.02158051,11.04605635
16.03405379,-0.4939727783,-0.3929328918,10.8650061,10.883325
16.04399279,-0.3294648743,-0.615819397,10.644814,10.66770105
16.05393179,-0.1927990723,-0.8358618164,10.07689499,10.11334015
16.06387179,-0.1312770081,-0.9595046997,9.673783264,9.722137911
16.07381079,-0.2276765442,-1.104702759,9.261989594,9.33041564
16.08374979,-0.6623725891,-0.9653425598,8.867110748,8.94406377
16.09368979,-1.246607666,-0.7482939148,8.376730499,8.501975554
16.10362879,-1.771266632,-0.7512876892,7.71435791,7.950668943
16.11356779,-1.921853485,-0.8363108826,7.085066528,7.388579324
16.12350679,-1.578317871,-0.6283932495,6.594985657,6.810271741
16.13344679,-1.079255676,-0.3872447205,6.273753662,6.377674835
16.14338579,-0.7330256653,-0.3733236694,6.13125,6.186188144
16.15332479,-0.4427792358,-0.2501298523,6.132148132,6.153199096
16.16326379,-0.316741333,-0.2665956116,6.110592957,6.124601585
16.17320379,-0.3679348755,-0.2134561157,6.105653229,6.120452674
16.18314279,-0.4742138672,-0.04819976807,6.350543976,6.368407242
16.19308179,-0.7188052368,0.0426612854,6.74197998,6.780324108
16.20302079,-1.084195404,0.03652404785,7.064559174,7.14736385
16.21296079,-1.516047363,-0.1478924561,7.36917572,7.524959972
16.22289979,-1.838925934,-0.1987866211,7.525750122,7.749714808
16.23283879,-1.839824066,-0.2165995789,7.691156158,7.911115663
16.24277779,-2.248474274,-0.2215393066,8.025411072,8.337382029
16.25271779,-2.541714478,-0.2670446777,7.991880798,8.390577098
16.26265679,-2.573897552,-0.3535647583,7.83021698,8.249985127
16.27259579,-2.745291138,-0.4050576782,8.023016052,8.489374637
16.28253479,-2.888243866,-0.3137475586,8.101902008,8.607043994
16.29247479,-3.050207062,-0.2424957275,8.297844543,8.844025744
16.30241379,-3.23177948,-0.1616638184,8.585246887,9.174802336
16.31235279,-3.373534698,-0.1206491089,9.033863983,9.643961377
16.32229179,-3.445085907,-0.1080752563,9.685908051,10.28091007
16.33223179,-3.513493652,-0.2293231201,10.3407962,10.9237948
16.34217079,-3.565585327,-0.5481600952,10.99523529,11.57190897
16.35210979,-3.661535797,-1.130748596,11.37903717,12.00699478
16.36204879,-3.687581635,-1.83114212,11.46435974,12.18125133
16.37198879,-3.57456665,-2.319277039,11.4184053,12.18755728
16.38192779,-3.439397736,-2.267784119,11.35119507,12.07567518
16.39186679,-3.287014618,-1.628463593,11.23144409,11.81531613
16.40180679,-3.185974731,-1.027014313,11.11004654,11.60337569
16.41174579,-3.333717499,-0.7291337585,11.39610168,11.89606834
16.42168479,-3.748355255,-0.6313870239,11.96671509,12.55591839
16.43162379,-4.291126556,-1.0776091,12.45470032,13.21720729
16.44156379,-4.474495239,-1.907932434,13.05001236,13.92710079
16.45150279,-3.736978912,-2.741848297,13.33921097,14.12151878
16.46144179,-2.149679718,-3.1147229,13.56793533,14.08586138
16.47138079,0.1555265808,-3.282523956,13.38007599,13.77772062
16.48132079,2.090852051,-3.189267883,12.42775635,12.99970076
16.49125979,3.731889496,-2.905907135,11.87151306,12.77904996
16.50119879,6.238427124,-2.820883942,11.72661438,13.57898538
16.51113779,5.124593353,-1.883383484,12.79045212,13.90698586
16.52107779,4.106859741,-0.8475375366,12.69270538,13.36747496
16.53101679,2.071542206,-0.5906716919,12.87846909,13.05737899
16.54095579,0.8289761353,-0.5641767883,13.24924805,13.2871393
16.55089479,0.4059558105,-1.017284546,13.38411758,13.42885965
16.56083479,0.2945874023,-1.551074524,12.9658873,13.06165561
16.57077379,-0.08202941895,-2.016606445,11.93348419,12.10295317
16.58071279,-0.1405577087,-2.263892212,11.55177795,11.77236333
16.59065179,-0.03278182983,-2.476300507,10.9552684,11.23169821
16.60059179,0.01526824951,-2.480342102,10.58987823,10.87648156
16.61053079,-0.3848497009,-2.545905762,9.851613464,10.1825357
16.62046979,-0.7942483521,-2.143991547,9.391769714,9.666067896
16.63040879,-1.264720001,-1.902693329,9.05062912,9.334540484
16.64034879,-1.495989075,-1.716779938,8.555608521,8.853459992
16.65028779,-1.843715973,-1.563498688,7.987090759,8.344904765
16.66022679,-2.019749908,-1.194216614,7.638914795,7.991155252
16.67016579,-1.962119751,-0.9557624817,7.011419678,7.343255527
16.68010579,-1.848056946,-0.8178991699,6.322252808,6.637405675
