Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
24.84989713,9.901459808,-10.25741959,1.465302887,14.33180643
24.85983612,10.02869522,-9.822274475,1.811083832,14.15386267
24.86977513,10.03842499,-8.722062378,2.151475983,13.47119881
24.87971412,10.0289946,-7.409142609,2.370470581,12.69233066
24.88965312,10.04561005,-6.168971558,2.445015564,12.0394598
24.89959213,10.24454636,-5.161416779,2.314487,11.70246996
24.90953112,10.61742096,-4.522545319,2.061962128,11.72325602
24.91947012,11.03041214,-4.150419159,1.83473465,11.92737282
24.92940913,11.37409744,-4.091591492,1.56319931,12.1883061
24.93934812,11.73739197,-4.346960449,1.246757355,12.57842754
24.94928712,12.00668198,-4.663103027,0.8816665649,12.91054909
24.95922613,12.07748474,-4.8850914,0.5526507568,13.03975378
24.96916475,12.2213356,-5.03133728,0.2248324585,13.21839432
24.97910375,12.00308945,-4.783452759,0.0426612854,12.9211995
24.98904275,11.62123352,-4.140839081,0.1285826111,12.33759094
24.99898175,10.99448685,-3.5301091,0.1089733887,11.54782605
25.00892075,10.224039,-3.068618774,0.1975891113,10.67644305
25.01885975,9.428443451,-2.805166626,0.4146377563,9.845630004
25.02879875,8.529412994,-2.781665497,0.632434845,8.99380469
25.03873775,7.665110321,-2.864593048,0.7884104919,8.220790757
25.04867675,6.984176331,-2.867586823,0.8048762512,7.592733301
25.05861575,6.518943787,-2.76609787,0.8388555908,7.131031077
25.06855475,6.194867706,-2.684667206,0.7937992859,6.798083643
25.07849375,5.947432251,-2.703827362,0.6770420837,6.568182303
25.08843275,5.749543762,-2.791395264,0.4649331665,6.408221582
25.09837175,5.625002747,-2.816093903,0.2158511353,6.294253926
25.10831075,5.560187531,-2.804118805,0.02065704346,6.227294305
25.11824975,5.675597534,-2.861449585,-0.1574725342,6.358073505
25.12818875,5.881419525,-2.90994873,-0.3254232788,6.569992204
25.13812775,6.164780273,-2.933749237,-0.4787045288,6.84401625
25.14806675,6.553372192,-2.93569519,-0.5303471375,7.200434808
25.15800575,6.980134735,-2.8970755,-0.5173242188,7.575153578
25.16794475,7.421117706,-2.860701141,-0.4878355408,7.968348797
25.17788375,7.917335815,-2.868035889,-0.4272116089,8.431627721
25.18782275,8.347840576,-2.937641144,-0.2712359619,8.853798435
25.19776175,8.779692535,-3.032543793,-0.09490264893,9.289151166
25.20770075,9.191935272,-3.143163757,0.07843688965,9.714798238
25.21763975,9.616153107,-3.260519714,0.2698887634,10.1574716
25.22757875,10.07973907,-3.322341156,0.4056564331,10.62090616
25.23751775,10.51368668,-3.300336914,0.5008584595,11.03089708
25.24745675,10.95496902,-3.219205627,0.5454656982,11.43119259
25.25739575,11.43996048,-3.188968506,0.5846841431,11.89050341
25.26733475,11.89067322,-3.282973022,0.6497987366,12.35266205
25.27727375,12.38868759,-3.469634857,0.7421566772,12.88676619
25.28721275,12.9765152,-3.711980896,0.843046875,13.52329386
25.29715075,13.43770615,-3.904330902,0.9180409241,14.02349976
25.30709075,13.95637756,-4.012555847,0.882714386,14.54854851
25.31702875,14.2903331,-3.948339386,0.8553213501,14.85040668
25.32696775,14.47370178,-3.691024475,0.8369096375,14.96035169
25.33690675,14.37670349,-3.262465668,0.7005432129,14.75886331
25.34684575,14.4349324,-3.116219788,0.4593946838,14.77461142
25.35678475,14.57638824,-3.564537506,0.3686833191,15.01042802
25.36672375,14.69703735,-4.622836761,0.4818479919,15.41446412
25.37666275,14.79687973,-5.81301178,0.7821235657,15.91698693
25.38660175,14.90675125,-6.646328888,1.051712952,16.35515273
