Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
14.90995729,-5.893095245,-0.9300160217,-0.199385376,5.969359756
14.91989629,-6.036047974,-0.9027726746,-0.2653981018,6.108953249
14.92983629,-6.27629837,-0.7484436035,-0.1995350647,6.323915188
14.93977629,-6.448889465,-0.6677613831,-0.0007484436035,6.483369584
14.94971529,-6.760840759,-0.6785389709,0.3070115662,6.80173794
14.95965529,-7.22292984,-0.7330256653,0.7117698669,7.294837794
14.96959529,-7.67693573,-0.7512876892,1.204694824,7.807116306
14.97953429,-8.101153564,-0.6605763245,1.856289825,8.337317439
14.98947429,-8.372389526,-0.5215155029,2.446961517,8.738220956
14.99941429,-8.44453949,-0.3514691162,3.041974182,8.982615691
15.00935329,-8.441695404,-0.1883084106,3.608845367,9.182670975
15.01929329,-8.558602295,0.04505630493,4.197421417,9.532578343
15.02923329,-8.799750824,0.445922699,5.123395844,10.19233274
15.03917229,-8.818611603,1.002315674,6.350993042,10.91364558
15.04911229,-8.718619537,1.484013977,7.620203705,11.67407935
15.05905229,-8.951984253,1.391656036,7.488777008,11.75399973
15.06899129,-9.756561127,0.4915777588,6.118227081,11.52670102
15.07893129,-10.22044647,-0.6953041077,5.194198608,11.48567251
15.08887129,-10.37642212,-1.941911774,4.5095224,11.47941417
15.09881029,-10.34124527,-2.99542099,3.933220825,11.46229151
15.10875029,-10.08647507,-3.744014282,3.633544006,11.3559352
15.11869029,-9.821526031,-4.050427094,3.970493317,11.34165554
15.12862929,-9.634864197,-3.578757935,5.228028259,11.53127902
15.13856929,-9.704918518,-1.902693329,6.909930725,12.06452767
15.14850929,-9.915081482,0.1778302002,8.065527649,12.78253498
15.15844829,-10.4271666,1.55616394,8.093070374,13.29079522
15.16838829,-11.76897629,1.823807373,7.021748199,13.82533992
15.17832729,-13.53156097,1.25783432,5.016218719,14.48612232
15.18826729,-15.29474442,0.5007087708,2.998265076,15.59389334
15.19820729,-15.95127914,-0.06212081909,1.727856903,16.044708
15.20814629,-14.95031067,-0.7298822021,1.008303223,15.00203961
15.21808629,-13.34504883,-1.536405029,0.4610412598,13.44110961
15.22802629,-12.3407872,-1.750609589,-0.1860630798,12.46572429
15.23796529,-11.77301788,-0.8348139954,-0.8399034119,11.83242588
15.24790529,-11.18908218,0.7580236816,-1.164578247,11.27503448
15.25784529,-10.89659042,2.276615753,-1.316212921,11.20941919
15.26778429,-10.93042007,3.400628357,-1.472188568,11.54147718
15.27772429,-11.08100693,4.206702118,-1.485211487,11.94533007
15.28766429,-11.01274887,4.537813568,-1.489103394,12.00374186
15.29760329,-10.70798264,3.980372772,-1.513951721,11.5237281
15.30754329,-10.52416489,2.475552063,-1.482367401,10.91255322
15.31748329,-10.38540344,0.9574090576,-1.296304321,10.50969275
15.32742229,-10.1828746,-0.3674858093,-1.010249176,10.23946211
15.33736229,-10.04156845,-1.578916626,-0.6252497864,10.18415495
15.34730229,-9.704020386,-2.755170593,-0.1338217163,10.08845305
15.35724129,-9.270821228,-3.727398834,0.3085084534,9.99683979
15.36718129,-8.788823547,-4.13036087,0.6712042236,9.734157148
15.37712029,-8.32987793,-3.751648407,1.006956024,9.191065908
15.38706029,-7.766449585,-2.717748413,1.382525024,8.343576633
15.39700029,-6.932683411,-1.4730867,1.776655426,7.306749496
15.40693929,-6.071075134,-0.4640350342,2.207010498,6.476432439
15.41687929,-5.256918182,0.2128573608,2.667153625,5.898661331
15.42681929,-4.607718201,0.7412585449,3.332070923,5.734389931
15.43675829,-4.178860016,1.090182953,4.242028656,6.053608595
15.44669829,-3.940405884,1.050964508,5.572162628,6.905093865
15.45663829,-4.451592865,0.4237687683,5.921087036,7.419941421
15.46657729,-5.685926056,-0.1336720276,4.703818359,7.38061857
15.47651729,-6.748416595,-0.2827619934,3.764970703,7.732792852
15.48645729,-7.364685059,-0.219743042,3.254681854,8.054801487
15.49639629,-7.823780365,-0.06107299805,3.111878815,8.420157889
15.50633629,-7.910150757,0.08622070312,3.32892746,8.582521601
15.51627629,-7.734116821,0.1848655701,3.758534088,8.60100673
15.52621529,-7.509284363,0.2712359619,4.229305115,8.622641263
15.53615529,-7.414232025,0.3061134338,4.592300262,8.726612382
15.54609529,-7.465275879,0.006885681152,4.906496887,8.933314226
15.55603429,-7.618108063,-0.5968089294,5.178481293,9.23084069
15.56597429,-7.947872314,-1.145268402,5.361999664,9.655638479
15.57591429,-8.213420105,-1.473386078,5.371579742,9.923961169
15.58585329,-8.435258789,-1.397493896,5.216801605,10.01606704
15.59579329,-8.904832306,-0.6813830566,4.784650269,10.13179152
15.60573229,-9.341623993,0.4408332825,4.180356903,10.24381065
15.61567229,-9.417665863,1.375938721,3.659440155,10.19691816
15.62561229,-9.482181702,1.923500061,3.373534698,10.2465779
15.63555129,-9.756860504,2.301314392,3.41544754,10.59045121
15.64549129,-10.47850983,2.357297974,4.031266937,11.4720153
15.65543129,-11.26213028,1.78204422,4.991520081,12.44694873
