Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.0001955416519,0.1595681763,-4.639901276,-1.724414063,4.952549819
0.01013454166,-1.296903076,-4.523443451,-1.103505249,4.833344813
0.02007354167,-2.349214783,-4.440216522,-1.086440735,5.139521994
0.03001354166,-2.765648804,-4.401447144,-1.180145874,5.330506031
0.03995254167,-2.915038147,-4.386777649,-1.098116455,5.380253274
0.04989154165,-3.055745544,-4.314777374,-0.8461903381,5.354523575
0.05983154167,-3.04451889,-4.188739471,-0.6650669861,5.220818684
0.06977054165,-2.859353943,-4.171974335,-0.2305206299,5.063044003
0.07971054167,-2.471959534,-4.376000061,1.176553345,5.161805715
0.08964954165,-0.758921814,-4.955894165,4.153412933,6.510582792
0.09958854166,3.019520874,-5.776787109,10.73462723,12.55870206
0.1095285417,8.000263367,-6.476132812,20.95582214,23.34718381
0.1194675417,11.84606598,-8.422535248,20.70299789,25.2958989
0.1294075417,12.10622498,-12.48164429,12.36743179,21.33788875
0.1393465417,13.02261932,-17.10478043,17.58393402,27.77331207
0.1492855417,14.0487355,-19.63766327,18.87664581,30.64853251
0.1592255417,13.05674835,-18.21142914,13.48006805,26.15046966
0.1691645417,11.37768997,-14.01236115,6.973997498,19.35031615
0.1791045417,9.097332001,-8.855584717,3.599265289,13.1961184
0.1890435417,6.065386963,-4.434228973,3.76302475,8.403074489
0.1989825417,4.052073669,-1.369801483,5.986051941,7.357205649
0.2089225417,3.504811707,0.8565188599,8.544531555,9.275039038
0.2188615417,4.862488403,0.3278182983,6.928192749,8.470602876
0.2288015417,6.927294617,-3.894900513,-1.269659729,8.04796226
0.2387405417,7.775430908,-9.189989319,-11.18339401,16.43111473
0.2486795417,7.510032806,-14.30784668,-16.03959549,22.76804104
0.2586195417,7.084767151,-17.94528259,-12.50843857,22.99321918
0.2685585417,7.506589966,-20.32563263,-3.604055328,21.96518722
0.2784975417,13.90099274,-24.28534836,33.86482773,43.92997042
0.2884375417,4.92954895,-20.43206131,13.54159012,25.00288474
0.2983765417,-2.058519287,-12.67938309,-10.38660095,16.51925351
0.3083165417,-4.682263184,-8.585097198,-7.518864441,12.33534778
0.3182555417,-6.834936676,-5.548811188,-3.537892914,9.488010921
0.3281945417,-5.823639679,-4.855752411,-3.60151062,8.394283134
0.3381345417,-2.990930328,-5.223537598,-3.922592926,7.184549013
0.3480735417,-1.990710297,-5.450166321,-2.580483856,6.350286398
0.3580135417,-1.769620056,-6.065985718,-2.05118454,6.643425012
0.3679525417,-1.773212585,-7.116800537,-2.235151978,7.667400936
0.3778915417,-1.58310791,-8.520132294,-2.327060852,8.972964792
0.3878315417,-0.8267308044,-9.661209412,-1.892813873,9.879534173
0.3977705417,-0.08996292114,-10.39947418,-1.57023468,10.51773709
0.4077105417,0.2490820312,-10.80857346,-1.503922577,10.91554328
0.4176495417,0.460891571,-10.80992065,-1.649420013,10.94474266
0.4275885417,0.4643344116,-10.44932053,-1.922003174,10.63475444
0.4375285417,0.2441423035,-9.826765137,-2.222278748,10.07786889
0.4474675417,0.2884501648,-9.402547302,-2.508333893,9.735647805
0.4574065417,0.6255491638,-9.316625977,-2.748284912,9.733647893
0.4673465417,1.161584473,-9.353150024,-2.844085693,9.844771064
0.4772855417,1.654359741,-9.213939514,-2.869233398,9.791122909
0.4872255417,2.229613495,-8.975934448,-2.6104216,9.6100404
0.4971645417,2.816992035,-8.76277771,-2.323917389,9.493277061
0.5071035417,3.221450958,-8.609646149,-2.068398743,9.422421474
0.5170435417,3.577261047,-8.539442139,-1.456022186,9.372239287
0.5269825417,4.499642944,-8.127349091,0.3135978699,9.295102662
0.5369225417,5.381908264,-8.430319061,1.825154572,10.16692703
0.5468615417,5.854625244,-8.791517944,2.282303925,10.80631
0.5568005417,5.744154968,-8.751551056,2.991529083,10.88734166
0.5667405417,5.163961487,-8.584348755,3.681893463,10.67304461
0.5766795417,4.553231506,-8.311615906,2.947221222,9.924766448
0.5866185417,4.378993835,-7.925568695,1.491498413,9.176861864
0.5965585417,4.428091736,-7.418123932,1.231339417,8.726554638
0.6064975417,4.616998901,-6.944359131,1.654659119,8.501688032
0.6164375417,4.840035095,-7.025789795,1.100511475,8.60225479
0.6263765417,5.439837799,-7.761809235,0.322130127,9.48373796
0.6363155417,6.443800049,-8.686586151,0.06032455444,10.81586691
0.6462555417,7.064259796,-9.633816376,-0.1010398865,11.9467315
0.6561945417,7.189399567,-10.21775208,-0.03293151855,12.4936387
0.6661345417,7.251670074,-10.33870056,0.5322930908,12.63957215
0.6760735417,7.432044983,-10.04411316,1.330583038,12.56542689
0.6860125417,7.37621109,-9.564660187,2.242935791,12.28503055
0.6959525417,6.888674927,-9.213939514,3.264411621,11.95854953
0.7058915417,6.155349884,-9.191935272,3.841012573,11.7103964
0.7158315417,5.667364655,-9.462422791,3.241509247,11.49625371
0.7257705417,5.781726837,-9.733359375,2.029329987,11.50151425
0.7357095417,6.224955139,-9.86852829,0.9596543884,11.70721374
0.7456495417,6.601871338,-9.958790588,0.237406311,11.95067265
0.7555885417,6.779252472,-10.13602203,-0.1073268127,12.19461872
0.7655275417,7.071893921,-10.43016037,-0.08681945801,12.60188345
0.7754675417,7.46512619,-10.66217789,0.4819976807,13.02468687
0.7854065417,8.216563568,-10.95481934,1.633553009,13.79088391
0.7953465417,9.389225006,-11.40283768,3.216062164,15.11705359
0.8052855417,10.43584854,-11.73769135,4.740791473,16.40595735
0.8152245417,10.40097107,-11.19701569,5.458848267,16.22813556
0.8251645417,9.398505707,-10.04396347,5.234015808,14.71760963
0.8351028333,7.937693481,-9.244476013,4.38543045,12.94987702
0.8450428333,7.140151978,-8.971743164,3.406615906,11.96156251
0.8549818333,6.627617798,-9.601333923,1.508712616,11.76380655
0.8649208333,6.393504639,-10.88147186,-0.748742981,12.64294062
0.8748608333,6.481371918,-11.70610703,-3.101101227,13.7352813
0.8847998333,6.612499237,-12.14634155,-4.434079285,14.52307882
0.8947388333,6.288123779,-13.06782532,-4.279301147,15.12021751
0.9046788333,5.955964508,-14.45903229,-3.278182983,15.97759718
0.9146178333,5.686375122,-16.0394458,-2.03950882,17.13937805
0.9245578333,5.004093933,-17.80352737,-0.6150709534,18.50364438
0.9344968333,3.597618713,-19.41762085,1.85344574,19.83487134
0.9444358333,1.86392395,-19.96158966,6.001469879,20.92742017
0.9543758333,1.187929688,-18.84566025,6.687343597,20.0322403
0.9643148333,1.272952881,-16.71648788,2.063009949,16.89134057
0.9742548333,1.055604858,-14.64764008,-1.245410156,14.73834142
0.9841938333,0.6864724731,-12.6208548,-2.950514374,12.9793203
0.9941328333,0.6071374512,-10.63268921,-4.052971802,11.39514265
1.004072833,0.5266049194,-8.940308533,-3.660787354,9.675112064
1.014011833,0.3571572876,-7.730524292,-3.503464508,8.494870848
1.023951833,0.6740483093,-7.0509375,-3.273991699,7.803145673
1.033890833,1.344953156,-6.331533508,-2.721340942,7.021603242
1.043829833,2.253264313,-5.462889862,-1.506018219,6.098233891
1.053769833,2.911595306,-4.877307587,-0.1760339355,5.683001361
1.063708833,2.973117371,-4.44635376,0.6926097107,5.39344017
1.073647833,2.479294281,-4.192032623,0.476459198,4.893572418
1.083587833,2.053729248,-4.300257568,-0.630788269,4.807069047
1.093526833,1.887724457,-4.54350174,-1.316063232,5.093027991
1.103466833,1.731299744,-4.692142639,-1.494492188,5.219876267
1.113405833,1.439406738,-4.912783813,-1.956880646,5.480576468
1.123344833,1.1373349,-5.119054871,-2.220482483,5.694628688
1.133284833,0.6614744568,-5.022355957,-2.236499176,5.537466603
1.143223833,-0.3595523071,-4.624932404,-2.107617188,5.095225982
1.153163833,-1.413809967,-4.115990753,-2.132465515,4.846405645
1.163102833,-2.300266571,-3.758085022,-2.21150116,4.93002705
1.173041833,-3.010240173,-3.658691711,-1.978735199,5.134487699
1.182981833,-3.329526215,-3.672463074,-1.716330872,5.2458099
1.192920833,-3.337160339,-3.727548523,-1.377884674,5.189395273
1.202859833,-3.16980835,-3.933370514,-0.5463638306,5.08110244
1.212799833,-2.447111206,-4.427343292,1.243164825,5.209143947
1.222738833,-0.05104385376,-5.34493515,4.220174103,6.810345563
1.232678833,3.061284027,-6.740932159,10.37836807,12.74841755
1.242617833,6.599476318,-8.210725708,21.02842117,23.51943029
1.252556833,9.723180542,-10.68118835,21.87670715,26.21484962
1.262496833,9.176068268,-14.54405548,12.93235703,21.51686866
1.272435833,9.100625153,-19.06779831,19.71595047,28.8984604
1.282375833,10.86755081,-22.45555344,23.45786911,34.24364414
1.292314833,10.46548691,-19.61326401,13.8072876,26.16959557
1.302253833,8.265811157,-12.60438904,6.713239746,16.50035894
1.312193833,6.416257324,-6.827601929,4.228107605,10.27917312
1.322132833,4.729265442,-3.01068924,5.099745026,7.578759835
1.332071833,2.938239899,-0.6360273743,8.168064423,8.703738331
1.342011833,2.690804443,-0.6038442993,9.361532593,9.7592699
1.351950833,5.20332962,-3.931574249,1.303040314,6.65055105
1.361890833,7.101532288,-7.808212738,-11.09103607,15.31048752
1.371829833,6.345604248,-11.57587784,-16.46111893,21.10061794
1.381768833,5.860014038,-14.9565976,-12.54077133,20.37916882
1.391708833,4.945116577,-17.77613434,-6.733447723,19.64139629
1.401647833,4.910538483,-21.00611755,6.039790192,22.40199608
1.411587833,4.761298828,-21.93328949,15.08937149,27.04493088
1.421526833,1.065184937,-15.34129761,-0.8967851257,15.40435831
1.431465833,-0.6794371033,-10.81231567,-4.602479095,11.77075269
1.441405833,-1.712738342,-8.354127502,-3.26575882,9.13181798
1.451344833,-1.666933594,-7.218888245,-2.74379425,7.900596306
1.461284833,-1.279688873,-6.772067413,-2.427352295,7.306883045
1.471223833,-0.7447013855,-6.591991882,-2.107617188,6.960674345
1.481162833,-0.3670367432,-6.906787262,-2.152673492,7.243785572
1.491102833,-0.5203179932,-7.642507324,-2.461930389,8.046101556
1.501041833,-1.125210114,-8.625213776,-2.584974518,9.074277036
1.510980833,-1.428479462,-9.219028931,-2.154020691,9.574489706
1.520920833,-1.120420074,-9.282796326,-1.752256165,9.512941208
1.530859833,-0.5137316895,-9.115743713,-1.471140747,9.247970523
1.540799833,0.05852828979,-8.826395416,-1.245260468,8.913997714
1.550738833,0.3731739807,-8.653055878,-1.012793884,8.720113892
1.560677833,0.8219407654,-8.624764709,-0.9922865295,8.720480805
1.570617833,1.12790451,-8.580756226,-1.23208786,8.741829699
1.580556833,1.272952881,-8.52177887,-1.595232697,8.76275593
1.590496833,1.508712616,-8.50531311,-1.768123169,8.817189144
1.600435833,1.929038544,-8.482560425,-1.57607254,8.84075934
1.610374833,2.500400391,-8.437204742,-1.191073151,8.880150969
1.620314833,3.614084473,-8.208779755,0.1862127686,8.971083927
1.630253833,4.636907501,-8.186027069,1.452729034,9.519578352
1.640193833,4.975653076,-8.426726532,2.12138855,10.01334774
1.650132833,5.055586853,-8.670569458,2.405946808,10.32115852
1.660071833,4.96113327,-8.740773468,2.14473999,10.27686109
1.670011833,4.537813568,-8.621321869,1.258882141,9.823631049
1.679950833,4.115092621,-8.340954895,0.1300794983,9.301743735
1.689889833,3.953578491,-7.857011261,-0.3146456909,8.801273246
1.699829833,4.080215149,-7.318131866,-0.1398092651,8.379901927
1.709768833,4.30355072,-7.108567657,-0.1407073975,8.310961528
1.719708833,4.594395905,-7.429649963,-0.3522175598,8.742552803
1.729647833,5.035229187,-8.037236481,-0.2537223816,9.487627641
1.739586833,5.743855591,-8.678353271,0.1010398865,10.40749257
1.749526833,6.480024719,-9.283544769,0.4688250732,11.33113943
1.759465833,7.106472015,-9.797276459,0.8681945801,12.13434516
1.769405833,7.52125946,-10.17329453,1.443598022,12.73378344
1.779344833,7.379803619,-10.14919464,2.257904663,12.75012889
1.789283833,6.753655701,-9.899663544,3.385210419,12.45290541
1.799223833,5.932164001,-9.719288635,4.385131073,12.20182428
1.809162833,5.398523712,-9.718839569,3.916455688,11.78721876
1.819102833,5.498815155,-9.878707123,2.08037384,11.49581567
1.829041917,5.922284546,-9.96208374,0.6655160522,11.60859502
1.838980917,6.2891716,-9.834698639,-0.09370513916,11.67406345
1.848920917,6.428232422,-9.662107544,-0.609382782,11.62109468
1.858859917,6.643634491,-9.625882874,-0.8517288208,11.72693235
1.868798917,6.847211151,-9.672136688,-0.6212081909,11.86677834
1.878738917,7.059320068,-9.832004242,0.1612147522,12.10488734
