Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.001626875019,5.999823303,-0.5360353088,-2.146835632,6.3948508
0.011565875,5.737868042,0.1191522217,-1.667232971,5.976369525
0.02150587502,6.101312256,0.6783892822,-0.629740448,6.171126015
0.03144587501,7.558082886,0.7717950439,1.507964172,7.745594906
0.04138487502,8.809031525,0.04670288086,3.976780243,9.665195221
0.05132487501,7.154073029,-2.789598999,6.936575317,10.34788387
0.06126387502,3.432961121,-7.340136108,11.51854706,14.08331447
0.07120387501,0.2119592285,-12.31833389,16.27056519,20.40876204
0.08114387502,-1.735491028,-16.92141174,15.20822433,22.81745367
0.09108287501,-1.417402496,-20.73353439,13.63454681,24.85536854
0.101022875,-0.7247927856,-24.82916748,16.49255356,29.81639155
0.110961875,1.190474396,-25.7963063,13.53006409,29.15354665
0.120901875,3.829785919,-21.19053406,8.105644226,23.00885617
0.130840875,1.993404694,-14.58536957,5.140610046,15.59270789
0.140780875,-0.6783892822,-10.1656604,4.809648285,11.26648037
0.150720875,-2.170037384,-7.339836731,5.57545578,9.469317433
0.160659875,-1.72935379,-5.993536377,2.34607132,6.66462253
0.170599875,2.153721313,-5.93934906,-4.466112671,7.736959683
0.180538875,6.84496582,-6.258036346,-8.766819305,12.76219796
0.190478875,9.135802002,-7.356452179,-8.595575409,14.54180812
0.200418875,9.404642944,-8.924441528,-6.720724182,14.60346189
0.210357875,9.395212555,-12.41847565,0.8684939575,15.59624436
0.220297875,11.04927292,-17.94528259,16.09168716,26.51531624
0.230236875,14.98114655,-16.42953461,2.681972809,22.39547582
0.240176875,15.97522934,-10.61352905,-3.216062164,19.44731363
0.250115875,12.9260701,-5.397026825,-1.389560394,14.07629443
0.260055875,11.13803833,-1.935175781,-0.3486250305,11.31027597
0.269995875,9.384734344,0.4480183411,-0.8964857483,9.438095457
0.279934875,7.273674316,-0.4840933228,-4.27436142,8.450494066
0.289874875,6.76548111,-2.23949295,-6.161337433,9.420676318
0.299813875,7.373367004,-3.063379669,-6.177952881,10.09544144
0.309753875,8.666527863,-3.967649231,-5.283712463,10.89809905
0.319693875,8.776698761,-4.968468018,-4.039649506,10.86438603
0.329632875,8.057145081,-5.796096954,-3.11247757,10.40191537
0.339572875,7.289092255,-6.537056122,-2.461331635,10.09564867
0.349511875,6.973099365,-7.274722137,-1.98098053,10.26985788
0.359451875,7.335346069,-8.006400604,-1.688189392,10.98907348
0.369390875,7.809260559,-8.650960236,-1.412462769,11.73962157
0.379330875,7.646698608,-9.075327759,-1.262324982,11.93427995
0.389270875,7.095844116,-9.248218231,-1.258133698,11.72448057
0.399209875,6.460864563,-9.195527802,-1.284628601,11.31153275
0.409149875,5.717210999,-9.013955383,-1.20514389,10.74198609
0.419088875,4.986131287,-8.780590668,-1.081051941,10.15524254
0.429028875,4.336931305,-8.652457123,-1.44509491,9.785820696
0.438968875,3.577859802,-8.925339661,-2.221829681,9.869108164
0.448907875,1.581611023,-8.985215149,2.308649139,9.41092161
0.458847875,0.8202941895,-8.738827515,4.333638153,9.788789942
0.468786875,1.386117554,-8.180488586,3.005599823,8.824700883
0.478726875,2.509980469,-7.881410522,1.741478577,8.452773593
0.488665875,3.404669952,-8.052205353,1.054557037,8.805786681
0.498605875,3.868106232,-8.385412445,0.3727249146,9.242094544
0.508545875,3.820205841,-8.551117859,0.03742218018,9.365734874
0.518484875,3.425925751,-8.340954895,0.5427713013,9.033443225
0.528424875,3.465443573,-8.301437073,0.9569599915,9.046487111
0.538363875,3.776496735,-8.616681519,1.005309448,9.461489051
0.548303875,3.722159729,-9.321715393,0.7265890503,10.06363665
0.558243875,3.909420319,-10.22418869,0.9913883972,10.99092592
0.568182875,4.285737762,-10.57146652,1.550625458,11.51207592
0.578122875,4.185296631,-10.23766068,2.178419952,11.27261804
0.588061875,3.611689453,-9.551038513,3.032543793,10.65189933
0.598001875,2.807711334,-9.320517883,3.638633423,10.39206186
0.607940875,2.25940155,-9.793983307,3.486998749,10.63889866
0.617880875,2.247426453,-10.6912175,2.444416809,11.19500919
0.627820875,2.704875183,-11.67706741,1.24960144,12.05121392
0.637759875,3.246898041,-12.4337439,0.5547463989,12.86266216
0.647699875,3.405867462,-12.92397446,0.4267625427,13.37202958
0.657638875,3.445085907,-12.80302597,0.8247848511,13.28406417
0.667578875,3.705993347,-12.11864914,1.622176666,12.77605185
0.677518875,4.064048767,-11.43636795,2.352807312,12.36295703
0.687457875,4.362528076,-11.00391724,2.759511566,12.15453618
0.697397875,4.366120605,-11.08430008,2.860401764,12.25180051
0.7073361667,4.11748764,-11.67137924,2.796334991,12.68835243
0.7172761667,3.891607361,-12.79449371,2.576142883,13.61911118
0.7272151667,3.697012024,-14.11624512,2.270927582,14.76798518
0.7371551667,3.751648407,-14.46621735,2.575095062,15.16500658
0.7470951667,3.775598602,-12.90511368,2.945275269,13.76487378
0.7570341667,3.384012909,-11.14567245,2.752176819,11.96879422
