Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
19.87824613,4.864733734,-10.12464569,3.616329803,11.80050532
19.88818512,4.41237442,-10.48614395,4.136498108,12.10532443
19.89812513,4.064497833,-10.6579866,4.656367035,12.32049411
19.90806412,3.976630554,-10.63224014,4.91547821,12.3701272
19.91800312,4.2719664,-10.43854294,4.862338715,12.28231303
19.92794312,4.960684204,-10.52955368,4.505780182,12.4812637
19.93788212,5.622158661,-11.28233826,3.936064911,13.20577266
19.94782212,5.783672791,-12.0952977,3.39089859,13.82914642
19.95776058,5.606740723,-12.7190506,2.45953537,14.11591669
19.96770058,5.566474457,-12.75153305,1.337019653,13.97765555
19.97763958,5.646108856,-11.94965057,1.245859222,13.27497116
19.98757958,5.899382172,-11.24207199,1.665436707,12.80470898
19.99751858,6.118825836,-10.59796143,1.458417206,12.32411444
20.00745858,5.529052277,-9.889484711,0.9011260986,11.36592958
20.01739758,4.764891357,-9.335037689,0.506995697,10.49305308
20.02733758,4.263733521,-9.310638428,0.9318122864,10.28278589
20.03727658,4.1432341,-8.834478607,0.1175056458,9.758494179
20.04721658,4.85230957,-8.648565216,-0.816252594,9.95031943
20.05715558,4.882846069,-9.352850647,-0.7560777283,10.57779062
20.06709558,4.950505371,-9.757010193,-0.4595443726,10.95070465
20.07703458,5.209317169,-10.15757721,-0.09220825195,11.41586013
20.08697458,4.916526031,-10.55095917,0.7966433716,11.66745937
20.09691358,4.180656281,-10.54616913,1.66274231,11.46578747
20.10685258,3.700754242,-10.2943927,2.0862117,11.13653367
20.11679258,3.732338562,-9.802665253,2.177372131,10.71277493
20.12673158,3.643722839,-9.337432709,2.399210815,10.3063368
20.13667158,3.419638824,-8.964558105,2.562970276,9.931064815
20.14661058,3.492387543,-8.513695679,2.22078186,9.466343377
20.15655058,3.456611938,-8.082592163,1.723366241,8.958038478
20.16648958,3.241658936,-7.655081177,1.545835419,8.455662459
20.17642958,3.108585663,-7.246880035,1.423689423,8.012956174
20.18636858,3.049308929,-6.905739441,1.46844635,7.69050433
20.19630858,2.978206787,-6.69991745,1.591041412,7.502667677
20.20624758,2.763403473,-6.600224762,1.819316711,7.383039954
20.21618758,2.275418243,-6.534361725,1.882485352,7.170715615
20.22612658,2.09324707,-6.618486786,1.981728973,7.218954243
20.23606658,2.013313293,-6.780150604,2.221829681,7.413528159
20.24600558,1.973645782,-6.696773987,2.366578674,7.371753803
20.25594558,1.872456207,-6.634204102,2.40564743,7.301088677
20.26588458,1.797761536,-6.744075623,2.519261169,7.420322054
20.27582358,1.702709198,-6.857988739,2.573747864,7.520332853
20.28576358,1.678160248,-6.994205475,2.538870392,7.627646748
20.29570258,1.686542816,-7.167844391,2.434687042,7.7556509
20.30564258,1.844763794,-7.423662415,2.251468048,7.973896505
20.31558158,1.960024109,-7.652835846,2.105820923,8.175700138
20.32552158,2.145189056,-7.656877441,1.982926483,8.195218464
20.33546058,2.208058319,-7.730823669,1.964215393,8.276430285
20.34540058,2.250719604,-7.819589081,2.298170929,8.455371178
20.35533958,2.192341003,-8.024662628,2.594255219,8.713881426
20.36527958,2.113305359,-8.362360382,2.798280945,9.067828127
20.37521858,2.279459839,-8.722361755,3.069666595,9.523569959
20.38515858,2.567460938,-8.974736938,3.341351624,9.914756147
20.39509758,2.877466278,-9.198671265,3.564687195,10.27630089
20.40503758,3.251239014,-9.434880066,3.689527588,10.63955501
20.41497658,3.51139801,-9.716594238,3.769311676,10.99771931
20.42491658,3.640878754,-10.0568367,3.880380707,11.37775536
20.43485558,3.794160004,-10.22358994,4.090843048,11.64699267
20.44479558,3.878434753,-10.00264938,4.249812469,11.53933087
20.45473458,3.593876495,-10.35426819,4.027225342,11.67670167
20.46467358,3.706592102,-11.39071289,3.565585327,12.4980224
20.47461358,4.318369904,-12.58043884,2.903961182,13.6142848
20.48455258,5.06995697,-13.27723984,2.014061737,14.3543027
20.49449258,5.601351929,-13.3335228,1.063388672,14.5013368
20.50443158,5.902675323,-12.59241394,0.3329077148,13.91119306
20.51437158,6.011648712,-11.62961609,0.4119433594,13.09799939
20.52431058,5.942342834,-10.59721298,1.413061523,12.23148005
20.53425058,5.72634201,-9.281449127,1.984573059,11.08489156
20.54418958,5.746699677,-8.737180939,1.074465637,10.51272393
20.55412958,5.387746124,-9.161997528,-0.008382568359,10.62873827
20.56406858,4.274062042,-9.323062592,0.5168751526,10.26909258
20.57400858,4.557572479,-9.526040497,-0.1026864624,10.56065618
20.58394758,5.58952652,-9.472601624,-1.572929077,11.11067478
20.59388758,6.12660965,-9.720186768,-1.482068024,11.58507239
20.60382658,6.108497314,-9.958491211,-1.151705017,11.73932328
20.61376658,6.293512573,-9.893675995,-0.6884184265,11.74593739
20.62370558,6.227948914,-9.865983582,0.4951702881,11.67776405
20.63364458,5.929319916,-9.535321198,1.514700165,11.33020307
20.64358458,5.31918869,-8.859476624,2.288890228,10.58409717
20.65352358,4.831652527,-8.424181824,2.55084549,10.04084251
20.66346358,4.348906403,-8.082292786,2.480641479,9.507366918
20.67340258,4.066294098,-7.770191803,2.037413177,9.003426059
20.68334258,3.712280273,-7.660020905,2.333946533,8.826338511
20.69328158,3.306773529,-7.458988953,2.393372955,8.502911353
20.70322158,3.056194611,-7.104376373,1.948498077,7.975533456
20.71316058,2.880460052,-6.829098816,1.496288452,7.561251212
20.72310058,2.705623627,-6.619085541,1.139280853,7.240901426
20.73303958,2.564616852,-6.388415222,0.9448352051,6.94851223
20.74297958,2.716850281,-6.009702759,0.9957293701,6.670028461
20.75291858,2.961890717,-5.930068359,1.184486847,6.733610952
20.76285858,2.969824219,-5.797893219,1.371448059,6.657048253
20.77279758,2.947819977,-5.757776642,1.659299469,6.677941988
20.78273758,3.099903717,-5.668861542,2.093546448,6.791784078
20.79267658,3.117716675,-5.655389557,2.272873535,6.846133391
20.80261658,3.298091583,-5.577701111,2.576292572,6.973194475
20.81255558,3.32772995,-5.858517151,2.718496857,7.265413614
20.82249458,3.486549683,-6.127358093,2.728076935,7.559295579
20.83243458,3.577410736,-6.443350983,2.73571106,7.861218383
20.84237358,3.753744049,-6.754104767,2.789000244,8.215050088
20.85231358,4.092190247,-6.917714539,2.683769073,8.473689391
20.86225258,4.229604492,-7.123386841,2.674488373,8.705462785
20.87219258,4.264781342,-7.540120239,2.705324249,9.075271478
20.88213158,4.433330841,-7.922275543,2.720143433,9.477133133
20.89207158,4.611460419,-8.392896881,2.656525726,9.937978375
20.90201058,4.640050964,-8.924740906,2.980601807,10.49118965
20.91195058,4.634961548,-9.31737442,3.406765594,10.94999482
20.92188958,4.647984467,-9.629625092,3.711980896,11.31866782
20.93182958,4.494403839,-9.86613327,4.097279663,11.58999362
20.94176858,4.165238342,-10.01193008,4.506378937,11.74288745
20.95170858,3.880380707,-9.968220978,4.636907501,11.65863178
20.96164783,3.854783936,-9.713750153,4.835095367,11.51496628
20.97158783,4.237238617,-9.518406372,4.912484436,11.51897367
20.98152683,4.932243347,-9.662107544,4.557572479,11.76668235
20.99146683,5.410049744,-10.23706192,4.00866394,12.25297766
21.00140583,5.426964569,-10.98340988,3.333118744,12.69633481
21.01134483,5.334307251,-11.85549637,2.275118866,13.19787081
21.02128483,5.355263672,-12.09574677,1.398392029,13.30193366
21.03122383,5.317242737,-11.66030228,1.137185211,12.86580389
21.04116383,5.475314026,-11.49295029,-0.1724414062,12.73172047
21.05110283,5.011129303,-11.57602753,-0.430355072,12.62145141
21.06104283,4.493954773,-11.06963058,-0.6129753113,11.96277934
21.07098183,4.872816925,-10.27463379,-0.129181366,11.37229669
21.08092183,5.266947327,-9.837093658,0.1917512512,11.16001408
21.09086083,5.217550049,-9.583071899,-0.406255188,10.91893488
21.10080083,5.06651413,-9.630672913,-0.9440867615,10.92294493
21.11073983,5.221891022,-9.911938019,-1.22744751,11.27037216
21.12067983,5.561534729,-10.01148102,-1.395398254,11.53722484
21.13061883,5.514682159,-10.47596512,-0.9006770325,11.87302757
21.14055883,5.533842316,-10.85767136,-0.390687561,12.19282883
21.15049783,5.105582886,-11.09537704,0.466280365,12.22259325
21.16043783,4.072581024,-10.622211,1.500629425,11.47471879
21.17037683,3.506607971,-9.843530273,1.79252243,10.6021
21.18031683,3.562292175,-9.117539978,1.60421402,9.91932273
21.19025583,3.441044312,-8.823401642,1.423689423,9.577060826
21.20019583,3.228486328,-8.492888947,1.296004944,9.177794694
21.21013483,3.206781464,-8.061186676,1.252744904,8.765588844
21.22007383,3.261118469,-7.806117096,1.110091553,8.532447541
21.23001383,3.206781464,-7.475454712,1.001118164,8.195615174
21.23995283,3.221151581,-7.057823181,0.902024231,7.810399047
21.24989283,3.109932861,-6.873855743,0.9247769165,7.601104362
21.25983183,2.968626709,-6.824608154,1.111289062,7.524824541
21.26977183,2.819237366,-6.663393402,1.34794693,7.359746727
21.27971083,2.730621643,-6.427933044,1.632804565,7.172215037
21.28965083,2.698887634,-6.437962189,1.885928192,7.231049492
21.29958983,2.627336426,-6.457421722,2.100432129,7.281003167
21.30952983,2.541714478,-6.277944946,2.147883453,7.10537181
21.31946883,2.37526062,-6.068530426,2.311044159,6.914466693
21.32940883,2.282603302,-6.124514008,2.587369537,7.02953987
21.33934783,2.169738007,-6.313121796,2.880310364,7.270450991
21.34928783,2.117796021,-6.67656601,3.176993408,7.69122102
21.35922683,2.104324036,-6.932683411,3.235372009,7.93460213
21.36916683,2.105371857,-7.113806763,3.251987457,8.100262942
21.37910583,2.017803955,-7.2884935,3.161126404,8.196730472
21.38904583,1.949096832,-7.524552612,2.891537018,8.293301924
21.39898483,2.004182281,-7.873626709,2.695295105,8.560102796
21.40892383,2.115401001,-8.338260498,2.520907745,8.964177898
21.41886383,2.409539337,-8.699309692,2.290237427,9.312843627
21.42880383,2.681523743,-9.116941223,2.124232635,9.737635808
21.43874283,2.944077759,-9.414073334,2.174078979,10.10044504
21.44868183,3.185525665,-9.692045288,2.482587433,10.499836
21.45862183,3.264112244,-10.02525238,2.874771881,10.9281484
21.46856083,3.328029327,-10.29484177,3.416794739,11.34610208
21.47850083,3.453318787,-10.28496231,3.871549072,11.51932084
21.48843983,3.721710663,-10.13976425,4.177512817,11.58091372
21.49837983,3.911815338,-10.3633992,4.043691101,11.79210668
21.50831883,4.12108017,-11.47304169,3.503314819,12.6841319
21.51825883,4.702171783,-12.73132507,2.913690948,13.88116179
21.52819783,5.347479858,-13.38681198,2.100132751,14.56752668
21.53813783,5.948330383,-13.01423676,1.400038605,14.37752068
21.54807683,6.180946655,-12.01850739,1.270557861,13.57434855
21.55801683,5.93815155,-11.13998428,1.165925446,12.67755007
21.56795583,5.489085388,-10.3647464,1.166374512,11.78636737
21.57789583,5.146447906,-10.12030472,0.7888595581,11.3810717
21.58783483,4.531077576,-10.00175125,-0.8126600647,11.01027286
21.59777483,4.035158844,-10.03872437,-1.811981964,10.97003976
21.60771383,4.195774841,-10.21969803,-0.7217990112,11.07103194
21.61765383,5.555696869,-9.723330231,-1.341061249,11.2786242
21.62759283,6.611152039,-9.515562286,-1.532064056,11.68762068
21.63753183,6.662644958,-9.724976807,-0.7761360168,11.81390701
21.64747183,6.628964996,-10.01282822,-0.4312532043,12.01606779
21.65741083,6.279292145,-9.878407745,0.6676116943,11.72425498
