Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
29.82091562,10.52461395,-3.093766479,-2.086810455,11.16663189
29.83085563,10.39079224,-2.910697174,-2.008373566,10.97607788
29.84079462,10.68403244,-3.063529358,-2.146087189,11.31986977
29.85073363,11.04987167,-3.457061005,-2.32960556,11.81008031
29.86067363,11.3654155,-3.979774017,-2.602637787,12.32010528
29.87061263,11.59833115,-4.583768005,-2.930456085,12.81092453
29.88055263,11.72002808,-5.143603821,-3.236719208,13.20197219
29.89049163,11.81418228,-5.648503876,-3.562591553,13.57101903
29.90043163,11.90070236,-6.063291321,-3.842808838,13.89810772
29.91037063,11.89681046,-6.272705841,-3.935316467,14.01312432
29.92031063,11.77631104,-6.21193222,-3.859424286,13.86235043
29.93024963,11.49474655,-5.879323883,-3.532055054,13.38547946
29.94018863,11.15525253,-5.418582001,-3.0855336,12.7797186
29.95012863,10.78686859,-4.959037628,-2.656974792,12.1658581
29.96006763,10.51129166,-4.587659912,-2.304457855,11.6980512
29.97000763,10.05893234,-4.228257294,-1.847158813,11.06671927
29.97994663,9.950258331,-4.046984253,-1.607207794,10.86134611
29.98988663,9.633816376,-4.063899078,-1.48012207,10.56013518
29.99982563,9.258546753,-4.130660248,-1.347797241,10.22739456
30.00976562,8.931177521,-4.3409729,-1.40527771,10.02919653
30.01970463,8.51818634,-4.528532867,-1.503473511,9.763582389
30.02964363,8.125403137,-4.787045288,-1.743723907,9.590544917
30.03958363,7.62783783,-5.125192108,-2.06046524,9.417909593
30.04952263,7.002438354,-5.414989471,-2.31673233,9.150054785
30.05946263,6.442003784,-5.599256287,-2.487826538,8.890464814
30.06940163,5.973777466,-5.73696991,-2.592758331,8.678780831
30.07934163,5.572911072,-5.823190613,-2.601889343,8.469752941
30.08928063,5.268444214,-5.843997345,-2.488574982,8.252382374
30.09921963,5.033582611,-5.825585632,-2.321672058,8.041427921
30.10915963,4.774471436,-5.716312866,-2.081122284,7.733232198
30.11909863,4.60547287,-5.599256287,-1.809437256,7.47235669
30.12903863,4.457580414,-5.411846008,-1.508413239,7.171709061
30.13897762,4.370760956,-5.202281799,-1.291663971,6.916334511
30.14891763,4.308789825,-5.081333313,-1.124611359,6.756505658
30.15885662,4.396657104,-5.052144012,-1.039139099,6.777504178
