Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
24.85063167,-8.092172241,-0.3308120728,3.950135651,9.010896729
24.86057167,-8.245902557,-0.0845741272,4.174369354,9.242695563
24.87051067,-8.371341705,0.1904040527,4.317920837,9.421255543
24.88045067,-8.377628632,0.4555027771,4.199067993,9.382127492
24.89038967,-8.668773193,0.5135820007,3.888613586,9.51486788
24.90032967,-9.187294922,0.3674858093,3.43415863,9.815033332
24.91026867,-9.816137238,0.01257385254,3.07610321,10.28684205
24.92020867,-10.49302963,-0.8652008057,2.918480988,10.92564756
24.93014767,-11.21662491,-2.091600494,3.025658112,11.80432438
24.94008767,-12.02599182,-3.152294769,3.529959412,12.92370129
24.95002667,-12.46218475,-3.644171906,4.407883759,13.71187357
24.95996667,-11.98886902,-3.203039246,5.367987213,13.52064079
24.96990567,-11.10331055,-2.014660492,6.191574554,12.87159499
24.97984567,-10.79300583,-0.6429130554,6.971153412,12.86465281
24.98978467,-11.16722763,0.5806425476,7.78111908,13.62313961
24.99972467,-12.28195953,1.370549927,8.343349915,14.91094983
25.00966367,-13.511353,1.511407013,7.295678558,15.4294503
25.01960367,-14.13555496,1.057251434,5.227728882,15.10830381
25.02954267,-13.89725052,0.1044827271,3.528612213,14.33860498
25.03948267,-13.24385925,-1.200802917,2.204316101,13.47964187
25.04942167,-12.53448441,-1.967508545,1.120420074,12.73733608
25.05936167,-11.27350662,-1.99026123,0.2845582581,11.45137829
25.06930067,-9.946366425,-1.484762421,-0.2782713318,10.06042541
25.07924067,-9.174721069,-0.6408174133,-0.7415579224,9.226920494
25.08917967,-8.939859467,0.1911524963,-1.245410156,9.028215384
25.09911967,-9.043893127,0.8982820129,-1.711989899,9.248233501
25.10905867,-9.286089478,1.522034912,-2.117047577,9.645202875
25.11899867,-9.814790039,2.054926758,-2.591111755,10.35696324
25.12893767,-10.49781967,2.370919647,-3.08897644,11.19675191
25.13887767,-10.87488556,2.461930389,-3.48924408,11.68328128
25.14881667,-10.81515976,2.37406311,-3.632945251,11.65341785
25.15875667,-10.54512131,2.167342987,-3.462898865,11.30878541
25.16869567,-10.13811768,1.671873322,-3.119812317,10.73824098
25.17863567,-9.698332214,0.9553134155,-2.665057983,10.10310871
25.18857567,-9.354048157,0.196690979,-2.111658783,9.591454899
25.19851492,-9.102720795,-0.5325924683,-1.541644135,9.247694158
25.20845492,-8.866212616,-1.232387238,-1.204245758,9.032093462
25.21839392,-8.437204742,-1.893712006,-0.8018824768,8.684214676
25.22833392,-7.984246674,-2.492766266,-0.2192939758,8.367207924
25.23827292,-7.769593048,-2.978057098,0.6457571411,8.345801489
25.24821292,-7.725883942,-3.293151855,1.410965881,8.516158555
25.25815192,-7.689509583,-3.297492828,2.18919754,8.648387274
25.26809192,-7.728728027,-2.870730286,2.923869781,8.747762216
25.27803092,-7.550149384,-1.990111542,3.697012024,8.639050733
25.28797092,-7.153474274,-0.9692344666,4.383783875,8.445659873
25.29790992,-6.898105316,-0.120050354,4.847220154,8.431714669
25.30784992,-6.524631958,0.770148468,5.118306427,8.328325854
25.31778892,-6.03410202,1.857487335,5.443879395,8.336454237
25.32772892,-5.611081696,2.635269928,5.629643097,8.373874061
25.33766792,-5.966442719,2.529889069,4.701722717,8.006558182
