Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
29.82047467,1.598076782,-4.520898743,-1.528471527,5.032752731
29.83041467,0.2775228882,-4.619094543,-1.031055908,4.740899666
29.84035367,-0.5459147644,-4.547393646,-0.7292834473,4.637743659
29.85029367,-1.174457703,-4.400249634,-0.6583309937,4.601624434
29.86023267,-1.691632233,-4.508025513,-0.2579136658,4.82187029
29.87017167,-2.052681427,-4.949008484,0.7210505676,5.4061169
29.88011167,-1.911824341,-5.538632355,2.118694153,6.23060074
29.89005067,-0.4867877197,-5.721551971,4.176165619,7.100244962
29.89998967,1.908680878,-5.732179871,6.731052704,9.044778564
29.90992967,4.970413971,-6.157146149,9.719737701,12.53350568
29.91986867,8.511300659,-7.396419067,13.62511642,17.68595634
29.92980867,11.9718045,-9.872719574,17.03592361,23.04381453
29.93974767,13.63394806,-13.00046539,16.54838745,25.07480344
29.94968667,14.12911835,-14.98249374,15.07275604,25.52048351
29.95962667,12.88026535,-13.28921494,12.56292526,22.36809246
29.96956567,9.742640076,-9.007967834,9.264534302,16.18314296
29.97950467,7.593409424,-5.392087097,7.264992371,11.81162919
29.98944467,6.696624298,-2.765948181,6.575376434,9.784212875
29.99938367,6.728208618,-1.510957947,1.561403046,7.070344023
30.00932367,6.73853714,-2.219284973,-6.395001526,9.551395348
30.01926267,6.780300293,-4.965773621,-9.26468399,12.50862699
30.02920167,7.895481262,-8.305478668,-8.88207962,14.49865299
30.03914167,9.168434143,-10.62984512,-6.532266083,15.4830324
30.04908067,11.67557053,-11.62108383,0.9098080444,16.49837226
30.05901967,18.13119598,-11.53875504,17.30760864,27.59413801
30.06895967,14.44645844,-11.06469086,10.17119888,20.8466024
30.07889867,5.600453796,-9.078471222,-1.740879822,10.80807036
30.08883867,0.8590635681,-6.795269165,-1.976639557,7.128869278
30.09877767,-2.138453064,-5.511688385,-2.013013916,6.245311472
30.10871667,-2.398462372,-5.721551971,-2.233505402,6.593733775
30.11865667,-0.6075865173,-6.515351257,-2.326911163,6.945032681
30.12859567,1.299597473,-7.702831879,-2.304308167,8.144471049
30.13853467,2.903961182,-8.953780518,-2.320923615,9.6948369
30.14847467,4.628375244,-10.14739838,-2.443219299,11.41756856
30.15841367,6.241121521,-10.94194611,-2.410437469,12.82528718
30.16835367,7.001390533,-11.01978424,-2.202669525,13.24034996
30.17829267,6.670428772,-10.1457518,-1.968706055,12.30067897
30.18823167,5.664221191,-8.918154602,-1.741179199,10.7074081
30.19817167,4.877008209,-8.03379364,-1.730401611,9.556219915
30.20811067,4.74932373,-7.454947357,-1.632056122,8.988655249
30.21804967,5.030888214,-6.982230377,-1.481469269,8.732475506
30.22798967,6.053860931,-6.806046753,-0.9478289795,9.158050249
30.23792867,6.987170105,-7.27562027,0.6065386963,10.10559675
30.24786867,7.083869019,-7.590265961,3.026107178,10.81437295
30.25780767,6.599176941,-7.569758606,6.31027771,11.86043787
30.26774667,6.024971008,-7.156617737,4.894970856,10.55832339
30.27768667,6.154900818,-6.797364807,1.506167908,9.292766766
30.28762567,6.327042847,-6.727609863,0.1191522217,9.23614654
30.29756467,6.315516815,-6.460714874,-0.4116439819,9.044116325
30.30750467,6.250102844,-6.217021637,-0.9104067993,8.862504394
30.31744367,6.12660965,-6.135291595,-1.349593506,8.774881845
30.32738367,6.099515991,-6.171965332,-1.422192535,8.793172522
30.33732267,6.111640778,-6.154751129,-1.210382996,8.75774751
30.34726167,6.081253967,-6.092031555,-1.096020813,8.677312943
30.35720167,5.951922913,-6.085295563,-0.8589138794,8.555345785
30.36714067,5.899082794,-6.210585022,-0.55579422,8.583673534
30.37707967,5.951922913,-6.412515106,-0.2074685669,8.75150156
30.38701967,6.110443268,-6.631958771,0.1529818726,9.019079638
30.39695867,6.42613678,-6.950196991,0.4790039062,9.477864573
30.40689867,6.677763519,-7.394473114,0.7473957825,9.991464293
30.41683767,6.75964325,-7.794740753,1.005758514,10.36640297
30.42677667,6.561904449,-8.044122162,1.582359467,10.50096914
30.43671667,6.297703857,-8.025710449,2.747835846,10.56521197
30.44665567,6.385720825,-7.814499664,4.234095154,10.94401193
30.45659467,7.018305359,-7.497608643,4.980592804,11.41389724
30.46653467,7.951464844,-7.314838715,4.036506042,11.5336915
30.47647367,8.995543671,-7.384593658,2.150727539,11.83544078
30.48641367,10.04471191,-7.47680191,0.605640564,12.53657069
30.49635267,10.76067307,-7.372618561,-0.1719923401,13.04519722
30.50629167,11.04747665,-7.066505127,-0.212258606,13.11591738
30.51623167,10.98834961,-6.722520447,0.3110531616,12.88537397
30.52617067,10.76142151,-6.652316437,1.074016571,12.69704763
30.53610967,10.70768326,-6.997648315,2.214494934,12.98173912
30.54604967,10.82384171,-7.550448761,3.747157745,13.71881981
30.55598867,11.08325226,-8.156089325,4.420906677,14.45353554
30.56592867,11.44040955,-8.679401093,4.232897644,14.97105195
30.57586767,11.52692963,-8.968450012,4.817731476,15.37900318
30.58580667,11.05106918,-8.729247437,6.006858673,15.31039653
30.59574667,10.24634262,-8.13213913,5.96045517,14.37519564
30.60568567,9.625583496,-7.326664124,4.671485596,12.96744549
30.61562467,8.916957092,-7.150630188,2.274220734,11.65399999
30.62556467,7.965834961,-8.120912476,0.8054750061,11.40405788
30.63550367,7.572303314,-9.221873016,-0.8150550842,11.96022718
30.64544367,8.151748352,-9.639354858,-3.653302917,13.14209974
30.65538267,8.242609406,-9.651180267,-5.512736206,13.83749077
30.66532167,7.957153015,-9.803563385,-4.935237122,13.55664799
30.67526167,8.230783997,-10.65334625,-3.547922058,13.92218885
30.68520067,8.944499817,-12.87173309,-1.696721649,15.765927
30.69514029,9.360484772,-15.80159042,1.133892059,18.40094145
30.70508029,8.190068665,-17.18561234,4.917124786,19.66216194
30.71501929,6.449188843,-17.66177216,8.755143585,20.7408479
30.72495929,5.63158905,-16.87845108,7.621999969,19.35695714
30.73489829,4.973707123,-15.76162354,2.689008179,16.74506805
30.74483729,4.413721619,-14.09154648,-0.4897814941,14.77472526
30.75477729,3.868704987,-11.33098709,-2.09564209,12.15524013
30.76471629,3.417094116,-8.834927673,-2.89827301,9.906183202
30.77465529,3.606899414,-7.101532288,-2.640509033,8.391291448
30.78459529,3.570375366,-6.157295837,-2.211800537,7.453316973
30.79453429,2.615960083,-5.566324768,-3.253184967,6.957760488
30.80447429,2.701132965,-4.997507629,-2.854713593,6.357719048
30.81441329,3.073408813,-4.78450058,-0.9147477722,5.759691921
30.82435229,3.329975281,-4.568350067,0.09864486694,5.654050629
30.83429229,3.135978699,-4.240082703,-0.1803749084,5.276855013
30.84423129,3.153043213,-3.976780243,-0.1127156067,5.076334052
30.85417029,3.461401978,-3.781436462,-0.2776725769,5.133971896
30.86411029,4.272265778,-3.539389801,-0.7719447327,5.60137784
30.87404929,5.031486969,-3.44478653,-0.949176178,6.17117094
30.88398929,5.060526581,-3.469036102,-0.9883946228,6.21450438
30.89392829,4.436623993,-3.49508194,-0.9704319763,5.730704009
30.90386729,3.20019516,-3.657793579,-0.7608677673,4.919311201
30.91380729,1.64986908,-4.072880402,-0.7972421265,4.466096478
30.92374629,0.3861968994,-4.428840179,-1.277593231,4.625582973
30.93368529,-0.7418572998,-4.769980774,-1.790127411,5.148555621
30.94362529,-1.504970398,-5.180576935,-1.513802032,5.603116086
30.95356429,-1.736688538,-5.71466629,-0.6123765564,6.004040551
30.96350429,-1.595681763,-6.315067749,0.7450007629,6.556013049
30.97344329,-0.8009843445,-6.877298584,2.542163544,7.375730961
30.98338229,1.086590424,-6.832990723,4.444407806,8.223332762
30.99332229,3.234623566,-6.979985046,7.228318634,10.55611534
31.00326129,6.227350159,-7.8817099,12.19693634,15.80083849
31.01320029,10.58942917,-9.942474518,18.49688553,23.51857955
31.02314029,14.00742142,-13.16063232,19.37061859,27.28792705
31.03307929,14.86124588,-15.71447159,16.86767349,27.4284461
31.04301929,14.50154388,-14.47549805,15.07185791,25.43611054
31.05295829,11.69742508,-9.661658478,11.33682495,18.93940332
31.06289729,9.41796524,-5.472020874,7.066056061,12.98345986
31.07283729,8.389454041,-2.669548645,5.103636932,10.17627334
31.08277629,8.069269867,-1.556912384,2.954106903,8.732917036
31.09271529,8.225544891,-3.245550842,-5.200036469,10.2583414
31.10265529,8.464897156,-7.008725281,-10.01851639,14.871025
31.11259429,9.436227264,-10.23376877,-10.10803024,17.20304286
31.12253429,10.84749252,-11.549832,-7.877817993,17.69538724
31.13247329,11.52154083,-11.30479156,-2.927761688,16.40475553
31.14241229,14.36323151,-10.02165985,9.414672089,19.88396681
31.15235229,10.39468414,-8.342451782,13.09911026,18.68776738
31.16229129,3.15693512,-6.491101685,1.076710968,7.297941281
31.17223029,-0.5460644531,-4.998854828,-2.365530853,5.557200032
31.18217029,-2.090402985,-4.661755829,-1.680405579,5.378244598
31.19210929,-1.352736969,-5.616769867,-2.276915131,6.209858578
31.20204929,0.8544232178,-7.2486763,-2.955454102,7.874519419
31.21198829,2.082319794,-8.877738647,-2.685265961,9.505837811
31.22192729,3.489094391,-10.3421434,-2.3635849,11.16782178
31.23186729,5.067112885,-11.38996445,-2.332299957,12.68252917
31.24180629,6.049070892,-11.67018173,-2.388433228,13.35997805
31.25174529,6.329737244,-11.11094467,-2.266736298,12.98679169
31.26168529,5.868995361,-9.665849762,-2.101180573,11.50168327
31.27162429,5.062622223,-8.29829361,-2.004930725,9.925299382
31.28156429,4.326752472,-7.237898712,-1.92005722,8.648386234
31.29150329,3.833827515,-6.345005493,-1.956880646,7.66724918
