Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
29.82195196,-5.935157776,-7.972870331,0.4564009094,9.949927684
29.83189096,-5.708229675,-8.395142212,0.2689906311,10.15552336
29.84182996,-5.389841766,-8.805139618,0.217048645,10.3260829
29.85176896,-4.957540741,-8.955277405,0.4917274475,10.24773143
29.86170796,-4.531975708,-8.907676392,1.242715759,10.0712385
29.87164696,-4.145180054,-8.663384399,2.287842407,9.872738719
29.88158596,-3.92094635,-8.424481201,2.913391571,9.738252114
29.89152496,-4.093836823,-8.508606262,2.544109497,9.778976101
29.90146396,-4.790039062,-9.031618652,1.292562103,10.30462646
29.91140196,-5.934559021,-9.780960388,0.1284329224,11.44127055
29.92134196,-7.145840149,-10.22927811,-0.107177124,12.47848745
29.93127996,-7.994575195,-10.09366013,0.2007325745,12.87771334
29.94121896,-8.434959412,-9.59115509,0.4541555786,12.78065153
29.95115796,-8.615633698,-9.154064026,0.6393205261,12.58708715
29.96109696,-8.722661133,-8.819360046,0.8794212341,12.43540553
29.97103596,-8.777297516,-8.78388382,1.142873383,12.47011332
29.98097496,-8.984915771,-9.278155975,2.022144928,13.07294763
29.99091396,-9.345964966,-9.912237396,3.508404236,14.06799245
30.00085296,-9.585915985,-10.36399796,5.278024292,15.0718207
30.01079196,-9.538015594,-10.46758255,6.702611847,15.66745134
30.02073096,-9.052874451,-9.886341248,4.68390976,14.19976372
30.03066996,-8.302634583,-8.61533432,1.651815033,12.07833678
30.04060896,-7.76824585,-8.083190918,2.150278473,11.41522302
30.05054796,-7.223528595,-8.742120667,3.27503952,11.80380968
30.06048696,-6.70575531,-10.05069946,1.61469223,12.18978855
30.07042596,-5.830824738,-11.28338608,-0.8190966797,12.72730285
30.08036496,-5.423671417,-12.21370148,-2.302062836,13.5606124
30.09030396,-5.370831299,-12.77638138,-3.363206177,14.26158847
30.10024296,-5.199437714,-13.24879898,-3.611988831,14.68370833
30.11018196,-4.573289795,-14.01715118,-2.59994339,14.97181393
30.12012096,-4.226161652,-14.93204865,-1.359173584,15.57799319
30.13005996,-4.361929321,-15.47362244,-0.7009922791,16.09194857
30.13999896,-4.688400421,-15.24265274,-0.4221221924,15.95298556
30.14993796,-5.097649384,-14.71305405,0.2415975952,15.57300093
30.15987696,-5.368286591,-14.18824539,1.004111938,15.20306051
30.16981596,-5.035977631,-13.32993027,1.641336823,14.34371285
30.17975496,-4.147425385,-11.74143356,1.418899384,12.53298348
30.18969396,-3.447480927,-10.15129028,0.8063731384,10.75100259
30.19963296,-2.58707016,-9.030271454,0.4622387695,9.404913568
30.20957196,-2.130519562,-8.307274933,-0.237406311,8.579410945
30.21951096,-2.12842392,-7.73426651,-1.527124329,8.165854245
30.22944996,-1.901046753,-7.462880859,-2.068099365,7.974058218
30.23938896,-1.926044769,-7.440277863,-1.173709259,7.774636747
30.24932796,-2.032772827,-7.267686768,0.3116519165,7.553049929
30.25926696,-1.940564575,-6.899452515,0.7500901794,7.206307733
30.26920596,-1.789828033,-6.463409271,0.2885998535,6.712855851
30.27914496,-1.953587494,-6.025869141,0.1730401611,6.336998177
30.28908396,-2.538271637,-5.606740723,0.5387297058,6.178073659
30.29902296,-2.90650589,-5.426365814,0.522563324,6.177887573
30.30896196,-2.813698883,-5.625451813,-0.2342628479,6.294242495
30.31890096,-2.26763443,-5.893394623,-1.200353851,6.427683522
30.32883996,-1.251547394,-5.952671356,-1.844913483,6.356443417
30.33877896,-0.009729766846,-5.898484039,-1.847308502,6.180999703
30.34871796,1.150357819,-5.85163147,-1.617536316,6.179104927
30.35865696,2.191293182,-5.82229248,-1.32684082,6.360924626
30.36859596,3.045566711,-5.790558472,-0.9792636108,6.615512167
30.37853496,3.54882019,-5.724246368,-0.2767744446,6.740751095
30.38847346,3.692671051,-5.698200531,0.6044430542,6.81693921
30.39841246,3.848946075,-5.775888977,1.649270325,7.13409924
30.40835146,3.828438721,-6.036047974,2.838547211,7.690784644
30.41829046,2.487377472,-6.380781097,3.632945251,7.75239997
30.42822946,-1.019829254,-6.494993591,4.610412598,8.029999862
30.43816846,-4.809947662,-7.106172638,6.086044006,10.52013392
30.44810746,-9.047485657,-8.472830658,8.58839035,15.07999685
30.45804646,-14.29946411,-10.14739838,13.2552356,21.98057411
30.46798546,-17.78137344,-11.46480881,15.67136124,26.32889374
30.47792446,-17.49741394,-11.7754129,11.31392258,23.93375624
30.48786346,-17.34562958,-11.00361786,7.698490906,21.93666414
30.49780246,-17.54157211,-9.464518433,6.907086639,21.09482655
30.50774146,-16.02941666,-7.263794861,3.577560425,17.95839226
30.51767946,-13.87479721,-4.647984467,0.8048762512,14.65474609
30.52761846,-11.56659714,-2.649490356,0.4207749939,11.87362708
30.53755746,-10.30067963,-2.469115448,1.120719452,10.65159819
30.54749646,-9.343719635,-4.26029068,-2.814746704,10.64790929
30.55743546,-6.789431305,-7.941735077,-7.754474487,13.0115106
30.56737446,-4.212689667,-11.09792175,-8.07361084,14.35596787
30.57731346,-2.341131592,-12.34183502,-2.380649414,12.78551057
30.58725246,-0.1405577087,-12.50619324,13.07905197,18.09658051
30.59719146,-1.672472076,-12.43045074,10.95975906,16.65621768
30.60713046,-3.18268158,-13.44279556,-0.8357121277,13.83967591
30.61706946,-2.061812439,-14.19258636,-1.995200958,14.4796894
30.62700846,0.1974394226,-13.04357574,0.8726852417,13.0742277
30.63694746,0.8896000671,-10.85632416,-0.3519181824,10.89839479
30.64688646,-0.05448669434,-9.38174057,-1.815724182,9.555986565
30.65682546,0.07185058594,-8.684041443,-1.347198486,8.788212677
30.66676446,-0.04400848389,-8.545279999,-1.499282227,8.675920366
30.67670346,-0.4260140991,-8.897048492,-1.947599945,9.117680924
30.68664246,-0.7860154724,-9.477391663,-2.717299347,9.890525203
30.69658146,-1.207389221,-10.07704468,-3.636088715,10.78080513
30.70652046,-1.517095184,-10.32193542,-4.132007446,11.2212929
30.71645946,-1.671124878,-9.996512146,-4.186045074,10.96566855
30.72639846,-1.873953094,-9.362879791,-3.86361557,10.3006186
30.73633746,-1.820813599,-8.552764435,-3.503913574,9.420326532
30.74627646,-1.799258423,-7.931855621,-3.111130371,8.708088002
30.75621546,-2.093396759,-7.886499939,-2.810106354,8.629941425
30.76615446,-2.52734436,-8.432564392,-2.412982178,9.127874601
30.77609346,-3.039429474,-9.198820953,-1.971101074,9.886439091
30.78603246,-3.43071579,-9.651928711,-1.452429657,10.34596977
30.79597146,-3.74655899,-9.794582062,-0.8584648132,10.52176334
30.80591046,-4.117337952,-9.73515564,3.430566101,11.11280842
30.81584946,-3.772754517,-8.990154877,7.324418793,12.19441151
30.82578846,-3.678899689,-8.600964203,1.165177002,9.427010427
30.83572746,-4.074976044,-8.64931366,-1.041534119,9.617736213
30.84566646,-3.868106232,-8.33332077,-0.7934999084,9.221503293
30.85560546,-3.644920349,-7.74953476,0.07798782349,8.564275535
30.86554446,-3.890260162,-7.457042999,1.093326416,8.4815669
30.87548346,-4.545447693,-7.597750397,0.9136999512,8.90066028
30.88542246,-5.002746735,-7.787406006,0.1005908203,9.256418622
30.89536146,-4.899311829,-7.939489746,-0.5260061646,9.344272915
30.90530046,-4.928501129,-7.886799316,-0.8527766418,9.339108889
30.91523946,-5.136119385,-7.787855072,-0.9219328308,9.374453003
30.92517846,-5.398074646,-7.881260834,-0.5968089294,9.571293701
