Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
10.00601587,-14.06520126,0.5254074097,3.413052521,14.48291639
10.01601788,-12.80721725,1.901795197,3.295995941,13.36058487
10.02602087,-11.46016846,3.581751709,4.442461853,12.8023386
10.03602287,-10.40621017,4.489464111,5.846991119,12.75271749
10.04602587,-9.571096802,4.713248749,6.838529205,12.67225668
10.05602787,-8.798403625,4.466112671,7.207811279,12.21927216
10.06603088,-8.117020569,3.7875737,7.207960968,11.49723614
10.07603287,-7.579638062,2.893183594,6.990463257,10.70924839
10.08603587,-6.948400726,2.046843567,6.694528656,9.863394708
10.09603788,-6.322851562,1.38192627,6.4776297,9.156847636
10.10604087,-5.52396286,1.045276337,6.209088135,8.376129402
10.11604288,-4.866080933,0.9246272278,5.754184113,7.592385261
10.12604587,-4.205354919,1.082997894,5.351671143,6.891899481
10.13604887,-3.62381424,1.462309113,5.276677094,6.566102248
10.14605088,-3.370840302,1.963167572,4.956941986,6.30776229
10.15605387,-3.425326996,2.378104706,4.24502243,5.950501026
10.16605588,-3.869603119,2.621648254,3.550766144,5.86982181
10.17605887,-4.214336243,2.753973083,3.400478668,6.075216283
10.18606087,-4.354744263,2.908751221,3.518882446,6.309291951
10.19606387,-4.354893951,3.022065582,3.435505829,6.316698664
10.20606587,-4.224664764,3.052153015,3.359613647,6.200841415
10.21606888,-4.035757599,2.943329315,3.276985474,5.974040563
10.22607087,-3.849095764,2.753823395,3.350632324,5.798777325
10.23607387,-3.796405334,2.469265137,3.53130661,5.742829455
10.24607588,-3.89400238,2.176024933,3.810326385,5.866594089
10.25607887,-3.927083588,2.002535706,4.140689392,6.047928852
10.26608088,-3.92678421,1.997446289,4.533322906,6.321427251
10.27608387,-3.960913239,2.132615204,4.785548401,6.567979506
10.28608587,-4.081412659,2.264940033,5.062023468,6.885634628
10.29608888,-4.244124298,2.399510193,5.446124725,7.309617962
10.30609087,-4.433929596,2.479294281,5.817951508,7.723677333
10.31609388,-4.695884857,2.541265411,6.148613892,8.143391018
10.32609646,-5.041665802,2.664758606,6.597979431,8.720817912
10.33609946,-5.506149902,2.844684448,7.04854248,9.385726794
10.34610146,-6.006259918,3.041674805,7.331454163,9.953751251
10.35610446,-6.801556091,2.996768188,7.47680191,10.54250215
10.36610646,-8.055797882,2.315534821,7.492369537,11.24247225
10.37610946,-9.549242249,1.369352417,8.085885315,12.58748167
10.38611146,-10.39378601,0.9087602234,8.643326111,13.54856889
10.39611446,-9.586065674,1.230291595,9.304351501,13.41555923
10.40611646,-8.307125244,2.229912872,9.688602448,12.95568827
10.41611946,-8.290809174,3.209924927,9.20391037,12.79660505
10.42612146,-8.54048996,4.061504059,8.941356354,13.01474692
10.43612446,-8.721014557,4.725672913,9.109905853,13.46768221
10.44612646,-9.203311615,4.759652252,9.231153717,13.8769389
10.45612946,-9.597442017,3.444187775,9.167086945,13.71163031
10.46613146,-10.03588028,1.447040863,8.687035217,13.35205606
10.47613446,-10.68014053,-0.106129303,8.161178741,13.44178201
10.48613646,-11.31541946,-0.8005352783,7.797884216,13.76541219
10.49613946,-11.82900146,-0.287252655,7.690407715,14.11205728
10.50614246,-12.9459787,1.209035797,6.939269714,14.73816801
10.51614446,-14.2996138,3.333717499,6.431525574,16.02988298
10.52614746,-15.82988159,4.705614624,4.957540741,17.24253956
10.53614946,-16.26472733,5.292394409,4.414320374,17.66456956
10.54615246,-15.76312042,5.266049194,4.134851532,17.12612731
10.55615446,-14.22057816,4.482877808,4.421206055,15.55210917
10.56615746,-11.60880936,3.57696167,6.296955414,13.6824982
10.57615946,-9.861193542,2.588567047,6.917115784,12.32032095
10.58616246,-8.747060394,1.740281067,6.839876404,11.23937511
10.59616446,-7.690856781,1.194515991,6.616241455,10.21522381
10.60616746,-6.9912117,0.7485932922,6.579118652,9.629238558
10.61616946,-6.393654327,0.5159770203,6.340814209,9.019477411
10.62617246,-5.893244934,0.4227209473,6.18394043,8.552785984
10.63617446,-5.475463715,0.3775149536,5.967640228,8.107770984
10.64617746,-5.047204285,0.4192781067,5.622907104,7.567506163
10.65617946,-4.819677429,0.3423381042,5.270539856,7.150180157
10.66618246,-4.737797699,0.173638916,4.971162415,6.869449269
10.67618446,-4.660857697,-0.01721420288,4.672084351,6.599413836
10.68618746,-4.592749329,-0.0505947876,4.282145233,6.279544094
10.69618946,-4.598587189,-0.01841171265,4.109554138,6.167315327
10.70619246,-4.642296295,0.04864883423,3.937412109,6.087404679
10.71619446,-4.658462677,0.1481918335,3.443439331,5.794869262
10.72619746,-4.68615509,0.2891986084,3.216660919,5.691273393
