Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
-0.0001367083314,-10.5903273,-2.00313446,1.151555328,10.83944923
0.01236729167,-10.38585251,-1.842368774,0.5933660889,10.56467408
0.02237029167,-10.23975632,-1.688788147,0.3662882996,10.38454534
0.03237329167,-10.02136047,-1.494342499,0.4245172119,10.14105222
0.04237629167,-9.729617157,-1.319655762,0.7795788574,9.849603268
0.05238029167,-9.362879791,-1.208886108,1.307830353,9.530757779
0.06238329167,-8.933273163,-1.176253967,1.889520721,9.206369065
0.07238629167,-8.531658325,-1.106049957,2.402653656,8.932260905
0.08238929167,-8.079748077,-1.016087036,2.622696075,8.555308093
0.09239329167,-7.648045807,-1.012943573,2.849773865,8.224346201
0.1023962917,-7.235054626,-0.9720785522,3.124302979,7.940542882
0.1123992917,-6.927294617,-0.9647438049,3.347937927,7.754149191
0.1224022917,-6.721622314,-0.9500743103,3.491190033,7.633561134
0.1324062917,-6.633755035,-0.9596543884,3.609144745,7.612724099
0.1424092917,-6.711892548,-0.9592053223,3.656745758,7.70333473
0.1524122917,-6.790329437,-0.9189390564,3.504212952,7.696267359
0.1624152917,-6.840475159,-0.8927435303,3.13582901,7.577764511
0.1724182917,-6.84272049,-0.9048683167,2.739752655,7.426160177
0.1824222917,-6.77476181,-0.9174421692,2.414928131,7.2505845
0.1924252917,-6.770869904,-0.9692344666,2.212548981,7.188843279
0.2024282917,-6.85783905,-1.039288788,2.13306427,7.256723834
0.2124312917,-6.998696136,-1.138233032,2.105222168,7.396572343
0.2224352917,-7.212900696,-1.266516266,2.068997498,7.609911336
0.2324382917,-7.534581757,-1.407672729,2.029479675,7.929076397
0.2424412917,-7.970625,-1.555116119,1.906884613,8.341789854
0.2524442917,-8.425229645,-1.797162781,1.667981415,8.774762141
0.2624482917,-8.837771759,-2.050585785,1.392703857,9.178819955
0.2724512917,-9.077273712,-2.266885986,1.1665242,9.428491334
0.2824542917,-9.193731537,-2.470612335,1.06713089,9.579529906
0.2924572917,-9.260642395,-2.711461487,1.122366028,9.714485394
0.3024612917,-9.37710022,-2.938539276,1.255588989,9.906640466
0.3124642917,-9.630822601,-3.099304962,1.4239888,10.21695548
