Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
25.00858721,2.205513611,11.47184418,5.444029083,12.888171
25.01859021,1.558259583,10.82863174,4.960684204,12.01231977
25.02859421,1.312470703,10.03288651,4.733307037,11.17074691
25.03859721,1.514849854,9.662706299,4.793781281,10.89233685
25.04860021,2.00672699,9.974208527,5.073998566,11.36913587
25.05860321,2.611469421,10.90108109,5.252128143,12.37894145
25.06860621,3.083587646,12.03886505,5.290897522,13.50690124
25.07860921,3.464994507,13.04477325,5.207071838,14.46671674
25.08861221,3.729344788,13.68873413,4.959786072,15.02960188
25.09861521,3.759282532,13.74426865,4.635560303,14.98417649
25.10861821,3.686384125,13.328134,4.21119278,14.45554318
25.11862121,3.523822174,12.43089981,3.686533813,13.43633597
25.12862421,3.031495972,11.17635864,3.150049438,12.00099045
25.13862721,2.480192413,10.01148102,2.666105804,10.65313225
25.14863021,2.063908081,9.07981842,2.325114899,9.597342257
25.15863321,1.740580444,8.32987793,2.066901855,8.75720103
25.16863621,1.366208954,7.500003662,1.889520721,7.854098955
25.17863921,1.170715485,6.981032867,1.63579834,7.265069225
25.18864321,0.9487271118,6.503525848,1.519190826,6.745655814
25.19864621,0.5858816528,5.888604584,1.429676971,6.087930477
25.20864921,0.4125421143,5.358556824,1.24496109,5.516724603
25.21865221,0.2830613708,4.870122528,1.15020813,5.012104939
25.22865521,0.2510279846,4.416715393,1.054107971,4.547695408
25.23865821,0.2667453003,4.007466431,0.9282197571,4.122199918
25.24866121,0.2508782959,3.655997314,0.8511300659,3.762137514
25.25866421,0.2417472839,3.342249756,0.8261320496,3.451314147
25.26866721,0.2727328491,3.125201111,0.7744894409,3.231268959
25.27867021,0.2459385681,3.106789398,0.7292834473,3.2007
25.28867321,0.1014889526,3.356021118,0.632434845,3.416599418
25.29867621,-0.09295669556,3.892056427,0.5249583435,3.928399858
25.30867921,-0.1645079041,4.602479095,0.3597019958,4.619443928
25.31868221,-0.1878593445,5.265600128,0.2046244812,5.272922057
25.32868521,-0.1954934692,5.995332642,0.07634124756,5.999004848
25.33868821,-0.1871109009,6.854845276,0.01945953369,6.857426115
25.34869221,-0.09774673462,7.795339508,0.006137237549,7.795954729
25.35869521,0.08232879639,8.891809387,-0.007933502197,8.892194057
25.36869821,0.4273612976,9.99950592,-0.04146377563,10.00871998
25.37870121,1.015488281,11.00825821,-0.04011657715,11.05507009
