Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.01701583333,-0.9801617432,-5.923781433,-1.030008087,6.092029232
0.02701983333,-1.328337708,-5.74280777,-2.15641571,6.276499889
0.03702383333,-1.243913269,-5.16710495,-2.04295166,5.693851532
0.04702783333,-1.10575058,-4.848267975,-1.198707275,5.115201446
0.05703183333,-1.199605408,-4.67328186,-0.8096662903,4.892256737
0.06703483333,-1.143771515,-4.076921997,-0.3137475586,4.245932616
0.07703883333,-1.124012604,-4.343218231,0.4161346436,4.505565112
0.08704283333,-1.112037506,-5.23266861,1.147364044,5.47118748
0.09704683333,-0.2803669739,-26.81329147,1.469045105,26.85496786
0.1070508333,-1.660496979,-47.29639664,0.7812254333,47.33198388
0.1170548333,-10.23436752,-39.09674789,1.113384705,40.42941503
0.1270588333,-12.42805573,-30.56658646,4.067491608,33.24631205
0.1370628333,-4.42180481,-17.54800873,3.676654358,18.46625992
0.1470658333,-0.302820282,-11.36017639,0.5019062805,11.37528978
0.1570698333,0.716559906,-8.200397186,-2.34951416,8.560384857
0.1670738333,0.2568658447,-7.63128067,-3.43071579,8.370916053
0.1770778333,-1.061891785,-9.721683655,-3.148402863,10.27381077
0.1870818333,-0.4071533203,-11.52213959,-2.076481934,11.71483042
0.1970858333,1.038540344,-12.07763443,-1.681603088,12.23828454
0.2070898333,1.946402435,-11.57093811,-2.016456757,11.90551087
0.2170938333,1.943708038,-11.29955246,-1.900298309,11.62191982
0.2270968333,1.39120697,-11.41406433,-0.7592211914,11.52357315
0.2371008333,0.789458313,-11.11678253,0.152233429,11.14581865
0.2471048333,0.7828720093,-10.6898703,1.165925446,10.78172518
0.2571088333,1.521436157,-10.01686981,1.885479126,10.30570135
0.2671128333,2.125579834,-9.17232605,2.834505615,9.832806155
0.2771168333,2.646346893,-8.553961945,2.976260834,9.435652886
0.2871208333,2.383044434,-8.794811096,1.580114136,9.247938347
0.2971248333,1.347497864,-9.109756165,1.816622314,9.386347772
0.3071288333,0.6840774536,-9.469907227,2.030677185,9.709312781
0.3171318333,0.8683442688,-10.25442581,0.6649172974,10.31258384
0.3271358333,1.387315063,-11.11393845,-0.7767347717,11.22709169
0.3371398333,1.62996048,-11.80774567,-1.153201904,11.97537071
0.3471438333,1.327140198,-12.16969299,-1.004111938,12.28295443
0.3571478333,1.144819336,-12.17029175,-0.8358618164,12.25256208
0.3671518333,1.58310791,-11.96417038,-0.4481680298,12.0767735
0.3771558333,1.629062347,-11.12726074,-0.3198847961,11.25042675
0.3871598333,1.807940369,-9.967322845,-0.7261399841,10.1559565
0.3971628333,1.659598846,-9.117689667,-1.265019379,9.353438257
0.4071668333,1.275946655,-8.657696228,-1.925895081,8.960625855
0.4171708333,1.159339142,-8.619675293,-2.133962402,8.955259066
0.4271748333,1.324445801,-8.739725647,-2.035167847,9.070770046
0.4371788333,1.410965881,-8.773854675,-2.284998322,9.175650817
0.4471828333,1.666783905,-8.800948334,-2.407294006,9.275231781
0.4571868333,1.287772064,-8.992400208,-1.788181458,9.258467006
0.4671908333,0.8650511169,-9.266031189,-2.492915955,9.634431866
0.4771938333,0.5372328186,-9.341474304,-3.183280334,9.883573998
0.4871978333,0.3363505554,-8.904981995,-2.366129608,9.220108749
0.4972018333,0.5845344543,-8.070617065,-1.999541931,8.335148966
0.5072058333,1.672921143,-7.053182831,-2.107766876,7.549088316
0.5172098333,2.423610077,-6.262676697,-1.461111603,6.872397859
0.5272138333,2.999911652,-5.6760466,-1.146465912,6.521607088
0.5372178333,3.400328979,-4.958738251,-0.748742981,6.059037734
0.5472218333,3.539090424,-4.559518433,-0.4867877197,5.792351133
0.5572248333,3.40496933,-4.119134216,-0.4337979126,5.361833964
0.5672288333,3.101101227,-3.77470047,-0.6959028625,4.934518543
0.5772328333,2.634820862,-3.7384758,-1.241218872,4.739103983
0.5872368333,2.203867035,-4.00986145,-2.035766602,5.008029993
0.5972408333,1.851350098,-4.45099411,-2.856809235,5.60358856
0.6072448333,1.523382111,-4.891977081,-3.49852478,6.204176695
0.6172488333,1.480720825,-5.323829041,-4.244423676,6.967842001
0.6272528333,1.560804291,-5.759872284,-4.937482452,7.745383898
0.6372568333,1.848955078,-6.377038879,-5.433401184,8.579458501
0.6472598333,2.042203217,-7.26274704,-5.779481506,9.50370954
0.6572638333,2.227068787,-8.305478668,-6.264173584,10.63864098
0.6672678333,2.439477081,-9.677375793,-7.128027191,12.26423346
0.6772718333,2.440973969,-11.3534404,-8.458310852,14.36669709
0.6872758333,2.056423645,-12.9778624,-10.32148636,16.708886
0.6972798333,1.700613556,-14.7256279,-12.20741455,19.20305115
0.7072838333,1.56679184,-16.46516052,-13.19161789,21.1559715
0.7172878333,2.701432343,-17.0122728,-11.86313049,20.91528215
0.7272908333,4.570745087,-14.91378662,-9.601932678,18.31692805
0.7372948333,5.216053162,-11.01185074,-8.828790436,15.04711294
0.7472987083,4.383484497,-6.824009399,-8.671018524,11.87301996
0.7573027083,2.579436035,-3.213816833,-7.523953857,8.57857742
0.7673067083,2.136656799,-0.703686676,-6.57941803,6.953360254
0.7773107083,2.585423584,0.2140548706,-4.358935547,5.07252932
0.7873147083,3.04227356,0.2595602417,-1.974992981,3.636398934
0.7973187083,4.291875,-2.557431793,-0.3993695068,5.012000039
0.8073227083,6.29276413,-6.772366791,-0.466280365,9.256416678
0.8173257083,8.641380157,-10.9061705,-0.7316784668,13.93389247
0.8273297083,9.582772522,-15.08997025,-1.456471252,17.93482756
0.8373337083,8.826694794,-18.92529465,-4.263583832,21.31326971
0.8473377083,7.315886536,-21.1236232,-9.543105011,24.30638818
0.8573417083,4.897665253,-19.17497543,-11.89037384,23.08782792
0.8673457083,-0.7454498291,-11.16692825,-2.512824554,11.47040842
0.8773497083,-2.480042725,-3.129392395,8.004155273,8.944842666
0.8873537083,3.688030701,-0.649050293,5.858217773,6.952808944
0.8973567083,8.098309479,-1.228495331,1.479074249,8.323429451
0.9073607083,7.430997162,-3.696562958,-2.03831131,8.5462863
0.9173647083,2.863994293,-6.544390869,-2.503094788,7.569478098
0.9273687083,-0.1299298096,-8.858279114,0.126486969,8.86013485
0.9373727083,0.03248245239,-10.73792038,1.456171875,10.83625515
0.9473767083,0.7628137207,-11.72481812,1.792821808,11.88559862
0.9573807083,1.826202393,-11.29850464,2.990181885,11.82930302
0.9673847083,2.867437134,-10.74794952,3.70449646,11.72450036
0.9773887083,2.903063049,-10.82893112,2.820734253,11.56071218
0.9873917083,1.318607941,-11.2857811,0.8904981995,11.39739308
0.9973957083,-0.9157955933,-12.15652039,-1.90957901,12.33961756
1.007399708,-2.367476807,-13.77121262,-3.504961395,14.40610974
1.017403708,-1.508413239,-14.0421492,-3.273542633,14.49735652
1.027407708,-0.05269042969,-12.90720932,-2.376757507,13.12432112
1.037411708,0.6333329773,-11.48591492,-1.43566452,11.59260474
1.047415708,1.26951004,-10.45171555,-0.2957849121,10.53268733
1.057419708,1.649120636,-9.795779572,0.1148112488,9.934287992
1.067423708,1.645228729,-9.321116638,0.4716691589,9.476943851
1.077426708,1.750908966,-8.362809448,-0.2650987244,8.548247856
1.087430708,1.422042847,-7.956853638,-0.9580078125,8.139502727
1.097434708,1.244811401,-7.714208221,-1.240769806,7.911894439
1.107438708,0.8219407654,-7.87931488,-1.693278809,8.101011216
1.117442708,0.3833528137,-8.188721466,-2.032323761,8.445854516
1.127446708,-0.03278182983,-8.620274048,-1.955533447,8.839361423
1.137450708,-0.5146298218,-8.839867401,-1.758842468,9.027825117
1.147454708,-0.8346643066,-8.864116974,-1.537602539,9.035123452
1.157458708,-0.7539820862,-8.881181488,-1.303788757,9.007981946
1.167461708,-0.2110610962,-8.913065186,-1.143921204,8.988650261
1.177465708,0.7095245361,-8.85872818,-1.21457428,8.969709065
1.187469708,1.031654663,-8.565188599,-1.243613892,8.716268845
1.197473708,1.117575989,-8.225993958,-0.8831634521,8.348408852
1.207477708,1.195414124,-8.069569244,-0.5854325867,8.178611987
1.217481708,1.131946106,-8.207881622,-0.7095245361,8.31589128
1.227485708,0.9380992126,-8.584797821,-0.8632548523,8.678939607
1.237489708,0.7159611511,-8.919052734,-1.079704742,9.012650242
1.247493708,0.5149291992,-9.094188538,-1.365310822,9.210509805
1.257496708,0.4879852295,-9.250164185,-1.565444641,9.394375123
1.267500708,0.7292834473,-9.421258392,-1.895807648,9.637740953
1.277504708,0.8890013123,-9.736353149,-2.198029175,10.02088959
1.287508708,0.9451345825,-10.11237122,-2.306852875,10.41512848
1.297512708,0.8981323242,-10.34304153,-2.061962128,10.58474552
1.307516708,0.3353027344,-10.53524185,-1.54104538,10.65263205
1.317520708,-0.4240681458,-10.51623138,-0.9877958679,10.57103103
1.327524708,-1.12910202,-10.3699855,-0.6345304871,10.45055499
1.337528708,-1.84401535,-10.31504974,-0.5322930908,10.4920913
1.347531708,-2.029629364,-10.25532394,-0.4465214539,10.46376825
1.357535708,-2.170935516,-10.39797729,-0.4302053833,10.63089693
1.367539708,-2.425406342,-10.7310347,-0.4215234375,11.00978581
1.377543708,-2.30161377,-11.03250778,-0.3082090759,11.27424706
1.387547708,-1.822011108,-11.17171829,-0.3520678711,11.3247943
1.397551708,-1.318607941,-11.25374771,-0.5936654663,11.34627706
1.407555708,-0.4351451111,-11.44190643,-1.052162018,11.49841811
1.417559708,0.6268963623,-11.85190384,-1.848056946,12.01149192
1.427563708,1.603315887,-12.48119522,-2.653981018,12.86057818
1.437566708,1.456920319,-12.75811935,-3.914060669,13.42430993
1.447570708,0.3345542908,-12.62040573,-4.52703598,13.41195818
1.457574708,-1.453178101,-12.93086014,-3.095413055,13.37536738
1.467578708,-3.525618439,-13.59697495,-0.9310638428,14.0774498
1.477582708,-4.516857147,-13.92479324,0.8021818542,14.66101501
1.487586708,-3.65764389,-13.96296387,1.774260406,14.54272047
1.497590708,-1.412612457,-13.65041382,1.525328064,13.80782014
1.507594708,1.41231308,-12.98609528,-0.1472937012,13.06349854
1.517598708,4.637655945,-12.26878693,-1.66858017,13.22176785
1.527602708,6.160888367,-11.16588043,-1.602268066,12.85304222
1.537605708,5.243296509,-9.839488678,0.1685494995,11.15061006
1.547609708,3.060535583,-9.29162796,3.056194611,10.24897818
1.557613708,1.755848694,-10.83267334,4.769531708,11.96571139
1.567617708,2.90066803,-12.15562225,2.802771606,12.80736335
1.577621708,4.431235199,-12.25217148,0.9000782776,13.05992696
1.587625708,4.691094818,-12.33345245,0.1863624573,13.19678563
1.597629708,3.804039459,-11.91806625,0.152233429,12.51136261
1.607633708,3.398233337,-11.49444717,-0.0940045166,11.98662348
1.617637708,3.530408478,-11.37439682,-0.650098114,11.92741861
1.627640708,3.779789886,-11.2790451,-0.8140072632,11.92335011
1.637644708,3.829486542,-11.16588043,-1.185534668,11.86369864
1.647648708,3.396886139,-10.760224,-1.770069122,11.42166365
1.657652708,2.65727417,-10.30921188,-2.059417419,10.8435306
1.667656708,1.863025818,-9.732461243,-2.048041077,10.11860362
1.677660708,0.5944139099,-9.164542236,-1.931283875,9.384669398
1.687664708,-0.2203417969,-8.522527313,-1.802850952,8.713913809
1.697668708,-0.5519023132,-7.98110321,-1.639540558,8.166437281
1.707672708,-1.333127747,-8.034242706,-1.625619507,8.304753111
1.717675708,-0.8726852417,-8.16132843,-1.591789856,8.360780838
1.727679708,-0.2820135498,-8.465196533,-1.629062347,8.625133513
1.737683708,0.6140231323,-8.50187027,-1.900298309,8.73326721
1.747687708,1.524878998,-8.105644226,-2.239642639,8.546503579
1.757691708,1.436113586,-7.799231415,-0.664019165,7.958099921
1.767695708,1.573378143,-7.091203766,0.3385958862,7.271542945
1.777699708,1.915117493,-6.493796082,0.6252497864,6.799117579
1.787703708,2.345322876,-5.870492249,1.002165985,6.40059023
1.797707708,2.860701141,-5.398224335,1.249002686,6.235739306
1.807711708,2.801424408,-5.314398651,1.705553284,6.24497588
1.817714708,2.843037872,-5.041366425,1.030906219,5.878861063
1.827718708,2.423310699,-4.710554352,0.6032455444,5.33157221
1.837722708,2.25940155,-4.423301697,0.3300636292,4.977894662
1.847726708,2.248474274,-4.298161926,-0.1419049072,4.852831082
1.857730708,2.152074738,-4.084256744,-0.8587641907,4.695748584
1.867734708,2.184856567,-4.027824097,-1.902244263,4.961400851
1.877738708,2.10028244,-3.989803162,-2.921175385,5.372427871
1.887742708,1.938319244,-4.100572815,-3.844455414,5.945722524
1.897746708,2.0172052,-4.387077026,-4.743336182,6.768663072
1.907749708,1.935774536,-5.067861328,-5.35316803,7.621472919
1.917753708,1.969155121,-6.060297546,-5.727389832,8.567833596
1.927757708,2.574795685,-7.415878601,-6.475384369,10.17621889
1.937761708,3.277584229,-9.031468964,-7.380402374,12.1152932
1.947765708,4.181554413,-11.06828339,-8.345744934,14.47907984
1.957769708,4.571792908,-13.73109604,-10.34648438,17.79027902
1.967773708,3.986809387,-16.75031754,-13.46914078,21.86059331
1.977777708,3.169958038,-19.09040131,-15.77689178,24.96802696
1.987781708,2.782264252,-18.99340302,-13.97359177,23.74345424
1.997785708,3.624263306,-16.40902725,-10.62789917,19.88325176
2.007788708,4.67911972,-11.93378357,-9.425898743,15.91090565
2.017792708,4.091292114,-7.451504517,-9.34776123,12.6350398
2.027796708,2.84213974,-4.121529236,-9.015901337,10.31267368
2.037800708,1.419647827,-1.682201843,-7.396868134,7.717438771
2.047804708,1.087787933,-0.3555107117,-4.639901276,4.778949079
2.057808708,2.300565948,-1.134790192,-1.498683472,2.970926558
2.067812708,4.112248535,-3.947141876,-0.1556762695,5.702170824
2.077816708,5.944588165,-8.070916443,-0.4586462402,10.03434986
2.087820708,6.788682861,-12.66606079,-0.539178772,14.38075188
2.097823708,6.064788208,-16.28792908,-1.805844727,17.47396248
2.107827708,5.450914764,-18.05859695,-6.080355835,19.81908481
2.117831708,6.737639008,-17.85561905,-10.78821579,21.92269397
2.127835708,5.254972229,-14.20516022,-6.178851013,16.35785774
2.137839708,1.27894043,-5.663323059,9.371711426,11.02442251
2.147843708,3.629053345,-0.9578581238,10.05099884,10.72893741
2.157847708,8.519832916,-1.964814148,2.575095062,9.11477713
2.167851708,7.319628754,-4.157753906,-3.37802536,9.070553344
2.177855708,2.779719543,-7.139253845,-4.730912018,9.004294238
2.187858708,-0.1975891113,-9.613159332,-0.7979905701,9.648246616
2.197862708,-0.2992277527,-10.94703552,1.989662476,11.13040344
2.207866708,0.379460907,-11.19611755,3.771257629,11.82029708
2.217870708,1.713786163,-10.24679169,4.736899567,11.41805677
2.227874708,2.592309265,-9.852810974,4.055965576,10.96580176
2.237878708,2.819836121,-10.13602203,2.488275604,10.81119484
2.247882708,1.33267868,-10.87458618,-0.2314187622,10.95838545
2.257886708,-1.116827545,-12.2120549,-3.500470734,12.75283827
2.267890708,-2.397414551,-13.81731674,-3.876638489,14.54971355
2.277893708,-0.628692627,-13.97748367,-3.613036652,14.45058262
2.287897708,0.6692582703,-13.19461166,-2.983894958,13.54434615
2.297901708,1.00515976,-11.6215329,-1.610650635,11.77559207
2.307905708,1.108295288,-10.58883041,-0.4486170959,10.65612055
2.317909708,1.17595459,-9.872569885,0.06451583862,9.942568462
2.327913708,1.247805176,-8.972042542,-0.1426533508,9.059520688
2.337917708,1.429527283,-7.984246674,-0.7366181946,8.144590202
2.347921708,1.263073425,-7.59969635,-0.5909710693,7.726576596
2.357925708,1.492845612,-7.70028717,-0.8997789001,7.895100544
2.367929708,1.248703308,-7.998766479,-1.544338531,8.241632523
2.377932708,0.6926097107,-8.451874237,-1.748513947,8.658590379
2.387936708,0.08367599487,-8.602910156,-1.741328888,8.777772561
2.397940708,-0.399818573,-8.393345947,-1.661844177,8.565619484
2.407944708,-0.6851252747,-8.369096375,-1.419947205,8.516303237
2.417948708,-0.5849835205,-8.16132843,-0.9318122864,8.235154012
2.427952708,-0.1580712891,-8.163873138,-0.8117619324,8.205654671
2.437956708,0.1035845947,-8.154442749,-0.7943980408,8.193700908
2.447960708,0.4902305603,-8.054151306,-0.8425978088,8.112931057
2.457964708,0.9322613525,-8.161178741,-0.872535553,8.26046415
2.467967708,0.8711883545,-8.107141113,-0.8919950867,8.202460693
2.477971708,0.7388635254,-8.110883331,-0.8478369141,8.188478195
2.487975708,0.7699987793,-8.283324738,-0.9012757874,8.36771563
