Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.002345749999,4.93538681,-10.80992065,-0.412691803,11.89044751
0.01234875,5.780679016,-12.653936,-0.800684967,13.93482841
0.02235175,4.242477722,-13.90832748,-0.1016386414,14.54133835
0.03235575,1.803000641,-14.36323151,0.4050576782,14.48161947
0.04235875,-1.149759064,-14.0262822,-0.6617738342,14.08887798
0.05236175,-2.809208221,-13.18832474,-3.381019135,13.90161324
0.06236575,-1.566342773,-12.61366974,-4.849166107,13.60413562
0.07236875,1.138682098,-12.30965195,-3.602558441,12.87643411
0.08237175,2.853665771,-12.48748215,-1.981579285,12.96176204
0.09237575,3.055895233,-12.44976059,-2.232008514,13.01218262
0.10237875,3.241359558,-11.99156342,-2.475102997,12.666102
0.11238175,2.847229156,-12.01401672,-0.8686436462,12.37731205
0.12238575,1.050964508,-12.37820938,1.1665242,12.47739446
0.13238875,-2.616708527,-13.10404999,1.788031769,13.48185251
0.14239175,-6.453679504,-13.45896194,2.345472565,15.10943008
0.15239475,-7.870333557,-12.9405899,3.7185672,15.595793
0.16239875,-7.640860748,-13.13413742,3.964655457,15.70371968
0.17240175,-7.678881683,-13.70190674,3.185825043,16.02675742
0.18240475,-7.229067078,-14.23539734,0.7117698669,15.9816321
0.19240875,-5.75208847,-14.44675781,-2.79304184,15.79862069
0.20241175,-4.25445282,-13.39938583,-3.34644104,14.45138669
0.21241475,-2.279908905,-12.39377701,-1.902094574,12.74447554
0.22241875,-1.294957123,-13.54203918,-2.23724762,13.786552
0.23242175,-1.204844513,-13.91671005,-2.092049561,14.12455806
0.24242475,-1.35842514,-12.9884903,-1.072819061,13.10332552
0.25242875,-1.222956848,-12.36788086,-0.2188449097,12.43012444
0.26243175,-1.290765839,-11.94920151,0.2736309814,12.02182877
0.27243475,-1.482966156,-11.01394638,0.2740800476,11.11671369
0.28243775,-0.8195457458,-10.03782623,0.3969744873,10.07904755
0.29244175,-0.06092330933,-8.966653748,0.2472857666,8.970269858
0.30244475,0.8327183533,-8.19411026,-0.5047503662,8.251765614
0.31244775,0.9729766846,-7.814050598,-1.563648376,8.028142165
0.32245175,0.37676651,-7.427105255,-1.767374725,7.643785639
0.33245475,0.1513352966,-6.656058655,-1.177750854,6.761147555
0.34245775,0.060025177,-6.271208954,-0.6658154297,6.306740438
